"V1","V2"
"1",124.69,35.5
"2",125.7,34.8
"3",129.81,35
"4",130.51,35.4
"5",129.72,36.3
"6",129.69,36.2
"7",131.43,36.9
"8",131.02,36.9
"9",129.81,38.1
"10",128.82,38.3
"11",132.16,38.6
"12",132.17,38.7
"13",129.71,39.1
"14",129.41,38.7
"15",132.57,38.7
"16",132.58,38.5
"17",130.06,38.7
"18",128.16,38.2
"19",127.24,38.5
"20",126.37,38.5
"21",125.26,39.5
"22",123.43,38.9
"23",123.87,39.3
"24",124.41,39.3
"25",125.29,40
"26",124.43,39.6
"27",125.68,40.1
"28",127.2,40.4
"29",128.4,41.3
"30",129.02,40.7
"31",130.76,41.4
"32",133.47,41.7
"33",135.07,42.9
"34",135.43,42.9
"35",138.51,43.8
"36",139.54,43.9
"37",139.31,45
"38",139.24,44.3
"39",140.23,44.9
"40",141.26,45.1
"41",142.55,46.8
"42",141.57,47.2
"43",143.19,47.9
"44",142.31,48.2
"45",140,48.9
"46",138.26,48.4
"47",136.71,49
"48",135.16,49.6
"49",133.59,50.6
"50",132.73,50.1
"51",132.98,51
"52",131.91,51.5
"53",130.03,52.4
"54",127.74,51.8
"55",126.47,52.3
"56",125.67,52.6
"57",124.42,53.3
"58",122.81,53.6
"59",121.82,53.9
"60",122.31,53.7
"61",122.07,54.8
"62",121.88,54.2
"63",122.86,54.3
"64",123.2,54
"65",122.96,54
"66",121.55,53.5
"67",121.13,53.4
"68",121.12,53.9
"69",121.46,54.1
"70",121.03,53.3
"71",121.62,53.4
"72",122.35,53.1
"73",122.23,53.4
"74",121.36,52.7
"75",121.29,52.8
"76",122.98,52.7
"77",124.13,53.3
"78",126.06,53.2
"79",128.79,52.4
"80",129.94,52.1
"81",129.27,52.4
"82",129.79,50.6
"83",131.12,50.3
"84",130.21,50.6
"85",128.92,51.2
"86",129.18,50.9
"87",129.86,51.2
"88",130.61,51.4
"89",130.76,51.9
"90",129.2,52.2
"91",129.63,52.9
"92",129.82,53.8
"93",130.7,55.5
"94",130.5,55.6
"95",131.37,56.3
"96",131.62,57
"97",131.59,58.2
"98",130.65,58
"99",130.74,58.4
"100",129.93,58.8
"101",129.75,60
"102",128,60.2
"103",127.05,60.9
"104",126.3,61.8
"105",125.51,63.2
"106",123.64,63.2
"107",122.86,63.9
"108",121.26,64.4
"109",120.84,65.1
"110",120.11,64.8
"111",120,65.3
"112",119.52,65.7
"113",119.96,67.3
"114",119.84,68.3
"115",119.26,69.6
"116",118.9,70.2
"117",119.11,70.7
"118",118.67,70.4
"119",118.78,70.7
"120",118.06,70.8
"121",117.69,71.2
"122",116.94,70.6
"123",115.82,70.4
"124",115.53,70.4
"125",115.18,70
"126",114.06,69.6
"127",113.69,69.6
"128",113.3,69.7
"129",112.89,69.9
"130",111.55,69.6
"131",111.24,69.8
"132",110.42,70.1
"133",109.71,70.2
"134",108.44,69.3
"135",107.78,69.1
"136",107.21,69.2
"137",106.54,69.1
"138",106.08,68.3
"139",105.15,68.5
"140",104.3,68.4
"141",104.08,68.1
"142",102.59,67.6
"143",103.61,66.9
"144",104.14,66.4
"145",103.08,65.3
"146",101.62,64
"147",100.72,63.1
"148",100.82,62.2
"149",100.14,61.4
"150",101.59,60.4
"151",101.73,60.1
"152",100.63,59.9
"153",101.92,59.8
"154",101.69,60.3
"155",100.19,61.3
"156",99.97,62
"157",100.27,62.1
"158",99.14,61.3
"159",99.84,60.9
"160",100.5,60.3
"161",100.51,59.5
"162",100.18,58.5
"163",99.94,57.9
"164",100.73,57.7
"165",100.48,57.2
"166",100.62,56.8
"167",101.53,56.7
"168",101.35,56.7
"169",101.77,56.6
"170",102.25,56.2
"171",103.01,56
"172",103.33,55.9
"173",102.79,55.6
"174",103.33,54.9
"175",105.19,54.6
"176",105.33,54.5
"177",105.61,54.1
"178",107.79,53.8
"179",108.73,53.7
"180",109.07,53.7
"181",111.31,53.6
"182",114.12,53.3
"183",116.2,53.4
"184",117.67,53.5
"185",119.41,53.4
"186",119.84,53.3
"187",121.24,53.4
"188",122.41,53.4
"189",125.11,53.2
"190",126.2,53
"191",127.09,53
"192",128.62,53.4
"193",130.35,53.5
"194",130.97,53.6
"195",131.51,54
