DATE,ROUTPUT94Q4,ROUTPUT95Q1,ROUTPUT95Q2,ROUTPUT95Q3,ROUTPUT95Q4,ROUTPUT96Q1,ROUTPUT96Q2,ROUTPUT96Q3,ROUTPUT96Q4,ROUTPUT97Q1,ROUTPUT97Q2,ROUTPUT97Q3,ROUTPUT97Q4,ROUTPUT98Q1,ROUTPUT98Q2,ROUTPUT98Q3,ROUTPUT98Q4,ROUTPUT99Q1,ROUTPUT99Q2,ROUTPUT99Q3,ROUTPUT99Q4,ROUTPUT00Q1,ROUTPUT00Q2,ROUTPUT00Q3,ROUTPUT00Q4,ROUTPUT01Q1,ROUTPUT01Q2,ROUTPUT01Q3,ROUTPUT01Q4,ROUTPUT02Q1,ROUTPUT02Q2,ROUTPUT02Q3,ROUTPUT02Q4,ROUTPUT03Q1,ROUTPUT03Q2,ROUTPUT03Q3,ROUTPUT03Q4,ROUTPUT04Q1,ROUTPUT04Q2,ROUTPUT04Q3,ROUTPUT04Q4,ROUTPUT05Q1,ROUTPUT05Q2,ROUTPUT05Q3,ROUTPUT05Q4,ROUTPUT06Q1,ROUTPUT06Q2,ROUTPUT06Q3,ROUTPUT06Q4,ROUTPUT07Q1,ROUTPUT07Q2,ROUTPUT07Q3,ROUTPUT07Q4,ROUTPUT08Q1,ROUTPUT08Q2,ROUTPUT08Q3,ROUTPUT08Q4,ROUTPUT09Q1,ROUTPUT09Q2,ROUTPUT09Q3,ROUTPUT09Q4,ROUTPUT10Q1,ROUTPUT10Q2,ROUTPUT10Q3,ROUTPUT10Q4,ROUTPUT11Q1,ROUTPUT11Q2,ROUTPUT11Q3,ROUTPUT11Q4,ROUTPUT12Q1,ROUTPUT12Q2,ROUTPUT12Q3,ROUTPUT12Q4,ROUTPUT13Q1,ROUTPUT13Q2,ROUTPUT13Q3,ROUTPUT13Q4,ROUTPUT14Q1,ROUTPUT14Q2,ROUTPUT14Q3,ROUTPUT14Q4,ROUTPUT15Q1,ROUTPUT15Q2,ROUTPUT15Q3,ROUTPUT15Q4,ROUTPUT16Q1,ROUTPUT16Q2,ROUTPUT16Q3,ROUTPUT16Q4,ROUTPUT17Q1,ROUTPUT17Q2,ROUTPUT17Q3,ROUTPUT17Q4,ROUTPUT18Q1,ROUTPUT18Q2
1987:Q3,3.897858393,3.897858393,3.897858393,3.897858393,3.897858393,3.503774391,3.503774391,3.503774391,3.503774391,3.503774391,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.517265931,3.447763412,3.447763412,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.350227078,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.63014763,3.472040718,3.472040718,3.472040718,3.472040718,3.472040718,3.472040718,3.472040718,3.472040718,3.469497336,3.469497336,3.469497336,3.469497336,3.469497336,3.469497336,3.469497336,3.469497336,3.6304652,3.6304652,3.6304652,3.6304652,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337,3.626603337
1987:Q4,5.807909109,5.807909109,5.807909109,5.807909109,5.807909109,5.8877515,5.8877515,5.8877515,5.8877515,5.8877515,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,5.872181247,7.013407986,7.013407986,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.938529071,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.985554563,6.840684068,6.840684068,6.840684068,6.840684068,6.840684068,6.840684068,6.840684068,6.840684068,6.84656648,6.84656648,6.84656648,6.84656648,6.84656648,6.84656648,6.84656648,6.84656648,6.596804673,6.596804673,6.596804673,6.596804673,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941,6.604559941
1988:Q1,2.577018701,2.577018701,2.577018701,2.577018701,2.577018701,2.330677984,2.330677984,2.330677984,2.330677984,2.330677984,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.413661183,2.677221096,2.677221096,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,2.662645964,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,1.955560937,2.070260123,2.070260123,2.070260123,2.070260123,2.070260123,2.070260123,2.070260123,2.070260123,2.066642511,2.066642511,2.066642511,2.066642511,2.066642511,2.066642511,2.066642511,2.066642511,2.25017504,2.25017504,2.25017504,2.25017504,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078,2.247760078
1988:Q2,4.253216764,4.253216764,4.253216764,4.253216764,4.253216764,4.067163534,4.067163534,4.067163534,4.067163534,4.067163534,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.058562218,4.730701614,4.730701614,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,4.710081423,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.085026585,5.138329376,5.138329376,5.138329376,5.138329376,5.138329376,5.138329376,5.138329376,5.138329376,5.137379509,5.137379509,5.137379509,5.137379509,5.137379509,5.137379509,5.137379509,5.137379509,5.286660905,5.286660905,5.286660905,5.286660905,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356,5.285815356
1988:Q3,2.525080769,2.525080769,2.525080769,2.525080769,2.525080769,2.382868001,2.382868001,2.382868001,2.382868001,2.382868001,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.375085558,2.028115622,2.028115622,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.047308577,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.13579237,2.065087121,2.065087121,2.065087121,2.065087121,2.065087121,2.065087121,2.065087121,2.065087121,2.06685648,2.06685648,2.06685648,2.06685648,2.06685648,2.06685648,2.06685648,2.06685648,2.307920147,2.307920147,2.307920147,2.307920147,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587,2.31019587
1988:Q4,3.818777062,3.818777062,3.818777062,3.818777062,3.818777062,5.050625372,5.050625372,5.050625372,5.050625372,5.050625372,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.041931039,5.148433939,5.148433939,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.195619134,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.278575021,5.340600883,5.340600883,5.340600883,5.340600883,5.340600883,5.340600883,5.340600883,5.340600883,5.339907679,5.339907679,5.339907679,5.339907679,5.339907679,5.339907679,5.339907679,5.339907679,5.296140979,5.296140979,5.296140979,5.296140979,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506,5.299883506
1989:Q1,3.171747181,3.171747181,3.171747181,3.171747181,3.171747181,3.898700993,3.898700993,3.898700993,3.898700993,3.898700993,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,3.910764682,4.803723817,4.803723817,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.862958609,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,4.059223783,3.75484872,3.75484872,3.75484872,3.75484872,3.75484872,3.75484872,3.75484872,3.75484872,3.752879364,3.752879364,3.752879364,3.752879364,3.752879364,3.752879364,3.752879364,3.752879364,4.036458333,4.036458333,4.036458333,4.036458333,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851,4.032098851
1989:Q2,1.776818333,1.776818333,1.776818333,1.776818333,1.776818333,2.975685256,2.975685256,2.975685256,2.975685256,2.975685256,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.967892198,2.1157856,2.1157856,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.176105627,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.624998193,2.992339815,2.992339815,2.992339815,2.992339815,2.992339815,2.992339815,2.992339815,2.992339815,2.994910191,2.994910191,2.994910191,2.994910191,2.994910191,2.994910191,2.994910191,2.994910191,3.144422448,3.144422448,3.144422448,3.144422448,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197,3.145659197
1989:Q3,0,0,0,0,0,2.167377011,2.167377011,2.167377011,2.167377011,2.167377011,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,2.140167779,1.824032698,1.824032698,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,1.896829498,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,2.849141954,3.173553719,3.173553719,3.173553719,3.173553719,3.173553719,3.173553719,3.173553719,3.173553719,3.171169337,3.171169337,3.171169337,3.171169337,3.171169337,3.171169337,3.171169337,3.171169337,2.98742677,2.98742677,2.98742677,2.98742677,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315,2.984223315
1989:Q4,1.463112213,1.463112213,1.463112213,1.463112213,1.463112213,0.446912688,0.446912688,0.446912688,0.446912688,0.446912688,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,0.361366623,1.329932592,1.329932592,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.385653345,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,1.015242903,0.872921765,0.872921765,0.872921765,0.872921765,0.872921765,0.872921765,0.872921765,0.872921765,0.873671187,0.873671187,0.873671187,0.873671187,0.873671187,0.873671187,0.873671187,0.873671187,0.843336621,0.843336621,0.843336621,0.843336621,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239,0.846968239
