"ID","date","Credit","Credit_log","Credit_HPtrend","Credit_HPcycle","reference_area","HPIndex","HPIndex_log","HPIndex_HPtrend","HPIndex_HPcycle"
"1","GB","1988-07-01",52.4,395.8906591327,398.647248070817,-2.75658893811751,"United Kingdom",55.8726,402.307409899109,410.657912014775,-8.35050211566586
"2","GB","1988-10-01",53.1,397.217692824789,399.244098230141,-2.02640540535176,"United Kingdom",58.6713,407.195068052423,409.144658064526,-1.94959001210279
"3","GB","1989-01-01",53.3,397.59363311718,399.839225521379,-2.2455924041988,"United Kingdom",59.3291,408.309991076396,407.626185050454,0.683806025941519
"4","GB","1989-04-01",54.1,399.083418585244,400.429640573065,-1.34622198782171,"United Kingdom",60.1121,409.621115239158,406.09605541498,3.52505982417773
"5","GB","1989-07-01",54.8,400.369019395397,401.010950518484,-0.641931123086614,"United Kingdom",61.7899,412.373992068673,404.548258979291,7.82573308938174
"6","GB","1989-10-01",55.4,401.457959375324,401.577921102174,-0.119961726850182,"United Kingdom",59.6447,408.840529296185,402.978988726962,5.86154056922296
"7","GB","1990-01-01",55.7,401.998014693324,402.124916861725,-0.126902168400911,"United Kingdom",57.7052,405.534729077053,401.389328724751,4.14540035230175
"8","GB","1990-04-01",56.6,403.600898520914,402.646227358645,0.954671162268672,"United Kingdom",55.4895,401.619381366467,399.784026502272,1.83535486419524
"9","GB","1990-07-01",57,404.305126783455,403.136062840589,1.16906394286624,"United Kingdom",55.6605,401.927073916915,398.170420464356,3.75665345255849
"10","GB","1990-10-01",57.5,405.17849478033,403.589230224686,1.58926455564434,"United Kingdom",53.7811,398.492210433181,396.556996112629,1.93521432055195
"11","GB","1991-01-01",57.4,405.004430332552,404.001267093032,1.0031632395203,"United Kingdom",52.845,396.736310046131,394.95458685712,1.78172318901109
"12","GB","1991-04-01",58.2,406.388535473739,404.368704318068,2.01983115567171,"United Kingdom",50.3859,391.97113740319,393.375235616812,-1.40409821362212
"13","GB","1991-07-01",58.6,407.073469658297,404.68869974926,2.38476990903682,"United Kingdom",50.8936,392.973717891225,391.832098887679,1.14161900354527
"14","GB","1991-10-01",58.4,406.731588983418,404.959673630548,1.77191535287033,"United Kingdom",49.9296,391.061401326473,390.337455604313,0.723945722159147
"15","GB","1992-01-01",58,406.044301054642,405.181536687063,0.86276436757875,"United Kingdom",48.9527,389.085452578018,388.904298213183,0.181154364835057
"16","GB","1992-04-01",58.2,406.388535473739,405.355307091033,1.03322838270575,"United Kingdom",46.8658,384.728819836109,387.546071626832,-2.81725179072292
"17","GB","1992-07-01",58.9,407.584109065754,405.482542242416,2.10156682333805,"United Kingdom",47.1128,385.254472630978,386.276333979283,-1.02186134830504
"18","GB","1992-10-01",58.8,407.414185490458,405.565445308907,1.84874018155078,"United Kingdom",45.017,380.704019620804,385.106882622191,-4.40286300138695
"19","GB","1993-01-01",58.1,406.216566385787,405.607532937468,0.60903344831823,"United Kingdom",45.226,381.16721427008,384.048876243866,-2.88166197378565
"20","GB","1993-04-01",58,406.044301054642,405.613477237674,0.430823816968223,"United Kingdom",44.6958,379.987953747349,383.110721743243,-3.12276799589428
"21","GB","1993-07-01",57.9,405.871738457895,405.588330965003,0.283407492891996,"United Kingdom",45.571,381.927154929659,382.299024980524,-0.371870050864365
"22","GB","1993-10-01",57.9,405.871738457895,405.537416139822,0.334322318073382,"United Kingdom",44.618,379.813736505046,381.618440085912,-1.80470358086646
"23","GB","1994-01-01",57.8,405.698877567833,405.466231912178,0.232645655655256,"United Kingdom",45.0497,380.776632476469,381.07338877083,-0.296756294361167
"24","GB","1994-04-01",57.7,405.525717351405,405.380486383569,0.145230967836312,"United Kingdom",44.9854,380.633799268239,380.667164806963,-0.0333655387238174
"25","GB","1994-07-01",57.8,405.698877567833,405.286033059027,0.412844508806134,"United Kingdom",45.8543,382.546897838354,380.402876493309,2.14402134504446
"26","GB","1994-10-01",57.8,405.698877567833,405.188816212939,0.510061354894506,"United Kingdom",45.4097,381.572573861369,380.283611275409,1.28896258596045
"27","GB","1995-01-01",57.7,405.525717351405,405.095038147509,0.430679203896633,"United Kingdom",44.6374,379.857207264923,380.31379661214,-0.456589347217218
"28","GB","1995-04-01",57.7,405.525717351405,405.011219953289,0.51449739811637,"United Kingdom",44.5,379.548918917219,380.498665563998,-0.949746646778538
"29","GB","1995-07-01",57.7,405.525717351405,404.944151895334,0.581565456071825,"United Kingdom",44.8128,380.24938128981,380.843165823137,-0.593784533326813
"30","GB","1995-10-01",57.6,405.352256770185,404.90094579957,0.45131097061426,"United Kingdom",43.9541,378.314590760722,381.351651490055,-3.0370607293329
"31","GB","1996-01-01",57.1,404.480411666196,404.889076970337,-0.408665304140809,"United Kingdom",44.3521,379.216005825465,382.028105549919,-2.81209972445406
"32","GB","1996-04-01",57.1,404.480411666196,404.916302781329,-0.435891115132592,"United Kingdom",43.9368,378.275223772278,382.874612824938,-4.59938905266069
"33","GB","1996-07-01",56.9,404.129534113228,404.990125190425,-0.860591077196604,"United Kingdom",45.6188,382.031991225776,383.891500574995,-1.85950934921952
"34","GB","1996-10-01",56.4,403.246915850401,405.117773723558,-1.87085787315677,"United Kingdom",46.1127,383.108840013215,385.076221441814,-1.96738142859938
"35","GB","1997-01-01",56.4,403.246915850401,405.305940037237,-2.0590241868359,"United Kingdom",46.7359,384.45126059649,386.425065873776,-1.9738052772853
"36","GB","1997-04-01",56.7,403.777421073371,405.560146501801,-1.78272542843045,"United Kingdom",47.2393,385.522617326849,387.933094705868,-2.41047737901976
"37","GB","1997-07-01",56.9,404.129534113228,405.884628597472,-1.75509448424311,"United Kingdom",49.4437,390.08346485369,389.594135144782,0.489329708908359
"38","GB","1997-10-01",57.4,405.004430332552,406.282507601078,-1.27807726852569,"United Kingdom",48.8811,388.939081870178,391.400507848844,-2.4614259786659
"39","GB","1998-01-01",57.9,405.871738457895,406.755807855396,-0.884069397501008,"United Kingdom",50.1998,391.6011042626,393.344839307451,-1.74373504485059
"40","GB","1998-04-01",58.3,406.560209335645,407.30575490491,-0.745545569265205,"United Kingdom",52.3133,395.725064084483,395.418217618762,0.306846465721056
"41","GB","1998-07-01",59.1,407.923092441205,407.933021750729,-0.00992930952410376,"United Kingdom",54.6134,400.027927388541,397.610641046533,2.41728634200817
"42","GB","1998-10-01",59.1,407.923092441205,408.637815427984,-0.71472298677866,"United Kingdom",54.0067,398.91081129418,399.912299633562,-1.00148833938232
"43","GB","1999-01-01",59.1,407.923092441205,409.420336765984,-1.49724432477907,"United Kingdom",54.4092,399.653325721018,402.31489422661,-2.66156850559209
"44","GB","1999-04-01",59.7,408.933202039856,410.280339892175,-1.3471378523193,"United Kingdom",56.1244,402.757065558211,404.809499742226,-2.05243418401437
