"V1","V2"
"1",61.69,43.2
"2",61.12,43.2
"3",61.39,43.2
"4",61.34,43.5
"5",62.54,42.9
"6",63.55,43.3
"7",63.55,43.5
"8",64.76,43.9
"9",64.49,43.6
"10",65.79,44.2
"11",66.46,44.4
"12",67.27,44.7
"13",69.37,44.3
"14",69.47,44.5
"15",69.72,44.7
"16",69.6,44.7
"17",69.34,44.1
"18",68.74,44.6
"19",68.51,44.8
"20",66.92,44.7
"21",67.48,43.8
"22",68.36,43.8
"23",68.13,44
"24",68.31,44.4
"25",66.65,43.6
"26",66.23,43.9
"27",67.86,44.2
"28",69.64,44.6
"29",71.25,44.5
"30",72.82,45.3
"31",74.37,45.9
"32",76.02,46.4
"33",77.53,46.3
"34",78.3,47.1
"35",79.35,47.8
"36",80.46,48
"37",81.73,47.5
"38",82.41,48.1
"39",82.84,48.8
"40",83.35,49.4
"41",81.93,49.2
"42",80.47,48.9
"43",81.08,49.4
"44",80.67,49.7
"45",80.06,48.6
"46",79.33,48.3
"47",77.81,47.7
"48",77.48,47.6
"49",77.27,47.2
"50",76.22,47.3
"51",74.86,47.2
"52",75.15,47.8
"53",75.98,46.9
"54",76.05,47.5
"55",76.19,48
"56",76.47,48.4
"57",76.59,47.9
"58",76.72,48.2
"59",76.82,48.4
"60",76.94,49
"61",77.43,49.8
"62",77.78,50.7
"63",78.29,52
"64",79.09,53.7
"65",80.43,53.4
"66",82.23,54.1
"67",83.5,55.4
"68",84.8,56.6
"69",86.06,56
"70",86.95,57.2
"71",87.8,58
"72",88.81,57.7
"73",89.78,57.6
"74",90.8,58.2
"75",92.14,58.6
"76",93.48,58.9
"77",94.47,58.4
"78",94.28,58.8
"79",94.78,59.2
"80",95.21,59.7
"81",94.61,59.9
"82",93.86,60.2
"83",91.98,60.4
"84",90.01,60.8
"85",88.79,60.8
"86",88.53,61.4
"87",87.77,61.6
"88",86.87,62.2
"89",86.42,61.7
"90",85.56,61.5
"91",84.78,61.7
"92",84.45,61.8
"93",83.97,61.1
"94",83.68,61.3
"95",83.94,61.8
"96",84.08,62.4
"97",83.89,62
"98",83.8,62.2
"99",83.48,62.4
"100",83.43,63.1
"101",83.13,62.6
"102",82.89,63.1
"103",83.14,63.8
"104",83.24,64.4
"105",83.15,64.5
"106",82.92,64.9
"107",82.93,65.1
"108",82.86,65.4
"109",82.98,64.9
"110",83.47,65
"111",84.17,65.4
"112",85.13,65.6
"113",86.41,65.2
"114",87.27,66
"115",88.45,66.4
"116",89.77,67.1
"117",90.82,67
"118",91.71,67.6
"119",92.97,68.3
"120",94.35,69
"121",95.77,69.3
"122",97.17,69.5
"123",98.53,70.2
"124",100.24,70.6
"125",101.57,70.3
"126",102.36,71.6
"127",104.14,73.5
"128",106.16,74.3
"129",107.71,74.9
"130",109.28,76.1
"131",111.53,77.4
"132",113.53,78.9
"133",114.65,79.8
"134",116.7,82.6
"135",119.49,83.8
"136",123.39,84.7
"137",126.51,85.1
"138",129.53,86.3
"139",133.67,87.3
"140",137.79,88.9
"141",142.59,89.1
"142",146.24,90.3
"143",149.46,91.5
"144",153,92.3
"145",154.65,93.5
"146",151.6,94.6
"147",149.61,95.7
"148",150.48,96.4
"149",147.31,96.6
"150",140.43,97.6
"151",135.8,98.2
"152",130.59,98.6
"153",123.91,98.6
"154",115.53,97.4
"155",108.97,97.8
"156",106.46,95.9
"157",103.84,95.6
"158",102.68,96.1
"159",102.43,96.8
"160",102.57,96.6
"161",102.15,95.1
"162",101.04,93.8
"163",99.04,92.4
"164",97.79,91.6
"165",95.7,90.5
"166",93.72,89.3
"167",93.78,88.2
"168",93.95,87.4
"169",94.21,86.1
"170",95.69,85
"171",97.39,84.3
"172",99.44,83.9
"173",101.36,83
"174",103.5,82.4
"175",105.6,82.2
"176",108.04,81.8
"177",108.56,80.9
"178",108.02,80.6
"179",109.35,80.2
"180",111.95,79.7
"181",113.99,78.6
"182",114.01,78.5
"183",115.3,78.1
"184",117.45,77.7
"185",118.85,77.2
"186",118.82,77.6
"187",120.12,78.1
"188",121.75,78
"189",122.43,77.5
"190",123.47,77.6
"191",124.95,77.5
"192",126.57,77.6
"193",127.52,76.8
"194",127.67,76.4
"195",128.24,76.2
"196",129.3,75.9
"197",129.88,75
"198",129.66,75.1
