"ID","reference_area","date","HPIndex","HPIndex_log","HPIndex_HPtrend","HPIndex_HPcycle"
"1","FR","France",1970-01-01,40.4766,370.072402935682,368.968747802593,1.10365513308893
"2","FR","France",1970-04-01,40.6307,370.452393850001,369.436627725729,1.01576612427163
"3","FR","France",1970-07-01,41.1319,371.678397616687,369.905197433324,1.77320018336319
"4","FR","France",1970-10-01,40.5839,370.337143623612,370.375781563662,-0.0386379400499307
"5","FR","France",1971-01-01,40.022,368.942930291937,370.850813005145,-1.90788271320803
"6","FR","France",1971-04-01,40.4852,370.093647522715,371.332700497461,-1.23905297474596
"7","FR","France",1971-07-01,41.5463,372.680846799818,371.822660353601,0.858186446217518
"8","FR","France",1971-10-01,41.3407,372.184748686305,372.321134478448,-0.136385792143653
"9","FR","France",1972-01-01,41.0867,371.568446815886,372.829101143415,-1.26065432752926
"10","FR","France",1972-04-01,41.7667,373.209937131819,373.347453378793,-0.137516246974106
"11","FR","France",1972-07-01,42.7662,375.574807096877,373.876296305919,1.69851079095755
"12","FR","France",1972-10-01,42.4102,374.738889934428,374.415649098476,0.323240835951397
"13","FR","France",1973-01-01,42.3148,374.513690665456,374.966592499391,-0.452901833935268
"14","FR","France",1973-04-01,42.9678,376.045099796563,375.530409277114,0.514690519449146
"15","FR","France",1973-07-01,44.01,378.4416880823,376.108099136446,2.33358894585368
"16","FR","France",1973-10-01,43.7584,377.868359437398,376.700983463768,1.16737597363047
"17","FR","France",1974-01-01,43.2773,376.762824811904,377.311842138547,-0.549017326643264
"18","FR","France",1974-04-01,43.4613,377.187088694419,377.944184650236,-0.757095955817483
"19","FR","France",1974-07-01,44.2763,379.044954518025,378.60117735246,0.443777165565368
"20","FR","France",1974-10-01,43.8107,377.987807978535,379.285513413868,-1.29770543533225
"21","FR","France",1975-01-01,42.7718,375.587900692724,380.00016336384,-4.41226267111562
"22","FR","France",1975-04-01,43.2972,376.808796779054,380.74728666586,-3.93848988680516
"23","FR","France",1975-07-01,44.4846,379.514306186132,381.526285119239,-2.01197893310716
"24","FR","France",1975-10-01,44.5781,379.724270704049,382.334098967112,-2.60982826306288
"25","FR","France",1976-01-01,44.5411,379.641235842592,383.16641096578,-3.5251751231875
"26","FR","France",1976-04-01,45.8237,382.480142452904,384.017272728877,-1.53713027597334
"27","FR","France",1976-07-01,47.4114,385.886270611313,384.87853263559,1.00773797572341
"28","FR","France",1976-10-01,47.3502,385.7571043488,385.741078358679,0.0160259901213156
"29","FR","France",1977-01-01,47.5042,386.081812818432,386.596427407141,-0.514614588709222
"30","FR","France",1977-04-01,48.1567,387.446027705817,387.436107306216,0.00992039960098223
"31","FR","France",1977-07-01,49.5316,390.261084973275,388.251323947027,2.00976102624776
"32","FR","France",1977-10-01,49.6101,390.419444203356,389.033289420945,1.38615478241089
"33","FR","France",1978-01-01,49.3307,389.854660529295,389.774471919985,0.0801886093097282
"34","FR","France",1978-04-01,49.5165,390.230594736477,390.468205982899,-0.237611246422764
"35","FR","France",1978-07-01,50.2403,391.681749347969,391.107876266321,0.573873081648868
"36","FR","France",1978-10-01,50.0645,391.331217409302,391.686718919854,-0.355501510551859
"37","FR","France",1979-01-01,49.6901,390.580571808956,392.198328763779,-1.61775695482229
"38","FR","France",1979-04-01,50.3319,391.863907092015,392.636078429932,-0.772171337917227
"39","FR","France",1979-07-01,51.5883,394.329490259112,392.992329452054,1.33716080705839
"40","FR","France",1979-10-01,51.9823,395.090327602205,393.258960756797,1.83136684540841
"41","FR","France",1980-01-01,52.0924,395.301906479824,393.428686996319,1.87321948350498
"42","FR","France",1980-04-01,53.4707,397.91338403281,393.495367427056,4.41801660575405
"43","FR","France",1980-07-01,55.0275,400.783306027412,393.454032067622,7.32927395979053
"44","FR","France",1980-10-01,54.3153,399.480595520656,393.302472197008,6.17812332364751
"45","FR","France",1981-01-01,53.257,397.512925134909,393.043059890432,4.46986524447741
"46","FR","France",1981-04-01,53.1013,397.220141005744,392.682028550187,4.53811245555731
"47","FR","France",1981-07-01,52.9607,396.955012906406,392.228405244345,4.72660766206141
"48","FR","France",1981-10-01,51.3792,393.923342129972,391.694053361263,2.22928876870921
"49","FR","France",1982-01-01,49.7486,390.698232250513,391.093790419086,-0.395558168572985
"50","FR","France",1982-04-01,49.3452,389.884049671131,390.44382724144,-0.559777570309095
"51","FR","France",1982-07-01,50.2441,391.689312711042,389.760127428096,1.9291852829467
"52","FR","France",1982-10-01,49.2939,389.780034114166,389.058304717842,0.721729396323686
"53","FR","France",1983-01-01,47.7979,386.698170547793,388.35517859027,-1.65700804247642
"54","FR","France",1983-04-01,47.5788,386.238728387581,387.668019605842,-1.42929121826162
"55","FR","France",1983-07-01,48.1547,387.441874511075,387.013062694997,0.428811816078212
"56","FR","France",1983-10-01,47.2114,385.463538885267,386.405649481159,-0.942110595892331
"57","FR","France",1984-01-01,46.0485,382.969518888089,385.86138959514,-2.89187070705048
"58","FR","France",1984-04-01,45.9773,382.814779642776,385.395303848627,-2.58052420585115
"59","FR","France",1984-07-01,46.3848,383.697181935723,385.020605634117,-1.32342369839353
"60","FR","France",1984-10-01,45.6353,382.068153984884,384.748895516477,-2.68074153159248
"61","FR","France",1985-01-01,44.6232,379.825390315183,384.590946920764,-4.76555660558122
"62","FR","France",1985-04-01,44.5781,379.724270704049,384.555857808576,-4.8315871045272
"63","FR","France",1985-07-01,45.3631,381.469899923595,384.649747668635,-3.17984774503959
"64","FR","France",1985-10-01,45.0555,380.789506317287,384.87571624772,-4.08620993043316
"65","FR","France",1986-01-01,44.8853,380.411034693367,385.23487588777,-4.82384119440309
"66","FR","France",1986-04-01,45.4665,381.697579104538,385.725785049519,-4.02820594498057
"67","FR","France",1986-07-01,46.5168,383.981353766626,386.343987292953,-2.36263352632697
"68","FR","France",1986-10-01,46.4434,383.82343668974,387.082508549342,-3.25907185960232
"69","FR","France",1987-01-01,45.9564,382.769312093096,387.932898104004,-5.16358601090872
"70","FR","France",1987-04-01,46.8627,384.722204985767,388.884668322344,-4.16246333657659
"71","FR","France",1987-07-01,48.4979,388.152049803694,389.924104328508,-1.77205452481435
"72","FR","France",1987-10-01,48.7682,388.707846110564,391.03488970706,-2.32704359649608
"73","FR","France",1988-01-01,49.0518,389.287688258575,392.199600508484,-2.91191224990893
"74","FR","France",1988-04-01,50.4208,392.040378835345,393.399358381016,-1.35897954567096
"75","FR","France",1988-07-01,52.5131,396.106266228121,394.613465027738,1.49280120038366
"76","FR","France",1988-10-01,53.0755,397.171542817613,395.820372789512,1.35117002810042
"77","FR","France",1989-01-01,53.4656,397.903845644061,396.999467007955,0.904378636105974
"78","FR","France",1989-04-01,54.7622,400.300017492369,398.130977505948,2.16903998642102
"79","FR","France",1989-07-01,56.7965,403.947470411022,399.19569934302,4.75177106800193
"80","FR","France",1989-10-01,57.0012,404.307232024453,400.175783228694,4.13144879575849
"81","FR","France",1990-01-01,56.797,403.948350743084,401.056349729408,2.89200101367586
"82","FR","France",1990-04-01,57.9571,405.970308169416,401.825101567097,4.14520660231843
"83","FR","France",1990-07-01,59.6508,408.850756002147,402.471548964332,6.37920703781427
"84","FR","France",1990-10-01,59.2794,408.226185947912,402.98779289781,5.23839305010223
"85","FR","France",1991-01-01,58.8774,407.545731583695,403.369921348623,4.17581023507165
"86","FR","France",1991-04-01,59.6188,408.797096057336,403.617296293525,5.17979976381162
"87","FR","France",1991-07-01,60.5394,410.329439274169,403.731889590662,6.59754968350696
"88","FR","France",1991-10-01,59.1695,408.040620642474,403.718910473034,4.32171016944001
"89","FR","France",1992-01-01,57.2509,404.74433628348,403.587691642196,1.15664464128433
"90","FR","France",1992-04-01,56.6594,403.705790486519,403.350266868554,0.355523617964471
"91","FR","France",1992-07-01,57.2225,404.694717768467,403.019392825418,1.67532494304821
"92","FR","France",1992-10-01,56.0433,402.61246062447,402.60804838836,0.0044122361104848
"93","FR","France",1993-01-01,54.7081,400.201177890387,402.130259511037,-1.92908162065043
"94","FR","France",1993-04-01,54.6232,400.045870092775,401.600054904759,-1.55418481198388
"95","FR","France",1993-07-01,55.4415,401.532841079269,401.030257604819,0.502583474450449
"96","FR","France",1993-10-01,54.5199,399.856577263736,400.432719281004,-0.576142017267883
"97","FR","France",1994-01-01,53.4885,397.946667752517,399.819605717774,-1.87293796525693
"98","FR","France",1994-04-01,53.664,398.27423856408,399.202722610825,-0.928484046745454
