"ID","date","GDP"
"200","AU",2018-10-01,500038
"201","AU",2019-01-01,470456
"202","AU",2019-04-01,498958
"203","AT",1995-01-01,41523.809
"204","AT",1995-04-01,43891.254
"205","AT",1995-07-01,45131.169
"206","AT",1995-10-01,46062.514
"207","AT",1996-01-01,42847.237
"208","AT",1996-04-01,45340.343
"209","AT",1996-07-01,46565.03
"210","AT",1996-10-01,47788.27
"211","AT",1997-01-01,44064.014
"212","AT",1997-04-01,46667.806
"213","AT",1997-07-01,48180.91
"214","AT",1997-10-01,49811.039
"215","AT",1998-01-01,46109.93
"216","AT",1998-04-01,49020.625
"217","AT",1998-07-01,50103.283
"218","AT",1998-10-01,51112.784
"219","AT",1999-01-01,47721.203
"220","AT",1999-04-01,50590.964
"221","AT",1999-07-01,51973.679
"222","AT",1999-10-01,53564.738
"223","AT",2000-01-01,50345.098
"224","AT",2000-04-01,53112.965
"225","AT",2000-07-01,54136.255
"226","AT",2000-10-01,56012.157
"227","AT",2001-01-01,52795.094
"228","AT",2001-04-01,54881.763
"229","AT",2001-07-01,55512.61
"230","AT",2001-10-01,57335.607
"231","AT",2002-01-01,53910.123
"232","AT",2002-04-01,56414.576
"233","AT",2002-07-01,57634.531
"234","AT",2002-10-01,58775.988
"235","AT",2003-01-01,55286.499
"236","AT",2003-04-01,57576.271
"237","AT",2003-07-01,58754.725
"238","AT",2003-10-01,60244.965
"239","AT",2004-01-01,57511.342
"240","AT",2004-04-01,60057.342
"241","AT",2004-07-01,61655.182
"242","AT",2004-10-01,63124.38
"243","AT",2005-01-01,59761.284
"244","AT",2005-04-01,63231.055
"245","AT",2005-07-01,64419.956
"246","AT",2005-10-01,66662.726
"247","AT",2006-01-01,63196.713
"248","AT",2006-04-01,66074.728
"249","AT",2006-07-01,67846.82
"250","AT",2006-10-01,70706.19
"251","AT",2007-01-01,67105.095
"252","AT",2007-04-01,70252.316
"253","AT",2007-07-01,71669.75
"254","AT",2007-10-01,74950.805
"255","AT",2008-01-01,71117.681
"256","AT",2008-04-01,73305.274
"257","AT",2008-07-01,73793.532
"258","AT",2008-10-01,75545.426
"259","AT",2009-01-01,68719.406
"260","AT",2009-04-01,70353.599
"261","AT",2009-07-01,72760.251
"262","AT",2009-10-01,76210.769
"263","AT",2010-01-01,69367.381
"264","AT",2010-04-01,72586.924
"265","AT",2010-07-01,75456.194
"266","AT",2010-10-01,78486.141
"267","AT",2011-01-01,74178.91
"268","AT",2011-04-01,76771.354
"269","AT",2011-07-01,78489.949
"270","AT",2011-10-01,80688.449
"271","AT",2012-01-01,76533.22
"272","AT",2012-04-01,78438.567
"273","AT",2012-07-01,80293.371
"274","AT",2012-10-01,83387.898
"275","AT",2013-01-01,77522.776
"276","AT",2013-04-01,79823.972
"277","AT",2013-07-01,81859.455
"278","AT",2013-10-01,84704.002
"279","AT",2014-01-01,79535.215
"280","AT",2014-04-01,82248.551
"281","AT",2014-07-01,84017.538
"282","AT",2014-10-01,87344.762
"283","AT",2015-01-01,81806.636
"284","AT",2015-04-01,84854.18
"285","AT",2015-07-01,87238.705
"286","AT",2015-10-01,90369.711
"287","AT",2016-01-01,85749.703
"288","AT",2016-04-01,88018.809
"289","AT",2016-07-01,89865.033
"290","AT",2016-10-01,93666.168
"291","AT",2017-01-01,89024.394
"292","AT",2017-04-01,91359.292
"293","AT",2017-07-01,93252.621
"294","AT",2017-10-01,96659.457
"295","AT",2018-01-01,93550.568
