"ID","date","NFECredit"
"119","US",1961-01-01,77.9
"120","AT",1961-04-01,31.2
"121","AU",1961-04-01,53.7
"122","CA",1961-04-01,79.2
"123","CH",1961-04-01,114.5
"124","DE",1961-04-01,60
"125","IN",1961-04-01,13
"126","IT",1961-04-01,56.3
"127","NL",1961-04-01,38.9
"128","NO",1961-04-01,117
"129","NZ",1961-04-01,30.9
"130","PT",1961-04-01,61.3
"131","SE",1961-04-01,105.5
"132","US",1961-04-01,79.2
"133","AT",1961-07-01,31.3
"134","AU",1961-07-01,54.4
"135","CA",1961-07-01,79.6
"136","CH",1961-07-01,113.4
"137","DE",1961-07-01,61
"138","IN",1961-07-01,12.6
"139","IT",1961-07-01,57.4
"140","NL",1961-07-01,40.2
"141","NO",1961-07-01,117.1
"142","NZ",1961-07-01,30.3
"143","PT",1961-07-01,60.2
"144","SE",1961-07-01,105
"145","US",1961-07-01,79.7
"146","AT",1961-10-01,31.5
"147","AU",1961-10-01,55
"148","CA",1961-10-01,81.4
"149","CH",1961-10-01,115.8
"150","DE",1961-10-01,61.9
"151","IN",1961-10-01,12.8
"152","IT",1961-10-01,58.1
"153","NL",1961-10-01,42
"154","NO",1961-10-01,117.3
"155","NZ",1961-10-01,29.1
"156","PT",1961-10-01,59.1
"157","SE",1961-10-01,103.7
"158","US",1961-10-01,80.5
"159","AT",1962-01-01,32
"160","AU",1962-01-01,55.3
"161","CA",1962-01-01,79.9
"162","CH",1962-01-01,116.3
"163","DE",1962-01-01,62.2
"164","IN",1962-01-01,13.4
"165","IT",1962-01-01,59.5
"166","NL",1962-01-01,43.8
"167","NO",1962-01-01,117.1
"168","NZ",1962-01-01,30.4
"169","PT",1962-01-01,60.2
"170","SE",1962-01-01,103.9
"171","US",1962-01-01,79.5
"172","AT",1962-04-01,32.3
"173","AU",1962-04-01,55
"174","CA",1962-04-01,84.2
"175","CH",1962-04-01,115.6
"176","DE",1962-04-01,63
"177","IN",1962-04-01,13.5
"178","IT",1962-04-01,60.8
"179","NL",1962-04-01,44.3
"180","NO",1962-04-01,117.2
"181","NZ",1962-04-01,26.3
"182","PT",1962-04-01,61.3
"183","SE",1962-04-01,104.3
"184","US",1962-04-01,80.1
"185","AT",1962-07-01,32.3
"186","AU",1962-07-01,54.6
"187","CA",1962-07-01,85
"188","CH",1962-07-01,115.1
"189","DE",1962-07-01,63.4
"190","IN",1962-07-01,13.1
"191","IT",1962-07-01,62.1
"192","NL",1962-07-01,44.7
"193","NO",1962-07-01,117.3
"194","NZ",1962-07-01,26.2
"195","PT",1962-07-01,62.5
"196","SE",1962-07-01,105
"197","US",1962-07-01,80.3
"198","AT",1962-10-01,32.5
"199","AU",1962-10-01,53.9
"200","CA",1962-10-01,82.3
"201","CH",1962-10-01,115.6
"202","DE",1962-10-01,64.4
"203","IN",1962-10-01,13.1
"204","IT",1962-10-01,63.1
"205","KR",1962-10-01,26.5
"206","NL",1962-10-01,45.9
"207","NO",1962-10-01,117.5
"208","NZ",1962-10-01,27
"209","PT",1962-10-01,63.4
"210","SE",1962-10-01,106
"211","US",1962-10-01,81.6
"212","AT",1963-01-01,33.1
"213","AU",1963-01-01,54
"214","CA",1963-01-01,79.2
"215","CH",1963-01-01,114
"216","DE",1963-01-01,65.3
"217","GB",1963-01-01,55
"218","IN",1963-01-01,13.2
"219","IT",1963-01-01,64.6
