"ID","borrowers_country","date","HHCreditXDC"
"117","IT","Italy",1964-10-01,2.87
"118","JP","Japan",1964-10-01,6307.5
"119","KR","Korea",1964-10-01,10.142
"120","US","United States",1964-10-01,317.13
"121","HU","Hungary",1965-01-01,11.89
"122","IT","Italy",1965-01-01,2.919
"123","JP","Japan",1965-01-01,6501.9
"124","KR","Korea",1965-01-01,10.772
"125","US","United States",1965-01-01,320.497
"126","HU","Hungary",1965-04-01,12.35
"127","IT","Italy",1965-04-01,2.992
"128","JP","Japan",1965-04-01,6601.2
"129","KR","Korea",1965-04-01,12.244
"130","US","United States",1965-04-01,329.929
"131","HU","Hungary",1965-07-01,12.85
"132","IT","Italy",1965-07-01,3.082
"133","JP","Japan",1965-07-01,7030.7
"134","KR","Korea",1965-07-01,12.652
"135","US","United States",1965-07-01,336.667
"136","HU","Hungary",1965-10-01,13.3
"137","IT","Italy",1965-10-01,3.179
"138","JP","Japan",1965-10-01,7545.4
"139","KR","Korea",1965-10-01,16.449
"140","US","United States",1965-10-01,345.863
"141","HU","Hungary",1966-01-01,13.547
"142","IT","Italy",1966-01-01,3.276
"143","JP","Japan",1966-01-01,7821.6
"144","KR","Korea",1966-01-01,19.677
"145","US","United States",1966-01-01,348.849
"146","HU","Hungary",1966-04-01,14.283
"147","IT","Italy",1966-04-01,3.376
"148","JP","Japan",1966-04-01,8133.3
"149","KR","Korea",1966-04-01,25.165
"150","US","United States",1966-04-01,358.365
"151","HU","Hungary",1966-07-01,15
"152","IT","Italy",1966-07-01,3.481
"153","JP","Japan",1966-07-01,8741.9
"154","KR","Korea",1966-07-01,30.541
"155","US","United States",1966-07-01,362.093
"156","GB","United Kingdom",1966-10-01,12.798
"157","HU","Hungary",1966-10-01,15.65
"158","IT","Italy",1966-10-01,3.594
"159","JP","Japan",1966-10-01,9270.7
"160","KR","Korea",1966-10-01,34.943
"161","US","United States",1966-10-01,368.393
"162","GB","United Kingdom",1967-01-01,12.798
"163","HU","Hungary",1967-01-01,16.175
"164","IT","Italy",1967-01-01,3.713
"165","JP","Japan",1967-01-01,9648.7
"166","KR","Korea",1967-01-01,39.791
"167","US","United States",1967-01-01,368.006
"168","GB","United Kingdom",1967-04-01,12.798
"169","HU","Hungary",1967-04-01,16.899
"170","IT","Italy",1967-04-01,3.844
"171","JP","Japan",1967-04-01,10106.7
"172","KR","Korea",1967-04-01,49.564
"173","US","United States",1967-04-01,375.1
"174","GB","United Kingdom",1967-07-01,13.651
"175","HU","Hungary",1967-07-01,17.674
"176","IT","Italy",1967-07-01,3.988
"177","JP","Japan",1967-07-01,10545.4
"178","KR","Korea",1967-07-01,62.485
"179","US","United States",1967-07-01,380.913
"180","GB","United Kingdom",1967-10-01,13.651
"181","HU","Hungary",1967-10-01,18.065
"182","IT","Italy",1967-10-01,4.146
"183","JP","Japan",1967-10-01,11312.6
"184","KR","Korea",1967-10-01,71.932
"185","US","United States",1967-10-01,402.322
"186","GB","United Kingdom",1968-01-01,13.651
"187","HU","Hungary",1968-01-01,18.106
"188","IT","Italy",1968-01-01,4.313
"189","JP","Japan",1968-01-01,11684.4
"190","KR","Korea",1968-01-01,74.77
"191","US","United States",1968-01-01,393.697
"192","GB","United Kingdom",1968-04-01,14.504
"193","HU","Hungary",1968-04-01,18.445
"194","IT","Italy",1968-04-01,4.487
"195","JP","Japan",1968-04-01,12114.1
"196","KR","Korea",1968-04-01,80.912
"197","US","United States",1968-04-01,406.261
"198","GB","United Kingdom",1968-07-01,14.504
"199","HU","Hungary",1968-07-01,19.094
"200","IT","Italy",1968-07-01,4.659
"201","JP","Japan",1968-07-01,12875.4
"202","KR","Korea",1968-07-01,98.002
"203","US","United States",1968-07-01,413.578
"204","GB","United Kingdom",1968-10-01,14.504
"205","HU","Hungary",1968-10-01,19.814
"206","IT","Italy",1968-10-01,4.821
"207","JP","Japan",1968-10-01,13718.9
"208","KR","Korea",1968-10-01,113.779
"209","US","United States",1968-10-01,426.692
"210","CA","Canada",1969-01-01,25.778
"211","GB","United Kingdom",1969-01-01,14.504
"212","HU","Hungary",1969-01-01,19.977
"213","IT","Italy",1969-01-01,4.964
"214","JP","Japan",1969-01-01,14195
"215","KR","Korea",1969-01-01,137.287
"216","US","United States",1969-01-01,425.24
"217","CA","Canada",1969-04-01,26.795
"218","GB","United Kingdom",1969-04-01,15.358
"219","HU","Hungary",1969-04-01,20.493
"220","IT","Italy",1969-04-01,5.099
"221","JP","Japan",1969-04-01,14964
"222","KR","Korea",1969-04-01,166.682
"223","US","United States",1969-04-01,436.394
"224","CA","Canada",1969-07-01,27.575
"225","GB","United Kingdom",1969-07-01,15.358
"226","HU","Hungary",1969-07-01,21.153
"227","IT","Italy",1969-07-01,5.235
"228","JP","Japan",1969-07-01,15806.6
"229","KR","Korea",1969-07-01,194.934
"230","US","United States",1969-07-01,441.993
"231","CA","Canada",1969-10-01,28.576
"232","GB","United Kingdom",1969-10-01,15.358
"233","HU","Hungary",1969-10-01,21.592
"234","IT","Italy",1969-10-01,5.381
"235","JP","Japan",1969-10-01,16942.8
"236","KR","Korea",1969-10-01,212.132
"237","US","United States",1969-10-01,453.272
"238","CA","Canada",1970-01-01,28.677
"239","GB","United Kingdom",1970-01-01,15.358
"240","HU","Hungary",1970-01-01,21.762
"241","IT","Italy",1970-01-01,5.54
"242","JP","Japan",1970-01-01,17559.3
"243","KR","Korea",1970-01-01,223.635
"244","US","United States",1970-01-01,445.469
"245","CA","Canada",1970-04-01,29.394
"246","GB","United Kingdom",1970-04-01,16.211
"247","HU","Hungary",1970-04-01,22.736
"248","IT","Italy",1970-04-01,5.723
"249","JP","Japan",1970-04-01,18220.6
"250","KR","Korea",1970-04-01,247.751
"251","US","United States",1970-04-01,451.801
"252","CA","Canada",1970-07-01,30.06
"253","GB","United Kingdom",1970-07-01,16.211
"254","HU","Hungary",1970-07-01,23.789
"255","IT","Italy",1970-07-01,5.934
"256","JP","Japan",1970-07-01,19185.1
"257","KR","Korea",1970-07-01,277.035
"258","US","United States",1970-07-01,458.431
"259","CA","Canada",1970-10-01,31.097
"260","DE","Germany",1970-10-01,143.979
"261","FI","Finland",1970-10-01,1.44
"262","GB","United Kingdom",1970-10-01,17.064
"263","HU","Hungary",1970-10-01,25.229
"264","IT","Italy",1970-10-01,6.174
"265","JP","Japan",1970-10-01,20389.5
"266","KR","Korea",1970-10-01,308.575
"267","US","United States",1970-10-01,467.163
"268","CA","Canada",1971-01-01,31.4
"269","DE","Germany",1971-01-01,145.486
"270","FI","Finland",1971-01-01,1.506
