"date","ID","HP_inc_gap"
2013-04-01,"BE",0.134651469884452
2013-07-01,"BE",0.114270870818462
2013-10-01,"BE",0.13368432442837
2014-01-01,"BE",0.114723286267761
2014-04-01,"BE",0.120497465002446
2014-07-01,"BE",0.119747764167427
2014-10-01,"BE",0.116348180728424
2015-01-01,"BE",0.119068881986221
2015-04-01,"BE",0.122816784482583
2015-07-01,"BE",0.128699161082693
2015-10-01,"BE",0.125079681266278
2016-01-01,"BE",0.118080992164807
2016-04-01,"BE",0.112907277323356
2016-07-01,"BE",0.111004935076746
2016-10-01,"BE",0.131054671313226
2017-01-01,"BE",0.120903729606747
2017-04-01,"BE",0.113941820246305
2017-07-01,"BE",0.11715059497603
2017-10-01,"BE",0.122723000055621
2018-01-01,"BE",0.125462637435423
2018-04-01,"BE",0.118094120016471
2018-07-01,"BE",0.129845844078464
2018-10-01,"BE",0.118261541778443
2019-01-01,"BE",0.12226512985326
2019-04-01,"BE",0.136498649296621
1999-01-01,"CA",-0.258149119100075
1999-04-01,"CA",-0.255160770407776
1999-07-01,"CA",-0.2637398030278
1999-10-01,"CA",-0.254921385706212
2000-01-01,"CA",-0.255589495138205
2000-04-01,"CA",-0.256959832488124
2000-07-01,"CA",-0.267562241886075
2000-10-01,"CA",-0.282151400946359
2001-01-01,"CA",-0.288553980456194
2001-04-01,"CA",-0.261428830087239
2001-07-01,"CA",-0.273087307575682
2001-10-01,"CA",-0.270920380204598
2002-01-01,"CA",-0.251306849465764
2002-04-01,"CA",-0.233195463808099
2002-07-01,"CA",-0.227540315399515
2002-10-01,"CA",-0.209099787517767
2003-01-01,"CA",-0.200460336893045
2003-04-01,"CA",-0.175131121252995
2003-07-01,"CA",-0.150518800779895
2003-10-01,"CA",-0.149399809791241
2004-01-01,"CA",-0.134511424193458
2004-04-01,"CA",-0.118935452640359
2004-07-01,"CA",-0.110504753915203
2004-10-01,"CA",-0.11170657400071
2005-01-01,"CA",-0.0826358852890432
2005-04-01,"CA",-0.0745727401416872
2005-07-01,"CA",-0.0620548244257721
2005-10-01,"CA",-0.0608939835124307
2006-01-01,"CA",-0.0511702835501924
2006-04-01,"CA",0.00820378870170813
2006-07-01,"CA",0.020105635979657
2006-10-01,"CA",0.0133087500921676
2007-01-01,"CA",0.02571831627535
2007-04-01,"CA",0.0825421756018367
2007-07-01,"CA",0.102299330159301
2007-10-01,"CA",0.0828620360553305
2008-01-01,"CA",0.0748800185308764
2008-04-01,"CA",0.0722476483686056
2008-07-01,"CA",0.0329592192425712
2008-10-01,"CA",-0.00125088544106
2009-01-01,"CA",-0.0279944919073774
2009-04-01,"CA",-0.0114519136159901
2009-07-01,"CA",0.00232143860821399
2009-10-01,"CA",0.0124963938827807
2010-01-01,"CA",0.0193977967247172
2010-04-01,"CA",0.0547999047030048
2010-07-01,"CA",0.0266560795793118
2010-10-01,"CA",-0.000333239500935001
2011-01-01,"CA",0.0144902272380036
2011-04-01,"CA",0.0439673004437688
2011-07-01,"CA",0.0435751838670821
2011-10-01,"CA",0.0223313474197542
2012-01-01,"CA",0.0314899867641567
2012-04-01,"CA",0.0599650995484406
