"credit","Credit_HPcycle","Credit_HPtrend"
"150",27.2,-18.764529572562,45.964529572562
"151",42.7,-3.10295610783224,45.8029561078322
"152",37.2,-8.44126160144867,45.6412616014487
"153",33.9,-11.5793543195325,45.4793543195325
"154",28.2,-17.1171214250503,45.3171214250503
"155",28,-17.1544211325833,45.1544211325833
"156",28.7,-16.2910688639085,44.9910688639085
"157",31.8,-13.0268371547511,44.8268371547511
"158",28.5,-16.1614578131644,44.6614578131644
"159",27.8,-16.6946300801069,44.4946300801069
"160",31.1,-13.2260127928935,44.3260127928935
"161",39.1,-5.05522305226432,44.1552230522643
"162",26.4,-17.5818448939279,43.9818448939279
"163",26.9,-16.9054497155333,43.8054497155333
"164",30.5,-13.1255649601199,43.6255649601199
"165",33.3,-10.1416758071019,43.4416758071019
"166",7.5,-35.7532346219807,43.2532346219807
"167",19.7,-23.3596684160647,43.0596684160647
"168",36,-6.86031481758019,42.8603148175802
"169",732.6,689.945546944416,42.6544530555838
"170",35,-7.44134520833904,42.441345208339
"171",26.4,-15.8219782179829,42.2219782179829
"172",22.7,-19.2973204232878,41.9973204232878
"173",18.8,-22.9683006080797,41.7683006080797
"174",23,-18.535799312883,41.535799312883
"175",21.3,-20.0006396574707,41.3006396574707
"176",18.3,-22.7635984221182,41.0635984221182
"177",17.7,-23.1254023855014,40.8254023855014
"178",17.7,-22.8867214173004,40.5867214173004
"179",18.9,-21.448167573689,40.348167573689
"180",19.2,-20.9102956940378,40.1102956940378
"181",19.8,-20.0736069972979,39.8736069972979
"182",22,-17.6385504266819,39.6385504266819
"183",21.7,-17.7055247413847,39.4055247413847
"184",21.7,-17.4748846042247,39.1748846042247
"185",23.2,-15.7469404142088,38.9469404142088
"186",23.1,-15.6219588831321,38.7219588831321
"187",24.3,-14.2001673554396,38.5001673554396
"188",24.7,-13.5817541206782,38.2817541206782
"189",25,-13.0668719679759,38.0668719679759
"190",24.1,-13.7556397320767,37.8556397320767
"191",24.8,-12.8481435805444,37.6481435805444
"192",24.3,-13.1444352918442,37.4444352918442
"193",25.5,-11.7445345240797,37.2445345240797
"194",25.4,-11.6484280742667,37.0484280742667
"195",25.8,-11.0560733780875,36.8560733780875
"196",25.9,-10.767398750151,36.667398750151
"197",26.5,-9.98230486488581,36.4823048648858
"198",26.9,-9.40066547822117,36.3006654782212
"199",27.9,-8.22232939032604,36.122329390326
"200",28.5,-7.44712189970301,35.947121899703
"201",29.6,-6.17484774903549,35.7748477490355
"202",29.9,-5.70529306319727,35.6052930631973
"203",30.4,-5.03822852994714,35.4382285299471
"204",31.2,-4.07341057380786,35.2734105738079
"205",32,-3.11058302373242,35.1105830237324
"206",32.1,-2.84947952514719,34.9494795251472
"207",32.5,-2.28982594701983,34.7898259470198
"208",32.1,-2.53134103462126,34.6313410346213
"209",32.1,-2.37373780865625,34.4737378086563
"210",30.9,-3.41672296147738,34.3167229614774
"211",30.3,-3.85999725109264,34.1599972510926
"212",30.1,-3.90325289370249,34.0032528937025
"213",29.4,-4.44617245551433,33.8461724555143
"214",28.3,-5.38842874460346,33.6884287446035
"215",29.3,-4.22968345361362,33.5296834536136
"216",28.2,-5.16958480411764,33.3695848041176
"217",39.4,6.19222955652171,33.2077704434783
"218",75.2,42.1561349049025,33.0438650950975
"219",84.5,51.6224910370497,32.8775089629503
"220",76.3,43.5915523586504,32.7084476413496
