"credit","Credit_HPcycle","Credit_HPtrend"
"150",78.6,5.63697291451754,72.9630270854825
"151",78,4.79233894333519,73.2076610566648
"152",73.8,0.329935737621023,73.470064262379
"153",77.4,3.64906538563303,73.750934614367
"154",76,1.94902915079259,74.0509708492074
"155",74.2,-0.170880826141917,74.3708808261419
"156",76.1,1.38862272300866,74.7113772769913
"157",76.3,1.22682749362085,75.0731725063792
"158",75.8,0.343017709525384,75.4569822904746
"159",77.9,2.03647452747813,75.8635254725219
"160",79,2.70647824669734,76.2935217533027
"161",78.2,1.45230407520291,76.7476959247971
"162",77.7,0.473220454833001,77.226779545167
"163",78.5,0.768492196655257,77.7315078033447
"164",77.4,-0.862617071319127,78.2626170713191
"165",75.4,-3.42084564229073,78.8208456422907
"166",71.8,-7.60692965293547,79.4069296529355
"167",71.9,-8.12159668780593,80.0215966878059
"168",71.8,-8.86555531412897,80.665555314129
"169",70.9,-10.4394937951419,81.3394937951419
"170",70.6,-11.4440782302022,82.0440782302022
"171",71.3,-11.4799486199052,82.7799486199052
"172",75.5,-8.04771635469215,83.5477163546921
"173",76.7,-7.64796412510427,84.3479641251043
"174",79.4,-5.78125450239331,85.1812545023933
"175",81.4,-4.64813093791483,86.0481309379148
"176",82.5,-4.44912242987816,86.9491224298782
"177",82.7,-5.18474635616828,87.8847463561683
"178",82,-6.85550897185638,88.8555089718564
"179",82.4,-7.46190357017174,89.8619035701717
"180",82.1,-8.80440630554036,90.9044063055403
"181",86.7,-5.28347467762813,91.9834746776281
"182",89.1,-3.99954417511783,93.0995441751178
"183",87.1,-7.15303707798376,94.2530370779837
"184",85.4,-10.0443656673443,95.4443656673444
"185",89,-7.67392434170566,96.6739243417057
"186",86.8,-11.142082388696,97.942082388696
"187",86.1,-13.1491899111102,99.2491899111102
"188",85,-15.5955691565512,100.595569156551
"189",87.1,-14.8815094996313,101.981509499631
"190",86.8,-16.607261326046,103.407261326046
"191",87.2,-17.6730378177087,104.873037817709
"192",86.4,-19.9790106384073,106.379010638407
"193",88.7,-19.2253072693133,107.925307269313
"194",87.7,-21.8120052440623,109.512005244062
"195",87.9,-23.2391340330373,111.139134033037
"196",88,-24.8066685766019,112.806668576602
"197",87.9,-26.6145257172973,114.514525717297
"198",89,-27.2625602809801,116.26256028098
"199",94.3,-23.7505605571786,118.050560557179
"200",95.6,-24.2782466790603,119.87824667906
"201",97.1,-24.6452794033653,121.745279403365
"202",101.5,-22.1512587912115,123.651258791211
"203",102.7,-22.8957232905308,125.595723290531
"204",103.3,-24.278155971108,127.578155971108
"205",106.1,-23.4979826634174,129.597982663417
"206",110.4,-21.254568502535,131.654568502535
"207",118,-15.7472198785868,133.747219878587
"208",121.6,-14.275190045282,135.875190045282
"209",128.1,-9.93769288827329,138.037692888273
"210",133,-7.23390660523904,140.233906605239
"211",128.1,-14.362984549629,142.462984549629
"212",130.2,-14.5240619901232,144.724061990123
"213",128.8,-18.2162382879478,147.016238287948
"214",128.3,-21.0385764941687,149.338576494169
"215",129.7,-21.990094119248,151.690094119248
"216",128.3,-25.7697560772249,154.069756077225
"217",134.7,-21.7764723068836,156.476472306884
"218",135.3,-23.6090883226278,158.909088322628
"219",137.3,-24.0663951976874,161.366395197687
"220",136.2,-27.6471249825536,163.847124982554
"221",132.7,-33.6499495617509,166.349949561751
"222",126.3,-42.5734717019732,168.873471701973
"223",129.5,-41.9162100450468,171.416210045047
"224",133.1,-40.8765767991218,173.976576799122
"225",141.4,-35.1528793818202,176.55287938182
"226",142.6,-36.5433230193196,179.14332301932
"227",141.8,-39.9460250556025,181.746025055602
"228",147.4,-36.9590114763476,184.359011476348
"229",159.1,-27.8802084021638,186.980208402164
"230",158.2,-31.407449556135,189.607449556135
"231",160.8,-31.438498960824,192.238498960824
"232",170.6,-24.271042120169,194.871042120169
"233",176.5,-21.0026859418597,197.50268594186
"234",190.5,-9.63097665598461,200.130976655985
"235",202.9,0.146592014087232,202.753407985913
"236",208.1,2.73255042242751,205.367449577572
"237",214.1,6.12942855662685,207.970571443373
"238",218.6,8.03974957290649,210.560250427094
"239",221,7.86602130389974,213.1339786961
"240",226.3,10.610731482881,215.689268517119
"241",227.4,9.1763481780624,218.223651821938
"242",240.5,19.7653129308362,220.734687069164
"243",252.9,29.6800443417219,223.219955658278
"244",265.9,40.2229115979424,225.677088402058
"245",283.1,54.9962096866335,228.103790313366
"246",287.9,57.4021330376318,230.497866962368
"247",291.5,58.6427385902671,232.857261409733
"248",298.4,63.2199397785055,235.180060221495
"249",302.8,65.3355034295117,237.464496570488
"250",304.3,64.591038320555,239.708961679445
"251",301.6,59.6879898901809,241.912010109819
"252",293.5,49.4276420993256,244.072357900674
"253",310.2,64.0111296889539,246.188870311046
"254",311.4,63.1394638309163,248.260536169084
"255",308.6,58.3134956692599,250.28650433074
"256",312.9,60.6339184993587,252.266081500641
"257",315.1,60.901279832834,254.198720167166
"258",322,65.9159755965255,256.084024403474
"259",327.5,69.5782494640834,257.921750535917
"260",327,67.2881803192027,259.711819680797
"261",313.8,52.3456730999627,261.454326900037
"262",306.7,43.550464523992,263.149535476008
"263",297.8,33.0021604447311,264.797839555269
"264",293.4,27.0002578394712,266.399742160529
"265",296.7,28.7441711800729,267.955828819927
"266",292.6,23.1332474377732,269.466752562227
"267",294.3,23.3667617233868,270.933238276613
"268",292.6,20.2439313146119,272.356068685388
"269",300.7,26.9639150722201,273.73608492778
"270",401.4,126.325821247172,275.074178752828
"271",366,89.6286906806376,276.371309319362
"272",336.5,58.871248399231,277.628751600769
"273",323,44.1519953578551,278.848004642145
"274",322.6,42.5692853332577,280.030714666742
"275",322.2,41.0213617222377,281.178638277762
"276",304,21.7063614983457,282.293638501654
"277",304.2,20.8223190817411,283.377680918259
"278",301.5,17.0672146266995,284.4327853733
"279",288.3,2.83897623166718,285.461023768333
"280",279.9,-6.56451067292257,286.464510672923
"281",269.7,-17.7453677540851,287.445367754085
"282",259.8,-28.6057002675699,288.40570026757
"283",260.7,-28.6475691056942,289.347569105694
"284",258.1,-32.1729636465269,290.272963646527
"285",265.9,-25.2838016492167,291.183801649217
