year	month	gm	sp
2007	12	-0.165605	-0.008628
2008	1	0.133387	-0.061163
2008	2	-0.165899	-0.034761
2008	3	-0.181701	-0.00596
2008	4	0.217848	0.047547
2008	5	-0.252155	0.010674
2008	6	-0.327485	-0.085962
2008	7	-0.037391	-0.009859
2008	8	-0.096658	0.012191
2008	9	-0.055	-0.090791
2008	10	-0.387302	-0.169425
2008	11	-0.094991	-0.074849
2008	12	-0.389313	0.007822
