"ID","borrowers_country","date","credit"
"134","GB","United Kingdom",1996-04-01,116
"135","GB","United Kingdom",1996-07-01,115.2
"136","GB","United Kingdom",1996-10-01,114.8
"137","GB","United Kingdom",1997-01-01,107.9
"138","GB","United Kingdom",1997-04-01,109.7
"139","GB","United Kingdom",1997-07-01,111.9
"140","GB","United Kingdom",1997-10-01,112.1
"141","GB","United Kingdom",1998-01-01,114
"142","GB","United Kingdom",1998-04-01,115.7
"143","GB","United Kingdom",1998-07-01,119.4
"144","GB","United Kingdom",1998-10-01,120
"145","GB","United Kingdom",1999-01-01,122.1
"146","GB","United Kingdom",1999-04-01,124.8
"147","GB","United Kingdom",1999-07-01,125.8
"148","GB","United Kingdom",1999-10-01,128.2
"149","GB","United Kingdom",2000-01-01,130.1
"150","GB","United Kingdom",2000-04-01,133.5
"151","GB","United Kingdom",2000-07-01,135.1
"152","GB","United Kingdom",2000-10-01,135.6
"153","GB","United Kingdom",2001-01-01,139.2
"154","GB","United Kingdom",2001-04-01,140.1
"155","GB","United Kingdom",2001-07-01,141.7
"156","GB","United Kingdom",2001-10-01,144.2
"157","GB","United Kingdom",2002-01-01,146.1
"158","GB","United Kingdom",2002-04-01,148.7
"159","GB","United Kingdom",2002-07-01,153.8
"160","GB","United Kingdom",2002-10-01,153.8
"161","GB","United Kingdom",2003-01-01,151.3
"162","GB","United Kingdom",2003-04-01,153.7
"163","GB","United Kingdom",2003-07-01,154.2
"164","GB","United Kingdom",2003-10-01,154
"165","GB","United Kingdom",2004-01-01,153.8
"166","GB","United Kingdom",2004-04-01,154.1
"167","GB","United Kingdom",2004-07-01,156.6
"168","GB","United Kingdom",2004-10-01,157.9
"169","GB","United Kingdom",2005-01-01,158.7
"170","GB","United Kingdom",2005-04-01,162.4
"171","GB","United Kingdom",2005-07-01,164.5
"172","GB","United Kingdom",2005-10-01,165.5
"173","GB","United Kingdom",2006-01-01,166.3
"174","GB","United Kingdom",2006-04-01,168.7
"175","GB","United Kingdom",2006-07-01,172
"176","GB","United Kingdom",2006-10-01,171.9
"177","GB","United Kingdom",2007-01-01,170.1
"178","GB","United Kingdom",2007-04-01,171
"179","GB","United Kingdom",2007-07-01,174.1
"180","GB","United Kingdom",2007-10-01,175.6
"181","GB","United Kingdom",2008-01-01,178.6
"182","GB","United Kingdom",2008-04-01,178.1
"183","GB","United Kingdom",2008-07-01,179.1
"184","GB","United Kingdom",2008-10-01,185.7
"185","GB","United Kingdom",2009-01-01,186
"186","GB","United Kingdom",2009-04-01,182.4
"187","GB","United Kingdom",2009-07-01,185.7
"188","GB","United Kingdom",2009-10-01,185.4
"189","GB","United Kingdom",2010-01-01,186.6
"190","GB","United Kingdom",2010-04-01,182.6
"191","GB","United Kingdom",2010-07-01,182.3
"192","GB","United Kingdom",2010-10-01,177.7
"193","GB","United Kingdom",2011-01-01,176.2
"194","GB","United Kingdom",2011-04-01,175.7
"195","GB","United Kingdom",2011-07-01,174.6
"196","GB","United Kingdom",2011-10-01,172.9
