"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"78","AU","Australia","A","Credit-to-GDP ratios (actual data)",1979-07-01,73.8
"79","AU","Australia","A","Credit-to-GDP ratios (actual data)",1979-10-01,73.8
"80","AU","Australia","A","Credit-to-GDP ratios (actual data)",1980-01-01,74.5
"81","AU","Australia","A","Credit-to-GDP ratios (actual data)",1980-04-01,76.4
"82","AU","Australia","A","Credit-to-GDP ratios (actual data)",1980-07-01,76.2
"83","AU","Australia","A","Credit-to-GDP ratios (actual data)",1980-10-01,76.5
"84","AU","Australia","A","Credit-to-GDP ratios (actual data)",1981-01-01,76.9
"85","AU","Australia","A","Credit-to-GDP ratios (actual data)",1981-04-01,78.8
"86","AU","Australia","A","Credit-to-GDP ratios (actual data)",1981-07-01,78.9
"87","AU","Australia","A","Credit-to-GDP ratios (actual data)",1981-10-01,79.2
"88","AU","Australia","A","Credit-to-GDP ratios (actual data)",1982-01-01,80.4
"89","AU","Australia","A","Credit-to-GDP ratios (actual data)",1982-04-01,81.5
"90","AU","Australia","A","Credit-to-GDP ratios (actual data)",1982-07-01,82.5
"91","AU","Australia","A","Credit-to-GDP ratios (actual data)",1982-10-01,83.1
"92","AU","Australia","A","Credit-to-GDP ratios (actual data)",1983-01-01,85.1
"93","AU","Australia","A","Credit-to-GDP ratios (actual data)",1983-04-01,86.9
"94","AU","Australia","A","Credit-to-GDP ratios (actual data)",1983-07-01,86.1
"95","AU","Australia","A","Credit-to-GDP ratios (actual data)",1983-10-01,86.5
"96","AU","Australia","A","Credit-to-GDP ratios (actual data)",1984-01-01,85.8
"97","AU","Australia","A","Credit-to-GDP ratios (actual data)",1984-04-01,85.6
"98","AU","Australia","A","Credit-to-GDP ratios (actual data)",1984-07-01,86.1
"99","AU","Australia","A","Credit-to-GDP ratios (actual data)",1984-10-01,87.5
"100","AU","Australia","A","Credit-to-GDP ratios (actual data)",1985-01-01,88.6
"101","AU","Australia","A","Credit-to-GDP ratios (actual data)",1985-04-01,91.1
"102","AU","Australia","A","Credit-to-GDP ratios (actual data)",1985-07-01,92.3
