"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"78","JP","Japan","A","Credit-to-GDP ratios (actual data)",1984-01-01,160
"79","JP","Japan","A","Credit-to-GDP ratios (actual data)",1984-04-01,158.7
"80","JP","Japan","A","Credit-to-GDP ratios (actual data)",1984-07-01,161.3
"81","JP","Japan","A","Credit-to-GDP ratios (actual data)",1984-10-01,162.6
"82","JP","Japan","A","Credit-to-GDP ratios (actual data)",1985-01-01,163.7
"83","JP","Japan","A","Credit-to-GDP ratios (actual data)",1985-04-01,162.3
"84","JP","Japan","A","Credit-to-GDP ratios (actual data)",1985-07-01,163.6
"85","JP","Japan","A","Credit-to-GDP ratios (actual data)",1985-10-01,165.3
"86","JP","Japan","A","Credit-to-GDP ratios (actual data)",1986-01-01,165.6
"87","JP","Japan","A","Credit-to-GDP ratios (actual data)",1986-04-01,165.1
"88","JP","Japan","A","Credit-to-GDP ratios (actual data)",1986-07-01,167.8
"89","JP","Japan","A","Credit-to-GDP ratios (actual data)",1986-10-01,171.6
"90","JP","Japan","A","Credit-to-GDP ratios (actual data)",1987-01-01,173.5
"91","JP","Japan","A","Credit-to-GDP ratios (actual data)",1987-04-01,179.8
"92","JP","Japan","A","Credit-to-GDP ratios (actual data)",1987-07-01,183.7
"93","JP","Japan","A","Credit-to-GDP ratios (actual data)",1987-10-01,187.2
"94","JP","Japan","A","Credit-to-GDP ratios (actual data)",1988-01-01,186.4
"95","JP","Japan","A","Credit-to-GDP ratios (actual data)",1988-04-01,186.8
"96","JP","Japan","A","Credit-to-GDP ratios (actual data)",1988-07-01,189.6
"97","JP","Japan","A","Credit-to-GDP ratios (actual data)",1988-10-01,193.3
"98","JP","Japan","A","Credit-to-GDP ratios (actual data)",1989-01-01,194.6
"99","JP","Japan","A","Credit-to-GDP ratios (actual data)",1989-04-01,196
"100","JP","Japan","A","Credit-to-GDP ratios (actual data)",1989-07-01,200.7
"101","JP","Japan","A","Credit-to-GDP ratios (actual data)",1989-10-01,204.7
"102","JP","Japan","A","Credit-to-GDP ratios (actual data)",1990-01-01,209.6
"103","JP","Japan","A","Credit-to-GDP ratios (actual data)",1990-04-01,207.8
"104","JP","Japan","A","Credit-to-GDP ratios (actual data)",1990-07-01,209.4
"105","JP","Japan","A","Credit-to-GDP ratios (actual data)",1990-10-01,211.2
"106","JP","Japan","A","Credit-to-GDP ratios (actual data)",1991-01-01,209.1
"107","JP","Japan","A","Credit-to-GDP ratios (actual data)",1991-04-01,208
"108","JP","Japan","A","Credit-to-GDP ratios (actual data)",1991-07-01,208.3
"109","JP","Japan","A","Credit-to-GDP ratios (actual data)",1991-10-01,210
"110","JP","Japan","A","Credit-to-GDP ratios (actual data)",1992-01-01,208.5
"111","JP","Japan","A","Credit-to-GDP ratios (actual data)",1992-04-01,208.4
"112","JP","Japan","A","Credit-to-GDP ratios (actual data)",1992-07-01,209.1
"113","JP","Japan","A","Credit-to-GDP ratios (actual data)",1992-10-01,212.4
"114","JP","Japan","A","Credit-to-GDP ratios (actual data)",1993-01-01,212.4
"115","JP","Japan","A","Credit-to-GDP ratios (actual data)",1993-04-01,213.1
"116","JP","Japan","A","Credit-to-GDP ratios (actual data)",1993-07-01,215.2
"117","JP","Japan","A","Credit-to-GDP ratios (actual data)",1993-10-01,217.5
"118","JP","Japan","A","Credit-to-GDP ratios (actual data)",1994-01-01,215.6
"119","JP","Japan","A","Credit-to-GDP ratios (actual data)",1994-04-01,213.3
"120","JP","Japan","A","Credit-to-GDP ratios (actual data)",1994-07-01,213.6
"121","JP","Japan","A","Credit-to-GDP ratios (actual data)",1994-10-01,214.2
"122","JP","Japan","A","Credit-to-GDP ratios (actual data)",1995-01-01,213.3
"123","JP","Japan","A","Credit-to-GDP ratios (actual data)",1995-04-01,211.2
"124","JP","Japan","A","Credit-to-GDP ratios (actual data)",1995-07-01,211.7
"125","JP","Japan","A","Credit-to-GDP ratios (actual data)",1995-10-01,212.5
"126","JP","Japan","A","Credit-to-GDP ratios (actual data)",1996-01-01,210.8
"127","JP","Japan","A","Credit-to-GDP ratios (actual data)",1996-04-01,208.7
"128","JP","Japan","A","Credit-to-GDP ratios (actual data)",1996-07-01,207.7
"129","JP","Japan","A","Credit-to-GDP ratios (actual data)",1996-10-01,208.5
"130","JP","Japan","A","Credit-to-GDP ratios (actual data)",1997-01-01,205.1
"131","JP","Japan","A","Credit-to-GDP ratios (actual data)",1997-04-01,203.9
"132","JP","Japan","A","Credit-to-GDP ratios (actual data)",1997-07-01,203.3
"133","JP","Japan","A","Credit-to-GDP ratios (actual data)",1997-10-01,206.2
"134","JP","Japan","A","Credit-to-GDP ratios (actual data)",1998-01-01,203.2
"135","JP","Japan","A","Credit-to-GDP ratios (actual data)",1998-04-01,202.8
"136","JP","Japan","A","Credit-to-GDP ratios (actual data)",1998-07-01,203.8
"137","JP","Japan","A","Credit-to-GDP ratios (actual data)",1998-10-01,199.3
"138","JP","Japan","A","Credit-to-GDP ratios (actual data)",1999-01-01,195.9
"139","JP","Japan","A","Credit-to-GDP ratios (actual data)",1999-04-01,193.9
"140","JP","Japan","A","Credit-to-GDP ratios (actual data)",1999-07-01,193.5
"141","JP","Japan","A","Credit-to-GDP ratios (actual data)",1999-10-01,196.3
"142","JP","Japan","A","Credit-to-GDP ratios (actual data)",2000-01-01,193.6
"143","JP","Japan","A","Credit-to-GDP ratios (actual data)",2000-04-01,189.7
"144","JP","Japan","A","Credit-to-GDP ratios (actual data)",2000-07-01,189.1
"145","JP","Japan","A","Credit-to-GDP ratios (actual data)",2000-10-01,187.5
"146","JP","Japan","A","Credit-to-GDP ratios (actual data)",2001-01-01,184.9
"147","JP","Japan","A","Credit-to-GDP ratios (actual data)",2001-04-01,182.3
"148","JP","Japan","A","Credit-to-GDP ratios (actual data)",2001-07-01,182.1
"149","JP","Japan","A","Credit-to-GDP ratios (actual data)",2001-10-01,182.8
"150","JP","Japan","A","Credit-to-GDP ratios (actual data)",2002-01-01,182.1
"151","JP","Japan","A","Credit-to-GDP ratios (actual data)",2002-04-01,180.8
"152","JP","Japan","A","Credit-to-GDP ratios (actual data)",2002-07-01,178.4
"153","JP","Japan","A","Credit-to-GDP ratios (actual data)",2002-10-01,179.1
"154","JP","Japan","A","Credit-to-GDP ratios (actual data)",2003-01-01,176.6
"155","JP","Japan","A","Credit-to-GDP ratios (actual data)",2003-04-01,173.4
"156","JP","Japan","A","Credit-to-GDP ratios (actual data)",2003-07-01,171.1
"157","JP","Japan","A","Credit-to-GDP ratios (actual data)",2003-10-01,171
"158","JP","Japan","A","Credit-to-GDP ratios (actual data)",2004-01-01,168
"159","JP","Japan","A","Credit-to-GDP ratios (actual data)",2004-04-01,165.4
"160","JP","Japan","A","Credit-to-GDP ratios (actual data)",2004-07-01,163.8
"161","JP","Japan","A","Credit-to-GDP ratios (actual data)",2004-10-01,164
"162","JP","Japan","A","Credit-to-GDP ratios (actual data)",2005-01-01,164.2
"163","JP","Japan","A","Credit-to-GDP ratios (actual data)",2005-04-01,161.9
"164","JP","Japan","A","Credit-to-GDP ratios (actual data)",2005-07-01,162.6
"165","JP","Japan","A","Credit-to-GDP ratios (actual data)",2005-10-01,163
"166","JP","Japan","A","Credit-to-GDP ratios (actual data)",2006-01-01,162.3
"167","JP","Japan","A","Credit-to-GDP ratios (actual data)",2006-04-01,161.1
"168","JP","Japan","A","Credit-to-GDP ratios (actual data)",2006-07-01,161.7
"169","JP","Japan","A","Credit-to-GDP ratios (actual data)",2006-10-01,161.7
"170","JP","Japan","A","Credit-to-GDP ratios (actual data)",2007-01-01,160.9
"171","JP","Japan","A","Credit-to-GDP ratios (actual data)",2007-04-01,157.7
"172","JP","Japan","A","Credit-to-GDP ratios (actual data)",2007-07-01,158.3
"173","JP","Japan","A","Credit-to-GDP ratios (actual data)",2007-10-01,159.4
"174","JP","Japan","A","Credit-to-GDP ratios (actual data)",2008-01-01,158.9
"175","JP","Japan","A","Credit-to-GDP ratios (actual data)",2008-04-01,159.6
"176","JP","Japan","A","Credit-to-GDP ratios (actual data)",2008-07-01,160.2
"177","JP","Japan","A","Credit-to-GDP ratios (actual data)",2008-10-01,164.4
"178","JP","Japan","A","Credit-to-GDP ratios (actual data)",2009-01-01,166.2
"179","JP","Japan","A","Credit-to-GDP ratios (actual data)",2009-04-01,167.9
"180","JP","Japan","A","Credit-to-GDP ratios (actual data)",2009-07-01,169.7
"181","JP","Japan","A","Credit-to-GDP ratios (actual data)",2009-10-01,170.8
"182","JP","Japan","A","Credit-to-GDP ratios (actual data)",2010-01-01,168.9
"183","JP","Japan","A","Credit-to-GDP ratios (actual data)",2010-04-01,167
"184","JP","Japan","A","Credit-to-GDP ratios (actual data)",2010-07-01,164.6
"185","JP","Japan","A","Credit-to-GDP ratios (actual data)",2010-10-01,163
"186","JP","Japan","A","Credit-to-GDP ratios (actual data)",2011-01-01,162
"187","JP","Japan","A","Credit-to-GDP ratios (actual data)",2011-04-01,161.9
"188","JP","Japan","A","Credit-to-GDP ratios (actual data)",2011-07-01,162.7
"189","JP","Japan","A","Credit-to-GDP ratios (actual data)",2011-10-01,163
"190","JP","Japan","A","Credit-to-GDP ratios (actual data)",2012-01-01,161.9
"191","JP","Japan","A","Credit-to-GDP ratios (actual data)",2012-04-01,158.8
"192","JP","Japan","A","Credit-to-GDP ratios (actual data)",2012-07-01,159.8
"193","JP","Japan","A","Credit-to-GDP ratios (actual data)",2012-10-01,161
"194","JP","Japan","A","Credit-to-GDP ratios (actual data)",2013-01-01,161.1
"195","JP","Japan","A","Credit-to-GDP ratios (actual data)",2013-04-01,159.7
"196","JP","Japan","A","Credit-to-GDP ratios (actual data)",2013-07-01,159.4
"197","JP","Japan","A","Credit-to-GDP ratios (actual data)",2013-10-01,159.4
"198","JP","Japan","A","Credit-to-GDP ratios (actual data)",2014-01-01,158.3
"199","JP","Japan","A","Credit-to-GDP ratios (actual data)",2014-04-01,156.6
"200","JP","Japan","A","Credit-to-GDP ratios (actual data)",2014-07-01,156.9
"201","JP","Japan","A","Credit-to-GDP ratios (actual data)",2014-10-01,157.5
"202","JP","Japan","A","Credit-to-GDP ratios (actual data)",2015-01-01,156.1
"203","JP","Japan","A","Credit-to-GDP ratios (actual data)",2015-04-01,153.5
"204","JP","Japan","A","Credit-to-GDP ratios (actual data)",2015-07-01,152.8
"205","JP","Japan","A","Credit-to-GDP ratios (actual data)",2015-10-01,153.1
"206","JP","Japan","A","Credit-to-GDP ratios (actual data)",2016-01-01,152.7
