"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"82","FR","France","A","Credit-to-GDP ratios (actual data)",1990-01-01,124.4
"83","FR","France","A","Credit-to-GDP ratios (actual data)",1990-04-01,125.3
"84","FR","France","A","Credit-to-GDP ratios (actual data)",1990-07-01,125.9
"85","FR","France","A","Credit-to-GDP ratios (actual data)",1990-10-01,128.8
"86","FR","France","A","Credit-to-GDP ratios (actual data)",1991-01-01,129.4
"87","FR","France","A","Credit-to-GDP ratios (actual data)",1991-04-01,129.9
"88","FR","France","A","Credit-to-GDP ratios (actual data)",1991-07-01,130.6
"89","FR","France","A","Credit-to-GDP ratios (actual data)",1991-10-01,131.9
"90","FR","France","A","Credit-to-GDP ratios (actual data)",1992-01-01,132.1
"91","FR","France","A","Credit-to-GDP ratios (actual data)",1992-04-01,132.9
"92","FR","France","A","Credit-to-GDP ratios (actual data)",1992-07-01,132.2
"93","FR","France","A","Credit-to-GDP ratios (actual data)",1992-10-01,134.2
"94","FR","France","A","Credit-to-GDP ratios (actual data)",1993-01-01,136.4
"95","FR","France","A","Credit-to-GDP ratios (actual data)",1993-04-01,136.4
"96","FR","France","A","Credit-to-GDP ratios (actual data)",1993-07-01,136
"97","FR","France","A","Credit-to-GDP ratios (actual data)",1993-10-01,134.5
"98","FR","France","A","Credit-to-GDP ratios (actual data)",1994-01-01,134.5
"99","FR","France","A","Credit-to-GDP ratios (actual data)",1994-04-01,133.4
"100","FR","France","A","Credit-to-GDP ratios (actual data)",1994-07-01,132.3
"101","FR","France","A","Credit-to-GDP ratios (actual data)",1994-10-01,133.4
"102","FR","France","A","Credit-to-GDP ratios (actual data)",1995-01-01,132.6
"103","FR","France","A","Credit-to-GDP ratios (actual data)",1995-04-01,133
"104","FR","France","A","Credit-to-GDP ratios (actual data)",1995-07-01,132.4
"105","FR","France","A","Credit-to-GDP ratios (actual data)",1995-10-01,130.8
"106","FR","France","A","Credit-to-GDP ratios (actual data)",1996-01-01,130
"107","FR","France","A","Credit-to-GDP ratios (actual data)",1996-04-01,129.8
"108","FR","France","A","Credit-to-GDP ratios (actual data)",1996-07-01,128.8
"109","FR","France","A","Credit-to-GDP ratios (actual data)",1996-10-01,129.7
"110","FR","France","A","Credit-to-GDP ratios (actual data)",1997-01-01,130.4
"111","FR","France","A","Credit-to-GDP ratios (actual data)",1997-04-01,130.6
"112","FR","France","A","Credit-to-GDP ratios (actual data)",1997-07-01,130
"113","FR","France","A","Credit-to-GDP ratios (actual data)",1997-10-01,129.8
"114","FR","France","A","Credit-to-GDP ratios (actual data)",1998-01-01,129.6
"115","FR","France","A","Credit-to-GDP ratios (actual data)",1998-04-01,129.2
"116","FR","France","A","Credit-to-GDP ratios (actual data)",1998-07-01,128.6
"117","FR","France","A","Credit-to-GDP ratios (actual data)",1998-10-01,127.9
"118","FR","France","A","Credit-to-GDP ratios (actual data)",1999-01-01,128.1
"119","FR","France","A","Credit-to-GDP ratios (actual data)",1999-04-01,130.6
