"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"1","AU","1970-01-01","A","Credit-to-GDP ratios (actual data)",62.4,"Australia",31.3066
"2","AU","1970-04-01","A","Credit-to-GDP ratios (actual data)",61.9,"Australia",31.5506
"3","AU","1970-07-01","A","Credit-to-GDP ratios (actual data)",61.8,"Australia",32.1013
"4","AU","1970-10-01","A","Credit-to-GDP ratios (actual data)",61.9,"Australia",32.4367
"5","AU","1971-01-01","A","Credit-to-GDP ratios (actual data)",61.7,"Australia",33.0228
"6","AU","1971-04-01","A","Credit-to-GDP ratios (actual data)",61.8,"Australia",33.4476
"7","AU","1971-07-01","A","Credit-to-GDP ratios (actual data)",61.4,"Australia",33.481
"8","AU","1971-10-01","A","Credit-to-GDP ratios (actual data)",61.2,"Australia",34.1111
"9","AU","1972-01-01","A","Credit-to-GDP ratios (actual data)",61.6,"Australia",34.5306
"10","AU","1972-04-01","A","Credit-to-GDP ratios (actual data)",61.7,"Australia",34.8022
"11","AU","1972-07-01","A","Credit-to-GDP ratios (actual data)",62.2,"Australia",35.1382
"12","AU","1972-10-01","A","Credit-to-GDP ratios (actual data)",62.1,"Australia",36.7062
"13","AU","1973-01-01","A","Credit-to-GDP ratios (actual data)",64.1,"Australia",37.0803
"14","AU","1973-04-01","A","Credit-to-GDP ratios (actual data)",65.7,"Australia",37.9458
"15","AU","1973-07-01","A","Credit-to-GDP ratios (actual data)",66.5,"Australia",39.6809
"16","AU","1973-10-01","A","Credit-to-GDP ratios (actual data)",66.6,"Australia",41.0876
"17","AU","1974-01-01","A","Credit-to-GDP ratios (actual data)",67.8,"Australia",42.4078
"18","AU","1974-04-01","A","Credit-to-GDP ratios (actual data)",69.4,"Australia",42.2173
"19","AU","1974-07-01","A","Credit-to-GDP ratios (actual data)",70.6,"Australia",40.6093
"20","AU","1974-10-01","A","Credit-to-GDP ratios (actual data)",71.7,"Australia",40.163
"21","AU","1975-01-01","A","Credit-to-GDP ratios (actual data)",71.7,"Australia",39.3666
"22","AU","1975-04-01","A","Credit-to-GDP ratios (actual data)",71.2,"Australia",39.7059
"23","AU","1975-07-01","A","Credit-to-GDP ratios (actual data)",71.1,"Australia",40.5704
"24","AU","1975-10-01","A","Credit-to-GDP ratios (actual data)",71.1,"Australia",39.5241
"25","AU","1976-01-01","A","Credit-to-GDP ratios (actual data)",71,"Australia",39.8648
"26","AU","1976-04-01","A","Credit-to-GDP ratios (actual data)",70.8,"Australia",39.8785
"27","AU","1976-07-01","A","Credit-to-GDP ratios (actual data)",70.5,"Australia",38.9466
"28","AU","1976-10-01","A","Credit-to-GDP ratios (actual data)",70.3,"Australia",37.9084
"29","AU","1977-01-01","A","Credit-to-GDP ratios (actual data)",69.7,"Australia",38.1009
"30","AU","1977-04-01","A","Credit-to-GDP ratios (actual data)",69.2,"Australia",38.0344
"31","AU","1977-07-01","A","Credit-to-GDP ratios (actual data)",69,"Australia",37.4115
"32","AU","1977-10-01","A","Credit-to-GDP ratios (actual data)",69.1,"Australia",37.1898
"33","AU","1978-01-01","A","Credit-to-GDP ratios (actual data)",69.7,"Australia",37.6411
"34","AU","1978-04-01","A","Credit-to-GDP ratios (actual data)",71.6,"Australia",36.8346
"35","AU","1978-07-01","A","Credit-to-GDP ratios (actual data)",71.6,"Australia",36.3476
"36","AU","1978-10-01","A","Credit-to-GDP ratios (actual data)",72.2,"Australia",35.9354
"37","AU","1979-01-01","A","Credit-to-GDP ratios (actual data)",71.6,"Australia",37.2094
"38","AU","1979-04-01","A","Credit-to-GDP ratios (actual data)",73.4,"Australia",38.5412
"39","AU","1979-07-01","A","Credit-to-GDP ratios (actual data)",73.8,"Australia",38.4186
"40","AU","1979-10-01","A","Credit-to-GDP ratios (actual data)",73.8,"Australia",37.9887
"41","AU","1980-01-01","A","Credit-to-GDP ratios (actual data)",74.5,"Australia",38.0706
"42","AU","1980-04-01","A","Credit-to-GDP ratios (actual data)",76.4,"Australia",38.7966
"43","AU","1980-07-01","A","Credit-to-GDP ratios (actual data)",76.2,"Australia",39.4304
"44","AU","1980-10-01","A","Credit-to-GDP ratios (actual data)",76.5,"Australia",39.8631
"45","AU","1981-01-01","A","Credit-to-GDP ratios (actual data)",76.9,"Australia",41.4858
"46","AU","1981-04-01","A","Credit-to-GDP ratios (actual data)",78.8,"Australia",41.9429
"47","AU","1981-07-01","A","Credit-to-GDP ratios (actual data)",78.9,"Australia",40.3063
"48","AU","1981-10-01","A","Credit-to-GDP ratios (actual data)",79.2,"Australia",40.5353
