"credit","HPIndex","Credit_HPcycle","HPIndex_HPcycle","Credit_HPtrend","HPIndex_HPtrend"
"63",110.3,77.9601,-4.22621141978233,-3.21354043749842,114.526211419782,81.1736404374984
"64",113,78.7503,-2.28963892654454,-3.25639889018527,115.289638926545,82.0066988901853
"65",113.1,80.0794,-2.95042505116939,-2.75834888009868,116.050425051169,82.8377488800987
"66",114.8,81.8735,-2.00449738719041,-1.78924669515885,116.80449738719,83.6627466951589
"67",116.7,83.1403,-0.845939512484128,-1.3356246552359,117.545939512484,84.4759246552359
"68",119.2,84.4355,0.932417805939822,-0.834896801015483,118.26758219406,85.2703968010155
"69",119.2,85.689,0.238272513267213,-0.349442407773803,118.961727486733,86.0384424077738
"70",120.8,86.576,1.17873979355497,-0.195818940286341,119.621260206445,86.7718189402863
"71",121.7,87.4278,1.4607859105394,-0.0342654618237126,120.239214089461,87.4620654618237
"72",122.2,88.433,1.39064041558563,0.332401351180933,120.809359584414,88.1005986488191
"73",122.4,89.3962,1.07361986886496,0.717386238208451,121.326380131135,88.6788137617915
"74",123.4,90.4057,1.61417168028883,1.21738618789502,121.785828319711,89.188313812105
"75",123.7,91.7448,1.51607224735055,2.1236498224779,122.183927752649,89.6211501775221
"76",124.4,93.0711,1.88208911024343,3.10096489782707,122.517910889757,89.9701351021729
"77",123.9,94.0585,1.114042264006,3.8290918886732,122.785957735994,90.2294081113268
"78",124.5,93.8727,1.51257539798297,3.47765316668605,122.987424602017,90.395046833314
"79",124.2,94.3693,1.07763592510406,3.90377792110481,123.122364074896,90.4655220788952
"80",124.7,94.7967,1.50822589867526,4.35522180793968,123.191774101325,90.4414781920603
"81",125,94.1952,1.80267384954934,3.86920062199998,123.197326150451,90.325999378
"82",125,93.4542,1.85836566739239,3.32930814446515,123.141634332608,90.1248918555349
"83",124.7,91.586,1.67156057071457,1.73961990612583,123.028439429285,89.8463800938742
"84",124.6,89.6244,1.73735629948387,0.12363062018248,122.862643700516,89.5007693798175
"85",123.9,88.4051,1.24980586831163,-0.69435226260588,122.650194131688,89.0994522626059
"86",124.2,88.1535,1.80187644412195,-0.500398560617832,122.398123555878,88.6538985606178
"87",123.2,87.4006,1.08575406517129,-0.774544122067786,122.114245934829,88.1751441220678
"88",122.6,86.5018,0.792498596938557,-1.17211204606978,121.807501403061,87.6739120460698
"89",121.5,86.0497,0.0124913086119366,-1.11074134166159,121.487508691388,87.1604413416616
"90",120.5,85.1957,-0.664381842243578,-1.44853844785213,121.164381842244,86.6442384478521
"91",119.7,84.4226,-1.14824270513081,-1.71151559031184,120.848242705131,86.1341155903118
"92",118.7,84.0912,-1.8487978909012,-1.5467796581812,120.548797890901,85.6379796581812
"93",117.7,83.6175,-2.57503635871545,-1.54516784335679,120.275036358715,85.1626678433568
"94",117.8,83.3214,-2.23479156905251,-1.39265060044883,120.034791569053,84.7140506004488
"95",118,83.5865,-1.83428758466705,-0.710532654165386,119.834287584667,84.2970326541654
"96",118.4,83.7284,-1.27835172358313,-0.187248322589295,119.678351723583,83.9156483225893
"97",118.2,83.5393,-1.37066487408439,-0.0341878408945062,119.570664874084,83.5734878408945
"98",118.3,83.447,-1.21410895462725,0.1729755859466,119.514108954627,83.2740244140534
"99",118.2,83.1304,-1.31070921812179,0.109690120362205,119.510709218122,83.0207098796378
"100",118.8,83.0773,-0.761732099381407,0.260195815039355,119.561732099381,82.8171041849606
"101",118.6,82.7774,-1.06762483995834,0.110564166339733,119.667624839958,82.6668358336603
"102",119.5,82.5395,-0.328358598842526,-0.0341959517592416,119.828358598843,82.5736959517592
"103",120.1,82.786,0.056762730500981,0.244455232115826,120.043237269499,82.5415447678842
"104",120.8,82.8861,0.488640478731439,0.311878861808235,120.311359521269,82.5742211381918
"105",121.1,82.7836,0.468140499801539,0.107883296641154,120.631859500198,82.6757167033589
"106",121.6,82.5458,0.595823247364724,-0.304418028350883,121.004176752635,82.8502180283509
"107",121.8,82.5417,0.371956587262068,-0.560279105193717,121.428043412738,83.1019791051937
"108",121.6,82.4964,-0.303564004194878,-0.938663664645389,121.903564004195,83.4350636646454
"109",121.3,82.6174,-1.13107552356171,-1.23578526302341,122.431075523562,83.8531852630234
"110",121.8,83.0911,-1.2107252398914,-1.2683707918548,123.010725239891,84.3594707918548
"111",122.5,83.7808,-1.14195350003458,-1.17547477687709,123.641953500035,84.9562747768771
"112",122.9,84.7291,-1.42344394756706,-0.916059012082981,124.323443947567,85.645159012083
"113",123.6,86.0324,-1.45316650512711,-0.394550619729683,125.053166505127,86.4269506197297
"114",125.5,86.8966,-0.328201442885667,-0.405304185191624,125.828201442886,87.3019041851916
"115",126.5,88.065,-0.144720801948117,-0.205027699706184,126.644720801948,88.2700276997062
"116",127.7,89.4067,0.201308502482073,0.0756241606051811,127.498691497518,89.3310758393948
"117",128.7,90.4675,0.314010005702564,-0.0171751380667162,128.385989994297,90.4846751380667
"118",129.7,91.334,0.397381425197058,-0.396499394631444,129.302618574803,91.7304993946315
"119",131.4,92.5636,1.15522422219563,-0.504611673537392,130.244775777804,93.0682116735374
"120",132.3,93.9429,1.09109149453763,-0.554327227110996,131.208908505462,94.497227227111
"121",133.4,95.3914,1.2078143249235,-0.625245925383044,132.192185675077,96.016645925383
"122",134.3,96.7891,1.10754186386968,-0.836121183867267,133.19245813613,97.6252211838673
"123",134.9,98.1115,0.691668377939436,-1.20981563937392,134.208331622061,99.3213156393739
"124",135.4,99.8137,0.160895920031179,-1.28906935297357,135.239104079969,101.102769352974
