date,PAYEMS_19950106,PAYEMS_19950407,PAYEMS_19950707,PAYEMS_19951006,PAYEMS_19960119,PAYEMS_19960405,PAYEMS_19960705,PAYEMS_19961004,PAYEMS_19970110,PAYEMS_19970404,PAYEMS_19970703,PAYEMS_19971003,PAYEMS_19980109,PAYEMS_19980403,PAYEMS_19980702,PAYEMS_19981002,PAYEMS_19990108,PAYEMS_19990402,PAYEMS_19990702,PAYEMS_19991008,PAYEMS_20000107,PAYEMS_20000407,PAYEMS_20000707,PAYEMS_20001006,PAYEMS_20010105,PAYEMS_20010406,PAYEMS_20010706,PAYEMS_20011005,PAYEMS_20020104,PAYEMS_20020405,PAYEMS_20020705,PAYEMS_20021004,PAYEMS_20030110,PAYEMS_20030404,PAYEMS_20030703,PAYEMS_20031003,PAYEMS_20040109,PAYEMS_20040402,PAYEMS_20040702,PAYEMS_20041008,PAYEMS_20050107,PAYEMS_20050401,PAYEMS_20050708,PAYEMS_20051007,PAYEMS_20060106,PAYEMS_20060407,PAYEMS_20060707,PAYEMS_20061006,PAYEMS_20070105,PAYEMS_20070406,PAYEMS_20070706,PAYEMS_20071005,PAYEMS_20080104,PAYEMS_20080404,PAYEMS_20080703,PAYEMS_20081003,PAYEMS_20090109,PAYEMS_20090403,PAYEMS_20090702,PAYEMS_20091002,PAYEMS_20100108,PAYEMS_20100402,PAYEMS_20100702,PAYEMS_20101008,PAYEMS_20110107,PAYEMS_20110401,PAYEMS_20110708,PAYEMS_20111007,PAYEMS_20120106,PAYEMS_20120406,,EMPLOY12M7,EMPLOY12M10,EMPLOY13M1,EMPLOY13M4,EMPLOY13M7,EMPLOY13M10,EMPLOY14M1,EMPLOY14M4,EMPLOY14M7,EMPLOY14M10,EMPLOY15M1,EMPLOY15M4,EMPLOY15M7,EMPLOY15M10,EMPLOY16M1,EMPLOY16M4,EMPLOY16M7,EMPLOY16M10,EMPLOY17M1,EMPLOY17M4,EMPLOY17M7,EMPLOY17M10,EMPLOY18M1
1995:01:00,999,2.81,2.63,2.63,2.63,2.63,3.06,3.06,3.06,3.06,3.05,3.05,3.05,3.05,3.11,3.11,3.11,3.11,3.12,3.12,3.12,3.12,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.966586885,2.966586885,2.966586885,2.956396469,2.956396469,2.956396469,2.956396469,2.962732758,2.962732758,2.962732758,2.962732758,2.96502023,2.96502023,2.96502023,2.96502023,2.963898358,2.963898358,2.963898358,2.963898358,2.969638895,2.969638895,2.969638895,2.969638895,2.977718733
1995:02:00,999,999,0.94,1,1,1,1.63,1.63,1.63,1.63,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.48,1.48,1.48,1.48,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.527866609,1.527866609,1.527866609,1.531969668,1.531969668,1.531969668,1.531969668,1.527614249,1.527614249,1.527614249,1.527614249,1.526478798,1.526478798,1.526478798,1.526478798,1.526440074,1.526440074,1.526440074,1.526440074,1.519567434,1.519567434,1.519567434,1.519567434,1.517292202
1995:03:00,999,999,999,1.46,1.43,1.43,1.67,1.67,1.67,1.67,1.64,1.64,1.64,1.64,1.62,1.62,1.62,1.62,1.7,1.7,1.7,1.7,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.678106528,1.678106528,1.678106528,1.686708293,1.686708293,1.686708293,1.686708293,1.702744184,1.702744184,1.702744184,1.702744184,1.705031992,1.705031992,1.705031992,1.705031992,1.697071101,1.697071101,1.697071101,1.697071101,1.700495457,1.700495457,1.700495457,1.700495457,1.701617353
1995:04:00,999,999,999,999,1.3,1.4,1.67,1.67,1.67,1.67,1.83,1.83,1.83,1.83,1.82,1.82,1.82,1.82,1.81,1.81,1.81,1.81,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.846918262,1.846918262,1.846918262,1.86107168,1.86107168,1.86107168,1.86107168,1.844045796,1.844045796,1.844045796,1.844045796,1.841757196,1.841757196,1.841757196,1.841757196,1.848588915,1.848588915,1.848588915,1.848588915,1.845183535,1.845183535,1.845183535,1.845183535,1.854217492
1996:01:00,999,999,999,999,999,1.66,1.82,1.84,1.84,1.84,1.78,1.78,1.78,1.78,1.79,1.79,1.79,1.79,1.82,1.82,1.82,1.82,1.72,1.72,1.72,1.72,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.68,1.67357879,1.67357879,1.67357879,1.670695695,1.670695695,1.670695695,1.670695695,1.678742926,1.678742926,1.678742926,1.678742926,1.677592175,1.677592175,1.677592175,1.677592175,1.679859832,1.679859832,1.679859832,1.679859832,1.686638518,1.686638518,1.686638518,1.686638518,1.676471382
1996:02:00,999,999,999,999,999,999,2.69,2.72,2.72,2.72,2.65,2.65,2.65,2.65,2.78,2.78,2.78,2.78,2.7,2.7,2.7,2.7,2.77,2.77,2.77,2.77,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.661846105,2.661846105,2.661846105,2.671005927,2.671005927,2.671005927,2.671005927,2.679481667,2.679481667,2.679481667,2.679481667,2.681747529,2.681747529,2.681747529,2.681747529,2.680586451,2.680586451,2.680586451,2.680586451,2.676073819,2.676073819,2.676073819,2.676073819,2.677178371
1996:03:00,999,999,999,999,999,999,999,2.25,2.35,2.35,2.2,2.2,2.2,2.2,2.37,2.37,2.37,2.37,2.43,2.43,2.43,2.43,2.44,2.44,2.44,2.44,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.446517412,2.446517412,2.446517412,2.46233218,2.46233218,2.46233218,2.46233218,2.493114231,2.493114231,2.493114231,2.493114231,2.493140824,2.493140824,2.493140824,2.493140824,2.484194854,2.484194854,2.484194854,2.484194854,2.485333165,2.485333165,2.485333165,2.485333165,2.481937795
1996:04:00,999,999,999,999,999,999,999,999,1.76,1.85,1.86,1.86,1.86,1.86,2.29,2.29,2.29,2.29,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.358362314,2.358362314,2.358362314,2.381773686,2.381773686,2.381773686,2.381773686,2.374559898,2.374559898,2.374559898,2.374559898,2.37232393,2.37232393,2.37232393,2.37232393,2.382352029,2.382352029,2.382352029,2.382352029,2.377886712,2.377886712,2.377886712,2.377886712,2.390137928
1997:01:00,999,999,999,999,999,999,999,999,999,2.44,2.3,2.3,2.3,2.3,2.7,2.7,2.7,2.7,2.61,2.61,2.61,2.61,2.5,2.5,2.5,2.5,2.47,2.47,2.47,2.47,2.45,2.45,2.45,2.45,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.468190391,2.468190391,2.468190391,2.482429981,2.482429981,2.482429981,2.482429981,2.499466647,2.499466647,2.499466647,2.499466647,2.499440391,2.499440391,2.499440391,2.499440391,2.497243729,2.497243729,2.497243729,2.497243729,2.497264379,2.497264379,2.497264379,2.497264379,2.489455758
1997:02:00,999,999,999,999,999,999,999,999,999,999,2.38,2.38,2.38,2.38,2.85,2.85,2.85,2.85,2.82,2.82,2.82,2.82,2.9,2.9,2.9,2.9,2.86,2.86,2.86,2.86,2.8,2.8,2.8,2.8,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.810674342,2.810674342,2.810674342,2.831166915,2.831166915,2.831166915,2.831166915,2.844406139,2.844406139,2.844406139,2.844406139,2.844446957,2.844446957,2.844446957,2.844446957,2.845531696,2.845531696,2.845531696,2.845531696,2.847757445,2.847757445,2.847757445,2.847757445,2.846616434
