date,ffr,gap,infl_gb,ffr_lag
1981Q2,19.74867,-4.760476,7.860673,18.28925
1981Q3,19.50217,-5.81055,8.901888,19.74867
1981Q4,14.7663,-7.642719,6.876611,19.50217
1982Q1,15.51314,-9.154548,6.645125,14.7663
1982Q2,15.84923,-9.590028,5.318746,15.51314
1982Q3,11.80413,-10.63924,5.068913,15.84923
1982Q4,9.871832,-11.47959,4.900311,11.80413
1983Q1,9.168748,-11.84946,3.571145,9.871832
1983Q2,9.334861,-10.98454,3.046899,9.168748
1983Q3,10.06504,-8.880463,3.543979,9.334861
1983Q4,10.03158,-7.9326,4.651221,10.06504
1984Q1,10.31821,-8.024089,4.052317,10.03158
1984Q2,11.29534,-6.55901,4.543873,10.31821
1984Q3,12.23937,-5.081216,3.818782,11.29534
1984Q4,9.849561,-5.627635,4.487851,12.23937
1985Q1,8.973426,-5.582524,3.554665,9.849561
1985Q2,8.363915,-6.267829,2.684516,8.973426
1985Q3,8.338287,-6.667583,3.062666,8.363915
1985Q4,8.561815,-6.67846,3.404665,8.338287
1986Q1,8.257783,-2.401735,3.372836,8.561815
1986Q2,7.267376,-2.862048,2.175119,8.257783
1986Q3,6.494513,-2.614874,2.010111,7.267376
1986Q4,6.559306,-2.604182,2.853914,6.494513
1987Q1,6.508908,-2.874854,2.96895,6.559306
1987Q2,6.974188,-2.536694,3.133092,6.508908
1987Q3,7.184043,-1.096566,2.889319,6.974188
1987Q4,7.263751,-0.85813,3.890515,7.184043
1988Q1,6.988648,-0.539871,3.410256,7.263751
1988Q2,7.525026,0.112036,4.066823,6.988648
1988Q3,8.429842,1.551031,4.117452,7.525026
1988Q4,8.966062,0.044754,3.782782,8.429842
1989Q1,10.04645,1.718617,4.313917,8.966062
1989Q2,10.36295,1.885736,4.010193,10.04645
1989Q3,9.645614,1.327931,3.634898,10.36295
1989Q4,9.124493,0.890028,4.070195,9.645614
1990Q1,8.723334,0.206191,3.565818,9.124493
1990Q2,8.715987,0.580001,3.766838,8.723334
1990Q3,8.624192,0.331071,3.367174,8.715987
1990Q4,8.166374,-0.865827,5.462059,8.624192
1991Q1,6.732279,-2.878652,3.680917,8.166374
1991Q2,6.12451,-3.698525,3.209622,6.732279
1991Q3,5.888095,-3.385746,3.251451,6.12451
1991Q4,5.004433,-4.030683,3.633305,5.888095
1992Q1,4.163318,-4.428931,2.837248,5.004433
1992Q2,3.896145,-3.826901,2.810549,4.163318
1992Q3,3.356861,-4.453276,2.833803,3.896145
1992Q4,3.126595,-4.006516,2.754475,3.356861
1993Q1,3.13008,-2.843682,2.129392,3.126595
1993Q2,3.088267,-2.992069,2.191658,3.13008
1993Q3,3.150993,-3.322912,2.923507,3.088267
1993Q4,3.077817,-1.922295,2.527383,3.150993
1994Q1,3.311465,-1.069488,2.247336,3.077817
1994Q2,4.075357,-0.729458,2.305861,3.311465
1994Q3,4.653738,-0.173411,2.513976,4.075357
1994Q4,5.377663,0.507399,3.075932,4.653738
1995Q1,6.067149,0.801229,2.402784,5.377663
1995Q2,6.293187,0.211756,2.536116,6.067149
1995Q3,6.052814,-0.328146,2.394646,6.293187
1995Q4,5.970423,0.005905,2.494038,6.052814
