"ID","date","borrowers_country","HHCredit","reference_area","HPIndex","HPIndex_GDP_trend_1600","HPIndex_GDP_cycle_1600","HPIndex_GDP_trend_400k","HPIndex_GDP_cycle_400k"
"1","AT",1995-10-01,"Austria",72.927,NA,NA,NA,NA,NA,NA
"2","AT",1996-01-01,"Austria",72.239,NA,NA,NA,NA,NA,NA
"3","AT",1996-04-01,"Austria",74.493,NA,NA,NA,NA,NA,NA
"4","AT",1996-07-01,"Austria",76.289,NA,NA,NA,NA,NA,NA
"5","AT",1996-10-01,"Austria",77.326,NA,NA,NA,NA,NA,NA
"6","AT",1997-01-01,"Austria",77.091,NA,NA,NA,NA,NA,NA
"7","AT",1997-04-01,"Austria",79.115,NA,NA,NA,NA,NA,NA
"8","AT",1997-07-01,"Austria",80.327,NA,NA,NA,NA,NA,NA
"9","AT",1997-10-01,"Austria",80.878,NA,NA,NA,NA,NA,NA
"10","AT",1998-01-01,"Austria",79.839,NA,NA,NA,NA,NA,NA
"11","AT",1998-04-01,"Austria",81.187,NA,NA,NA,NA,NA,NA
"12","AT",1998-07-01,"Austria",81.896,NA,NA,NA,NA,NA,NA
"13","AT",1998-10-01,"Austria",83.011,NA,NA,NA,NA,NA,NA
"14","AT",1999-01-01,"Austria",83.46,NA,NA,NA,NA,NA,NA
"15","AT",1999-04-01,"Austria",84.935,NA,NA,NA,NA,NA,NA
"16","AT",1999-07-01,"Austria",87.925,NA,NA,NA,NA,NA,NA
"17","AT",1999-10-01,"Austria",90.527,NA,NA,NA,NA,NA,NA
"18","AT",2000-01-01,"Austria",90.794,"Austria",98.24,95.3057184665432,2.9342815334568,99.9686162883658,-1.72861628836579
"19","AT",2000-04-01,"Austria",92.973,"Austria",95.96,94.9056722604199,1.05432773958006,99.9549336025248,-3.9949336025248
"20","AT",2000-07-01,"Austria",96.733,"Austria",93.71,94.5074599802551,-0.79745998025507,99.9412465951431,-6.23124659514308
"21","AT",2000-10-01,"Austria",96.724,"Austria",92.72,94.1135745068443,-1.39357450684427,99.9275409573459,-7.20754095734591
"22","AT",2001-01-01,"Austria",97.137,"Austria",96.56,93.7260103084955,2.8339896915045,99.9137868021421,-3.35378680214211
"23","AT",2001-04-01,"Austria",98.896,"Austria",91.51,93.34589086945,-1.83589086945,99.899936223688,-8.38993622368803
