"","Credit","HPIndex"
"81",59.9,94.56
"82",60.2,93.82
"83",60.4,91.94
"84",60.8,89.97
"85",60.8,88.75
"86",61.4,88.49
"87",61.6,87.74
"88",62.2,86.84
"89",61.7,86.38
"90",61.5,85.52
"91",61.7,84.75
"92",61.8,84.41
"93",61.1,83.94
"94",61.3,83.64
"95",61.8,83.91
"96",62.4,84.05
"97",62,83.86
"98",62.2,83.77
"99",62.4,83.45
"100",63.1,83.4
"101",62.6,83.1
"102",63.1,82.86
"103",63.8,83.1
"104",64.4,83.2
"105",64.5,83.12
"106",64.9,82.89
"107",65.1,82.9
"108",65.4,82.83
"109",64.9,82.95
"110",65,83.44
"111",65.4,84.14
"112",65.6,85.1
"113",65.2,86.38
"114",66,87.24
"115",66.4,88.42
"116",67.1,89.74
"117",67,90.79
"118",67.6,91.68
"119",68.3,92.93
"120",69,94.31
"121",69.3,95.73
"122",69.5,97.14
"123",70.2,98.49
"124",70.6,100.2
"125",70.3,101.54
"126",71.6,102.32
"127",73.5,104.1
"128",74.3,106.13
"129",74.9,107.67
"130",76.1,109.25
"131",77.4,111.51
"132",78.9,113.49
"133",79.8,114.61
"134",82.6,116.67
"135",83.8,119.44
"136",84.7,123.34
"137",85.1,126.45
"138",86.3,129.49
"139",87.2,133.61
"140",88.9,137.73
"141",89.1,142.51
"142",90.3,146.17
"143",91.5,149.4
"144",92.3,152.94
"145",93.5,154.62
"146",94.6,151.56
"147",95.7,149.57
"148",96.4,150.45
"149",96.6,147.28
"150",97.6,140.33
"151",98.2,135.72
"152",98.5,130.54
"153",98.6,123.85
"154",97.4,115.52
"155",97.8,108.96
"156",95.9,106.46
"157",95.6,103.84
"158",96.1,102.69
"159",96.8,102.43
"160",96.6,102.57
"161",95.1,102.16
"162",93.8,101.03
"163",92.4,99.04
"164",91.6,97.79
"165",90.5,95.7
"166",89.3,93.73
"167",88.2,93.78
"168",87.4,93.95
"169",86.1,94.21
"170",85,95.69
"171",84.3,97.39
"172",83.9,99.43
"173",82.9,101.35
"174",82.4,103.47
"175",82.2,105.58
"176",81.8,108.01
"177",80.8,108.52
"178",80.6,108
"179",80.2,109.31
"180",79.7,111.92
"181",78.6,113.95
"182",78.5,113.95
"183",78.1,115.24
"184",77.7,117.39
"185",77.2,118.78
"186",77.6,118.75
"187",78.1,120.04
"188",78,121.67
"189",77.5,122.31
"190",77.6,123.31
"191",77.5,124.88
"192",77.6,126.49
"193",76.8,127.35
"194",76.4,127.49
"195",76.2,128.27
"196",75.9,129.28
"197",75,129.79
"198",75.1,129.37
"199",75.2,130.32
