"ID","date","borrowers_country","HHCredit","HHCredit_GDP_trend_1600","HHCredit_GDP_cycle_1600","HHCredit_GDP_trend_400k","HHCredit_GDP_cycle_400k","reference_area","HPIndex","HPIndex_GDP_trend_1600","HPIndex_GDP_cycle_1600","HPIndex_GDP_trend_400k","HPIndex_GDP_cycle_400k"
"1","AT",1995-10-01,"Austria",41.2,41.0790469810461,0.120953018953934,44.2533334886468,-3.05333348864683,NA,NA,NA,NA,NA,NA
"2","AT",1996-01-01,"Austria",40.5,41.2395855453232,-0.739585545323244,44.364903704979,-3.86490370497901,NA,NA,NA,NA,NA,NA
"3","AT",1996-04-01,"Austria",41.5,41.4001997052373,0.0998002947627441,44.4764662879775,-2.97646628797747,NA,NA,NA,NA,NA,NA
"4","AT",1996-07-01,"Austria",42.2,41.5605028154591,0.639497184540865,44.5880039420492,-2.38800394204922,NA,NA,NA,NA,NA,NA
"5","AT",1996-10-01,"Austria",42.4,41.7201706058441,0.679829394155867,44.6994919304356,-2.29949193043562,NA,NA,NA,NA,NA,NA
"6","AT",1997-01-01,"Austria",41.9,41.8792784919878,0.0207215080121799,44.8108995463681,-2.91089954636806,NA,NA,NA,NA,NA,NA
"7","AT",1997-04-01,"Austria",42.8,42.0383267828571,0.761673217142864,44.9221903343482,-2.12219033434816,NA,NA,NA,NA,NA,NA
"8","AT",1997-07-01,"Austria",43,42.1978287383615,0.802171261638485,45.0333205616286,-2.03332056162861,NA,NA,NA,NA,NA,NA
"9","AT",1997-10-01,"Austria",42.9,42.3587736641711,0.541226335828881,45.1442411899865,-2.24424118998646,NA,NA,NA,NA,NA,NA
"10","AT",1998-01-01,"Austria",41.8,42.5226522229946,-0.722652222994611,45.254898097894,-3.45489809789402,NA,NA,NA,NA,NA,NA
"11","AT",1998-04-01,"Austria",42,42.6912933440006,-0.69129334400057,45.3652315532269,-3.36523155322691,NA,NA,NA,NA,NA,NA
"12","AT",1998-07-01,"Austria",42,42.8660742987182,-0.866074298718196,45.4751731866124,-3.47517318661241,NA,NA,NA,NA,NA,NA
"13","AT",1998-10-01,"Austria",42.3,43.0479403003367,-0.74794030033668,45.584646215599,-3.28464621559897,NA,NA,NA,NA,NA,NA
"14","AT",1999-01-01,"Austria",42.2,43.2372952656085,-1.03729526560851,45.693565169802,-3.49356516980205,NA,NA,NA,NA,NA,NA
"15","AT",1999-04-01,"Austria",42.6,43.4340756485985,-0.834075648598507,45.8018363672216,-3.20183636722156,NA,NA,NA,NA,NA,NA
"16","AT",1999-07-01,"Austria",43.7,43.6375695938304,0.0624304061695682,45.9093573919446,-2.20935739194458,NA,NA,NA,NA,NA,NA
"17","AT",1999-10-01,"Austria",44.5,43.8465439485477,0.653456051452288,46.0160178234673,-1.51601782346729,NA,NA,NA,NA,NA,NA
"18","AT",2000-01-01,"Austria",44.1,44.0598045789976,0.0401954210024016,46.121701717892,-2.02170171789201,"Austria",98.24,95.3057184665432,2.9342815334568,99.9686162883658,-1.72861628836579
"19","AT",2000-04-01,"Austria",44.6,44.2765657614595,0.323434238540486,46.2262893412767,-1.62628934127669,"Austria",95.96,94.9056722604199,1.05432773958006,99.9549336025248,-3.9949336025248
"20","AT",2000-07-01,"Austria",45.8,44.496066894351,1.30393310564898,46.3296559054245,-0.529655905424484,"Austria",93.71,94.5074599802551,-0.79745998025507,99.9412465951431,-6.23124659514308
"21","AT",2000-10-01,"Austria",45.2,44.7177495224887,0.482250477511258,46.4316725564164,-1.23167255641643,"Austria",92.72,94.1135745068443,-1.39357450684427,99.9275409573459,-7.20754095734591
"22","AT",2001-01-01,"Austria",44.9,44.9418701488804,-0.0418701488803634,46.532209116193,-1.63220911619296,"Austria",96.56,93.7260103084955,2.8339896915045,99.9137868021421,-3.35378680214211
"23","AT",2001-04-01,"Austria",45.4,45.168986683082,0.231013316918016,46.6311323275134,-1.23113232751342,"Austria",91.51,93.34589086945,-1.83589086945,99.899936223688,-8.38993622368803
"24","AT",2001-07-01,"Austria",46.1,45.3996308658067,0.700369134193338,46.7283048526146,-0.62830485261459,"Austria",94.96,92.9761109175062,1.98388908249383,99.8859329316731,-4.92593293167309
"25","AT",2001-10-01,"Austria",45.6,45.6344788210906,-0.034478821090552,46.8235862759013,-1.22358627590129,"Austria",90.76,92.618417748669,-1.85841774866898,99.8716996609461,-9.11169966094606
"26","AT",2002-01-01,"Austria",45.7,45.8746444036787,-0.174644403678649,46.9168346110177,-1.21683461101769,"Austria",93.26,92.27579858962,0.984201410379981,99.8571468315236,-6.59714683152362
"27","AT",2002-04-01,"Austria",45.9,46.1212199190528,-0.221219919052785,47.0079048126413,-1.10790481264132,"Austria",91.04,91.9500791559479,-0.910079155947884,99.8421620841755,-8.80216208417545
"28","AT",2002-07-01,"Austria",46.3,46.3751885199425,-0.0751885199424862,47.0966487933633,-0.796648793363261,"Austria",93.97,91.6437002891227,2.32629971087725,99.8266165667993,-5.85661656679927
"29","AT",2002-10-01,"Austria",46.5,46.6373950966279,-0.137395096627856,47.1829156960127,-0.682915696012707,"Austria",91.11,91.3585340311422,-0.248534031142185,99.8103594218899,-8.70035942188993
"30","AT",2003-01-01,"Austria",46.2,46.9086375465641,-0.708637546564056,47.2665526717973,-1.0665526717973,"Austria",92.22,91.0979063613232,1.12209363867683,99.7932251504015,-7.57322515040148
"31","AT",2003-04-01,"Austria",46.1,47.1896278952709,-1.08962789527086,47.3474051646352,-1.24740516463523,"Austria",91.13,90.8649879252132,0.265012074786753,99.7750265023892,-8.64502650238919
"32","AT",2003-07-01,"Austria",46.6,47.4806352698014,-0.880635269801424,47.4253159520627,-0.825315952062731,"Austria",90,90.663650676884,-0.663650676884046,99.7555572948446,-9.75555729484465
"33","AT",2003-10-01,"Austria",46.7,47.7812477797744,-1.08124777977435,47.5001246931028,-0.800124693102823,"Austria",92.06,90.497932202954,1.56206779704604,99.7345897321946,-7.67458973219455
"34","AT",2004-01-01,"Austria",46.7,48.0905031377646,-1.39050313776464,47.5716689834896,-0.871668983489641,"Austria",84.68,90.3714553083684,-5.69145530836838,99.7118716299712,-15.0318716299712
"35","AT",2004-04-01,"Austria",48.2,48.4067632764849,-0.206763276484921,47.639784418645,0.560215581354996,"Austria",88.38,90.2888190904458,-1.90881909044579,99.6871316172331,-11.3071316172331
"36","AT",2004-07-01,"Austria",48.2,48.7275210641867,-0.527521064186715,47.7043044148182,0.495695585181821,"Austria",88.39,90.2510654869369,-1.86106548693692,99.660060743359,-11.270060743359
"37","AT",2004-10-01,"Austria",48.8,49.0501401420738,-0.250140142073761,47.7650637887958,1.03493621120415,"Austria",89.62,90.2580434236611,-0.638043423661045,99.6303217898988,-10.0103217898988
"38","AT",2005-01-01,"Austria",48.8,49.3716544506847,-0.571654450684655,47.8218985966083,0.978101403391676,"Austria",89.31,90.3084386605081,-0.9984386605081,99.5975493632521,-10.2875493632521
"39","AT",2005-04-01,"Austria",49.5,49.6889415929692,-0.188941592969201,47.8746474816193,1.62535251838069,"Austria",89.84,90.4005381802282,-0.560538180228207,99.5613530440111,-9.72135304401107
"40","AT",2005-07-01,"Austria",49.9,49.9985218878455,-0.0985218878455427,47.9231515324523,1.97684846754767,"Austria",89.71,90.5320049414087,-0.822004941408707,99.5213166938973,-9.81131669389734
"41","AT",2005-10-01,"Austria",51.8,50.2967975657362,1.50320243426379,47.9672559011115,3.83274409888855,"Austria",91.49,90.7001515662742,0.789848433725766,99.4769998712508,-7.98699987125083
"42","AT",2006-01-01,"Austria",52.6,50.5801092808838,2.01989071911617,48.0068106817182,4.59318931828184,"Austria",92.37,90.9017769239611,1.46822307603894,99.4279376061152,-7.05793760611522
"43","AT",2006-04-01,"Austria",52.7,50.8457371890524,1.85426281094756,48.0416755502571,4.65832444974286,"Austria",92.25,91.1341735388766,1.11582646112345,99.3736449610379,-7.1236449610379
"44","AT",2006-07-01,"Austria",52.7,51.0922238777055,1.60777612229447,48.0717216656844,4.62827833431559,"Austria",92.77,91.3955515748506,1.37444842514938,99.3136193537206,-6.54361935372057
"45","AT",2006-10-01,"Austria",52.2,51.3192708485634,0.880729151436576,48.0968318327694,4.10316816723058,"Austria",92.36,91.6848185872513,0.675181412748671,99.2473403927541,-6.88734039275413
"46","AT",2007-01-01,"Austria",52.5,51.5275844634229,0.972415536577131,48.1169004269781,4.38309957302187,"Austria",94.57,92.0017411617124,2.56825883828755,99.1742713276788,-4.60427132767879
"47","AT",2007-04-01,"Austria",51.7,51.7184215398003,-0.0184215398003005,48.1318320816937,3.56816791830632,"Austria",95.38,92.3465078722508,3.03349212774924,99.0938581896863,-3.71385818968631
"48","AT",2007-07-01,"Austria",51.7,51.8936466549225,-0.193646654922453,48.1415423880509,3.55845761194906,"Austria",95.81,92.720912454657,3.08908754534299,99.0055354992924,-3.19553549929242
"49","AT",2007-10-01,"Austria",51.4,52.0551128725538,-0.655112872553765,48.1459558576011,3.25404414239887,"Austria",93.16,93.1286445773017,0.0313554226982689,98.9087284923607,-5.74872849236074
