"Credit","HPIndex","Credit_HPcycle","HPIndex_HPcycle"
"86",54.8,61.7899,1.11934377835787,17.0602893494986
"87",55.4,59.6447,1.15890271406427,12.9579382301755
"88",55.7,57.7052,0.737715806311368,9.37383541269732
"89",56.6,55.4895,1.46879555185058,5.45358824020301
"90",57,55.6605,1.39149612889893,6.00674320599852
"91",57.5,53.7811,1.57353309247517,3.04125426303394
"92",57.4,52.845,0.797384834146442,1.94843657583887
"93",58.2,50.3859,1.66672049990453,-1.99204995841415
"94",58.6,50.8936,1.92176829100541,-0.0365024759691579
"95",58.4,49.9296,1.2314113511813,-0.899648652476293
"96",58,48.9527,0.2723832273275,-1.76227829669146
"97",58.2,46.8658,0.416169830477575,-4.97293561579803
"98",58.9,47.1128,1.4769740554206,-3.29904205306004
"99",58.8,45.017,1.23208552552947,-6.72627183903647
"100",58.1,45.226,0.0125087335560603,-5.19009249668692
"101",58,44.6958,-0.136274216234211,-5.36762392502388
"102",57.9,45.571,-0.247489379565868,-2.5157225067411
"103",57.9,44.618,-0.155766739300006,-3.81988804859597
"104",57.8,45.0497,-0.213864946593359,-2.16403271585075
"105",57.7,44.9854,-0.256460247885992,-1.74065882239027
"106",57.8,45.8543,0.0559629714993085,0.602788372038532
"107",57.8,45.4097,0.196980205389763,-0.0850637639913998
"108",57.7,44.6374,0.159612620038807,-1.66623035155742
"109",57.7,44.5,0.283078701927025,-2.00093240631558
"110",57.7,44.8128,0.387016530364159,-1.49479794660876
"111",57.6,43.9541,0.290586895678246,-3.79788050154715
"112",57.1,44.3521,-0.538754657459928,-3.44383723404449
"113",57.1,43.9368,-0.538580632887331,-5.11381283896921
"114",56.9,45.6188,-0.939079096491624,-2.2686502765433
"115",56.4,46.1127,-1.92824200120008,-2.28321117132415
"116",56.4,46.7359,-2.09825224592677,-2.20798060680565
"117",56.7,47.2393,-1.80655959087972,-2.57414277015009
"118",56.9,49.4437,-1.76608675483592,0.38568843751472
"119",57.4,48.8811,-1.2785545881701,-2.51476800194546
"120",57.9,50.1998,-0.876126773058816,-1.75567696881345
"121",58.3,52.3133,-0.731045775227201,0.328264553867341
"122",59.1,54.6134,0.00949214784955466,2.46489088034823
"123",59.1,54.0067,-0.691797166469987,-0.934017773776818
"124",59.1,54.4092,-1.47202537448743,-2.57972894949843
"125",59.7,56.1244,-1.32064526618574,-1.96094145716281
"126",60.7,59.5499,-0.595350644950177,1.39309418243898
"127",61.6,60.8697,-0.134367167590344,0.941959576539553
"128",62,62.621,-0.570354986988808,1.07406198792113
"129",62.8,65.4916,-0.441291809810829,2.80166224220184
"130",63.3,66.8152,-0.868042727692075,2.00832091279926
"131",63.7,68.309,-1.52139530672561,1.39417209337381
"132",64.5,68.3875,-1.616290632447,-1.33983898558145
"133",65.5,69.8145,-1.47568094066187,-2.140622866917
"134",66.7,72.27,-1.10722788505355,-1.55954820395592
"135",67.9,70.7751,-0.813596209038253,-6.52639954270709
"136",68.9,73.1478,-0.876117585866121,-6.09689981665549
"137",70.4,78.438,-0.274106248322556,-1.95978661357364
"138",72.3,83.6552,0.818567073236778,1.67421450080216
"139",73.3,87.3155,0.611702335252506,3.20997263968306
"140",73.8,88.9004,-0.290992471461296,2.33873364611745
"141",75.2,91.0713,0.0114787690341733,2.17356410292402
"142",76.7,93.4122,0.42338082126136,2.24032395760942
"143",78.1,94.7985,0.690600430958466,1.36186276421473
"144",79.5,95.7352,0.954844960874024,0.124552350107132
"145",80.8,100.6037,1.10075189075707,3.00603859641346
"146",82.6,105.0057,1.87090485936624,5.36212783597403
"147",84,104.9802,2.16738354576613,3.57243161672849
"148",84.4,102.642,1.31184320771836,-0.27900284630471
"149",85.4,104.5846,1.21613757487603,0.166494378934123
"150",86,106.6044,0.702279258943417,0.82280344559873
"151",86.2,106.2353,-0.218000228516324,-0.604487923468966
"152",86.2,107.043,-1.30778400688549,-0.748754812091734
"153",87.3,109.626,-1.06524554886875,0.915797439351307
"154",89,112.3089,-0.0955239678953168,2.79918774682488
"155",90.2,113.5793,0.354526621516116,3.57788451368055
"156",90.8,115.0455,0.200924008645664,4.70396792118741
"157",92.2,118.3254,0.989917849837374,7.54702253517143
"158",93.2,121.7284,1.40578967819678,10.5989676520756
"159",93.2,120.33,0.823192622196989,9.83598913354986
"160",93.3,116.5877,0.42933265110674,7.22962685808357
"161",93.7,113.581,0.43823441648827,5.30907859199614
"162",94,107.7688,0.421604970761957,0.861660916039864
"163",94.2,100.5213,0.380625294529047,-5.2109116070483
"164",95,95.7193,1.05543384199307,-9.16252861478988
"165",95.7,95.9597,1.70101934804892,-7.9408373718362
"166",96.1,99.0186,2.11086366990001,-3.82538105451242
"167",96.4,100.2457,2.49451989216882,-1.62543555044493
"168",96.4,99.8286,2.64232068697305,-1.09678624122211
"169",95.1,100.3546,1.50328038532425,0.339152755747696
"170",94.5,101.5077,1.15332941816106,2.34508445424366
"171",93.3,98.3237,0.215056897489152,-0.0373741566468189
"172",92,95.1522,-0.799921291057004,-2.58403834412471
"173",91.7,94.4074,-0.698288698543498,-2.72365360186591
"174",91.2,94.9375,-0.784604384094195,-1.61520035161764
"175",90.7,92.7677,-0.849206573235969,-3.48651730996736
"176",90.2,91.5269,-0.8990990072268,-4.50929368681638
"177",90.3,92.4661,-0.27408609157124,-3.28845262656765
"178",89.8,93.2514,-0.309693832515696,-2.37080674797792
"179",89.2,91.2776,-0.460721958723187,-4.56826172195135
"180",88.9,90.2889,-0.284034500036456,-5.84605496972261
"181",88.2,91.478,-0.571988571132415,-4.85470199028593
"182",87.9,93.4001,-0.426201292765399,-3.21476563770033
"183",87.1,93.3397,-0.874741025139542,-3.83235502586616
"184",86.1,94.4542,-1.58891029109868,-3.300774549779
"185",85.6,97.1935,-1.75979641915402,-1.18637393649533
"186",85.2,100.2599,-1.84858975849524,1.10167435734343
"187",85,100.3929,-1.73773496963682,0.358592705035365
"188",85.4,100.7974,-0.956725675716363,-0.156963922383016
"189",84.9,102.3272,-1.26629172674342,0.404913375445667
"190",85,105.6225,-0.903775432954279,2.61868775421413
"191",85,106.7795,-0.689963297748181,2.75603611184476
"192",85.1,108.4817,-0.387149356350697,3.40266128047076
"193",85.5,110.1624,0.241287575407212,4.03407141833932
"194",85.8,111.9351,0.728405322850162,4.76297021348129
"195",85.3,111.138,0.261090741694095,3.22649406872999
"196",85.5,110.8876,0.59518830674295,2.22887782813141
"197",85.3,112.0592,0.44598207904957,2.55971168706142
"198",85.6,113.9924,0.869075058658483,3.60254986597695
"199",85.2,112.9519,0.461389402520809,2.06966022060873
"200",84.9,112.5452,0.159165577133952,1.14157917396176
"201",85.1,112.8181,0.43561440347793,0.860517968073615
"202",85.2,114.3116,0.585587146885072,1.69136822003434
"203",85.1,113.0729,0.49252024171397,0.150848137420678
"204",83.5,112.0069,-1.38921151453328,-1.22082212352703
"205",83.7,111.6996,-1.14194477126477,-1.90029119745017
"206",84.1,113.0672,-0.66477395509195,-1.07446766055053
"207",84,112.5242,-0.789589371907246,-1.93821557516799
"208",84.8,112.4896,0.14798127342979,-2.34677705112265
"209",87.7,112.7894,3.49812685205791,-2.45689029203558
