DATE,inflation,lag
2/1/1960,1.41379,1.2134
3/1/1960,1.51881,1.41379
4/1/1960,1.93237,1.51881
5/1/1960,1.82507,1.93237
6/1/1960,1.71762,1.82507
7/1/1960,1.37221,1.71762
8/1/1960,1.47361,1.37221
9/1/1960,1.23077,1.47361
10/1/1960,1.36286,1.23077
11/1/1960,1.46508,1.36286
12/1/1960,1.36008,1.46508
1/1/1961,1.60027,1.36008
2/1/1961,1.46209,1.60027
3/1/1961,1.46209,1.46209
4/1/1961,0.91401,1.46209
5/1/1961,0.91309,0.91401
6/1/1961,0.77676,0.91309
7/1/1961,1.25212,0.77676
8/1/1961,1.11449,1.25212
9/1/1961,1.24958,1.11449
10/1/1961,0.77311,1.24958
11/1/1961,0.67159,0.77311
12/1/1961,0.67092,0.67159
1/1/1962,0.67024,0.67092
2/1/1962,0.90483,0.67024
3/1/1962,1.1059,0.90483
4/1/1962,1.34183,1.1059
5/1/1962,1.34048,1.34183
6/1/1962,1.23995,1.34048
7/1/1962,1.00267,1.23995
8/1/1962,1.1356,1.00267
9/1/1962,1.46765,1.1356
10/1/1962,1.33422,1.46765
11/1/1962,1.33422,1.33422
12/1/1962,1.23292,1.33422
1/1/1963,1.33156,1.23292
2/1/1963,1.22883,1.33156
3/1/1963,1.12695,1.22883
4/1/1963,0.89374,1.12695
5/1/1963,0.89286,0.89374
6/1/1963,1.32406,0.89286
7/1/1963,1.55526,1.32406
8/1/1963,1.55218,1.55526
9/1/1963,0.98619,1.55218
10/1/1963,1.21791,0.98619
11/1/1963,1.31666,1.21791
12/1/1963,1.64582,1.31666
1/1/1964,1.64258,1.64582
2/1/1964,1.41076,1.64258
3/1/1964,1.40937,1.41076
4/1/1964,1.54199,1.40937
5/1/1964,1.54048,1.54199
6/1/1964,1.30676,1.54048
7/1/1964,1.07527,1.30676
8/1/1964,0.97561,1.07527
9/1/1964,1.17188,0.97561
10/1/1964,1.20325,1.17188
11/1/1964,1.39701,1.20325
12/1/1964,1.19819,1.39701
1/1/1965,1.0989,1.19819
2/1/1965,1.19702,1.0989
3/1/1965,1.19586,1.19702
4/1/1965,1.38934,1.19586
5/1/1965,1.61394,1.38934
6/1/1965,1.93486,1.61394
7/1/1965,1.80529,1.93486
8/1/1965,1.61031,1.80529
9/1/1965,1.73745,1.61031
10/1/1965,1.70308,1.73745
11/1/1965,1.73021,1.70308
12/1/1965,1.92,1.73021
1/1/1966,1.91816,1.92
2/1/1966,2.55754,1.91816
3/1/1966,2.77866,2.55754
4/1/1966,2.86807,2.77866
5/1/1966,2.76366,2.86807
6/1/1966,2.43594,2.76366
7/1/1966,2.75491,2.43594
8/1/1966,3.48653,2.75491
9/1/1966,3.57369,3.48653
10/1/1966,3.79147,3.57369
11/1/1966,3.55906,3.79147
12/1/1966,3.3595,3.55906
1/1/1967,3.1995,3.3595
2/1/1967,2.86783,3.1995
3/1/1967,2.54817,2.86783
4/1/1967,2.54027,2.54817
5/1/1967,2.31839,2.54027
6/1/1967,2.84126,2.31839
7/1/1967,2.92758,2.84126
8/1/1967,2.60337,2.92758
9/1/1967,2.59542,2.60337
10/1/1967,2.58752,2.59542
11/1/1967,3.10219,2.58752
12/1/1967,3.28068,3.10219
1/1/1968,3.64742,3.28068
2/1/1968,3.63636,3.64742
3/1/1968,3.93939,3.63636
4/1/1968,3.92749,3.93939
5/1/1968,4.22961,3.92749
6/1/1968,4.2042,4.22961
7/1/1968,4.49102,4.2042
8/1/1968,4.47761,4.49102
9/1/1968,4.46429,4.47761
10/1/1968,4.74777,4.46429
11/1/1968,4.42478,4.74777
12/1/1968,4.70588,4.42478
1/1/1969,4.69208,4.70588
2/1/1969,4.67836,4.69208
3/1/1969,5.24781,4.67836
4/1/1969,5.52326,5.24781
5/1/1969,5.50725,5.52326
6/1/1969,5.4755,5.50725
7/1/1969,5.44413,5.4755
8/1/1969,5.42857,5.44413
9/1/1969,5.69801,5.42857
10/1/1969,5.66572,5.69801
11/1/1969,5.9322,5.66572
12/1/1969,5.89888,5.9322
1/1/1970,6.16246,5.89888
2/1/1970,6.42458,6.16246
3/1/1970,6.09418,6.42458
4/1/1970,6.06061,6.09418
5/1/1970,6.04396,6.06061
6/1/1970,6.01093,6.04396
7/1/1970,5.70652,6.01093
8/1/1970,5.69106,5.70652
9/1/1970,5.66038,5.69106
10/1/1970,5.63003,5.66038
11/1/1970,5.6,5.63003
12/1/1970,5.57029,5.6
1/1/1971,5.27704,5.57029
2/1/1971,4.72441,5.27704
3/1/1971,4.43864,4.72441
4/1/1971,4.15584,4.43864
5/1/1971,4.40415,4.15584
6/1/1971,4.38144,4.40415
7/1/1971,4.37018,4.38144
8/1/1971,4.35897,4.37018
9/1/1971,4.08163,4.35897
10/1/1971,3.80711,4.08163
11/1/1971,3.53535,3.80711
12/1/1971,3.26633,3.53535
1/1/1972,3.25815,3.26633
2/1/1972,3.7594,3.25815
3/1/1972,3.5,3.7594
4/1/1972,3.49127,3.5
5/1/1972,3.22581,3.49127
6/1/1972,2.96296,3.22581
7/1/1972,2.95567,2.96296
8/1/1972,2.9484,2.95567
9/1/1972,3.18627,2.9484
10/1/1972,3.17848,3.18627
11/1/1972,3.41463,3.17848
12/1/1972,3.40633,3.41463
1/1/1973,3.64078,3.40633
2/1/1973,3.86473,3.64078
3/1/1973,4.83092,3.86473
4/1/1973,5.3012,4.83092
5/1/1973,5.52885,5.3012
6/1/1973,5.9952,5.52885
7/1/1973,5.74163,5.9952
8/1/1973,7.39857,5.74163
9/1/1973,7.36342,7.39857
10/1/1973,8.05687,7.36342
11/1/1973,8.25472,8.05687
12/1/1973,8.94118,8.25472
1/1/1974,9.60187,8.94118
2/1/1974,10,9.60187
3/1/1974,10.13825,10
4/1/1974,10.06865,10.13825
5/1/1974,10.70615,10.06865
6/1/1974,10.85973,10.70615
7/1/1974,11.53846,10.85973
8/1/1974,10.88889,11.53846
9/1/1974,11.9469,10.88889
10/1/1974,11.84211,11.9469
11/1/1974,12.20044,11.84211
12/1/1974,12.09503,12.20044
1/1/1975,11.75214,12.09503
2/1/1975,11.20507,11.75214
3/1/1975,10.46025,11.20507
4/1/1975,10.18711,10.46025
5/1/1975,9.25926,10.18711
6/1/1975,9.18367,9.25926
7/1/1975,9.53347,9.18367
8/1/1975,8.61723,9.53347
9/1/1975,7.90514,8.61723
10/1/1975,7.64706,7.90514
11/1/1975,7.37864,7.64706
12/1/1975,7.12909,7.37864
1/1/1976,6.69216,7.12909
2/1/1976,6.27376,6.69216
3/1/1976,6.06061,6.27376
4/1/1976,5.84906,6.06061
5/1/1976,6.21469,5.84906
6/1/1976,5.98131,6.21469
7/1/1976,5.55556,5.98131
8/1/1976,5.71956,5.55556
9/1/1976,5.49451,5.71956
10/1/1976,5.46448,5.49451
11/1/1976,5.06329,5.46448
12/1/1976,5.03597,5.06329
1/1/1977,5.19713,5.03597
2/1/1977,6.08229,5.19713
3/1/1977,6.42857,6.08229
4/1/1977,6.95187,6.42857
5/1/1977,6.73759,6.95187
6/1/1977,6.70194,6.73759
7/1/1977,6.66667,6.70194
8/1/1977,6.63176,6.66667
9/1/1977,6.42361,6.63176
10/1/1977,6.39033,6.42361
11/1/1977,6.71256,6.39033
12/1/1977,6.67808,6.71256
1/1/1978,6.81431,6.67808
2/1/1978,6.23946,6.81431
3/1/1978,6.37584,6.23946
4/1/1978,6.5,6.37584
5/1/1978,7.14286,6.5
6/1/1978,7.43802,7.14286
7/1/1978,7.73026,7.43802
8/1/1978,7.85597,7.73026
9/1/1978,8.48287,7.85597
10/1/1978,8.92857,8.48287
11/1/1978,8.87097,8.92857
12/1/1978,8.98876,8.87097
1/1/1979,9.2504,8.98876
2/1/1979,9.84127,9.2504
3/1/1979,10.25237,9.84127
4/1/1979,10.48513,10.25237
5/1/1979,10.69767,10.48513
6/1/1979,11.07692,10.69767
7/1/1979,11.45038,11.07692
8/1/1979,11.83612,11.45038
9/1/1979,11.8797,11.83612
10/1/1979,12.07154,11.8797
11/1/1979,12.59259,12.07154
12/1/1979,13.25479,12.59259
1/1/1980,13.86861,13.25479
2/1/1980,14.16185,13.86861
3/1/1980,14.59227,14.16185
4/1/1980,14.58924,14.59227
5/1/1980,14.42577,14.58924
6/1/1980,14.26593,14.42577
7/1/1980,13.15068,14.26593
8/1/1980,12.89009,13.15068
9/1/1980,12.76882,12.89009
10/1/1980,12.63298,12.76882
11/1/1980,12.63158,12.63298
12/1/1980,12.35371,12.63158
1/1/1981,11.79487,12.35371
2/1/1981,11.39241,11.79487
3/1/1981,10.61174,11.39241
4/1/1981,10.13597,10.61174
5/1/1981,9.79192,10.13597
6/1/1981,9.69697,9.79192
7/1/1981,10.77482,9.69697
8/1/1981,10.81731,10.77482
9/1/1981,10.96544,10.81731
10/1/1981,10.27155,10.96544
11/1/1981,9.57944,10.27155
12/1/1981,8.91204,9.57944
1/1/1982,8.25688,8.91204
2/1/1982,7.61364,8.25688
3/1/1982,6.88488,7.61364
4/1/1982,6.62177,6.88488
5/1/1982,6.91193,6.62177
6/1/1982,7.18232,6.91193
7/1/1982,6.55738,7.18232
8/1/1982,5.96529,6.55738
9/1/1982,4.94092,5.96529
10/1/1982,5.03212,4.94092
11/1/1982,4.47761,5.03212
12/1/1982,3.82572,4.47761
1/1/1983,3.70763,3.82572
2/1/1983,3.48469,3.70763
3/1/1983,3.59029,3.48469
4/1/1983,4,3.59029
5/1/1983,3.44108,4
6/1/1983,2.47423,3.44108
