"ID","reference_area","date","HPIndex"
"1","AU","Australia",1970-01-01,31.3066
"2","AU","Australia",1970-04-01,31.5506
"3","AU","Australia",1970-07-01,32.1013
"4","AU","Australia",1970-10-01,32.4367
"5","AU","Australia",1971-01-01,33.0228
"6","AU","Australia",1971-04-01,33.4476
"7","AU","Australia",1971-07-01,33.481
"8","AU","Australia",1971-10-01,34.1111
"9","AU","Australia",1972-01-01,34.5306
"10","AU","Australia",1972-04-01,34.8022
"11","AU","Australia",1972-07-01,35.1382
"12","AU","Australia",1972-10-01,36.7062
"13","AU","Australia",1973-01-01,37.0803
"14","AU","Australia",1973-04-01,37.9458
"15","AU","Australia",1973-07-01,39.6809
"16","AU","Australia",1973-10-01,41.0876
"17","AU","Australia",1974-01-01,42.4078
"18","AU","Australia",1974-04-01,42.2173
"19","AU","Australia",1974-07-01,40.6093
"20","AU","Australia",1974-10-01,40.163
"21","AU","Australia",1975-01-01,39.3666
"22","AU","Australia",1975-04-01,39.7059
"23","AU","Australia",1975-07-01,40.5704
"24","AU","Australia",1975-10-01,39.5241
"25","AU","Australia",1976-01-01,39.8648
"26","AU","Australia",1976-04-01,39.8785
"27","AU","Australia",1976-07-01,38.9466
"28","AU","Australia",1976-10-01,37.9084
"29","AU","Australia",1977-01-01,38.1009
"30","AU","Australia",1977-04-01,38.0344
"31","AU","Australia",1977-07-01,37.4115
"32","AU","Australia",1977-10-01,37.1898
"33","AU","Australia",1978-01-01,37.6411
"34","AU","Australia",1978-04-01,36.8346
"35","AU","Australia",1978-07-01,36.3476
"36","AU","Australia",1978-10-01,35.9354
"37","AU","Australia",1979-01-01,37.2094
"38","AU","Australia",1979-04-01,38.5412
"39","AU","Australia",1979-07-01,38.4186
"40","AU","Australia",1979-10-01,37.9887
"41","AU","Australia",1980-01-01,38.0706
"42","AU","Australia",1980-04-01,38.7966
"43","AU","Australia",1980-07-01,39.4304
"44","AU","Australia",1980-10-01,39.8631
"45","AU","Australia",1981-01-01,41.4858
"46","AU","Australia",1981-04-01,41.9429
"47","AU","Australia",1981-07-01,40.3063
"48","AU","Australia",1981-10-01,40.5353
"49","AU","Australia",1982-01-01,39.3192
"50","AU","Australia",1982-04-01,39.6284
"51","AU","Australia",1982-07-01,37.6166
"52","AU","Australia",1982-10-01,36.3426
"53","AU","Australia",1983-01-01,36.5359
"54","AU","Australia",1983-04-01,37.0618
"55","AU","Australia",1983-07-01,36.2055
"56","AU","Australia",1983-10-01,36.9361
"57","AU","Australia",1984-01-01,38.3597
"58","AU","Australia",1984-04-01,39.1521
"59","AU","Australia",1984-07-01,40.2274
"60","AU","Australia",1984-10-01,39.6406
"61","AU","Australia",1985-01-01,41.1082
"62","AU","Australia",1985-04-01,40.5561
"63","AU","Australia",1985-07-01,40.5445
"64","AU","Australia",1985-10-01,40.3243
"65","AU","Australia",1986-01-01,40.3183
"66","AU","Australia",1986-04-01,40.7216
"67","AU","Australia",1986-07-01,38.5959
"68","AU","Australia",1986-10-01,37.9862
"69","AU","Australia",1987-01-01,37.6495
"70","AU","Australia",1987-04-01,37.4883
"71","AU","Australia",1987-07-01,37.4805
"72","AU","Australia",1987-10-01,38.6215
"73","AU","Australia",1988-01-01,39.6618
"74","AU","Australia",1988-04-01,41.0255
"75","AU","Australia",1988-07-01,44.2326
"76","AU","Australia",1988-10-01,47.7116
"77","AU","Australia",1989-01-01,51.0783
"78","AU","Australia",1989-04-01,50.7994
"79","AU","Australia",1989-07-01,49.6747
"80","AU","Australia",1989-10-01,48.9242
"81","AU","Australia",1990-01-01,48.2928
"82","AU","Australia",1990-04-01,47.9595
"83","AU","Australia",1990-07-01,47.2009
"84","AU","Australia",1990-10-01,46.2753
"85","AU","Australia",1991-01-01,46.3072
"86","AU","Australia",1991-04-01,46.7826
"87","AU","Australia",1991-07-01,47.9623
"88","AU","Australia",1991-10-01,47.4819
"89","AU","Australia",1992-01-01,47.1658
"90","AU","Australia",1992-04-01,47.4619
"91","AU","Australia",1992-07-01,47.4234
"92","AU","Australia",1992-10-01,47.639
"93","AU","Australia",1993-01-01,47.6945
"94","AU","Australia",1993-04-01,47.8491
"95","AU","Australia",1993-07-01,47.6591
"96","AU","Australia",1993-10-01,48.0254
"97","AU","Australia",1994-01-01,48.3176
"98","AU","Australia",1994-04-01,48.5777
"99","AU","Australia",1994-07-01,49.0061
"100","AU","Australia",1994-10-01,48.3971
"101","AU","Australia",1995-01-01,48.1077
"102","AU","Australia",1995-04-01,47.1033
"103","AU","Australia",1995-07-01,46.6119
"104","AU","Australia",1995-10-01,46.1755
"105","AU","Australia",1996-01-01,45.953
"106","AU","Australia",1996-04-01,46.1763
"107","AU","Australia",1996-07-01,46.2026
"108","AU","Australia",1996-10-01,46.2522
"109","AU","Australia",1997-01-01,46.5884
"110","AU","Australia",1997-04-01,47.3349
"111","AU","Australia",1997-07-01,48.4057
"112","AU","Australia",1997-10-01,49.1935
"113","AU","Australia",1998-01-01,50.2592
"114","AU","Australia",1998-04-01,51.0486
"115","AU","Australia",1998-07-01,50.9729
"116","AU","Australia",1998-10-01,51.5853
"117","AU","Australia",1999-01-01,52.5088
"118","AU","Australia",1999-04-01,53.4705
"119","AU","Australia",1999-07-01,53.9905
"120","AU","Australia",1999-10-01,55.4416
"121","AU","Australia",2000-01-01,55.9766
