"ID","borrowers_country","date","credit"
"1","XM","Euro area",1999-01-01,115.3
"2","XM","Euro area",1999-04-01,117.4
"3","XM","Euro area",1999-07-01,118.4
"4","XM","Euro area",1999-10-01,120.9
"5","XM","Euro area",2000-01-01,120.9
"6","XM","Euro area",2000-04-01,121.7
"7","XM","Euro area",2000-07-01,123.3
"8","XM","Euro area",2000-10-01,125.9
"9","XM","Euro area",2001-01-01,125.6
"10","XM","Euro area",2001-04-01,126.6
"11","XM","Euro area",2001-07-01,127.3
"12","XM","Euro area",2001-10-01,129.5
"13","XM","Euro area",2002-01-01,130.7
"14","XM","Euro area",2002-04-01,131.4
"15","XM","Euro area",2002-07-01,131.4
"16","XM","Euro area",2002-10-01,132.6
"17","XM","Euro area",2003-01-01,132.5
"18","XM","Euro area",2003-04-01,133.8
"19","XM","Euro area",2003-07-01,134.1
"20","XM","Euro area",2003-10-01,135.2
"21","XM","Euro area",2004-01-01,135.1
"22","XM","Euro area",2004-04-01,136
"23","XM","Euro area",2004-07-01,136.4
"24","XM","Euro area",2004-10-01,138.1
"25","XM","Euro area",2005-01-01,138.6
"26","XM","Euro area",2005-04-01,141.1
"27","XM","Euro area",2005-07-01,141.5
"28","XM","Euro area",2005-10-01,142.5
"29","XM","Euro area",2006-01-01,145
"30","XM","Euro area",2006-04-01,146.5
"31","XM","Euro area",2006-07-01,145.8
"32","XM","Euro area",2006-10-01,146.4
"33","XM","Euro area",2007-01-01,146.9
"34","XM","Euro area",2007-04-01,149
"35","XM","Euro area",2007-07-01,149
"36","XM","Euro area",2007-10-01,152.4
"37","XM","Euro area",2008-01-01,153.3
"38","XM","Euro area",2008-04-01,154.9
"39","XM","Euro area",2008-07-01,156.2
"40","XM","Euro area",2008-10-01,157.1
"41","XM","Euro area",2009-01-01,159.7
"42","XM","Euro area",2009-04-01,162
"43","XM","Euro area",2009-07-01,163.3
"44","XM","Euro area",2009-10-01,164.6
"45","XM","Euro area",2010-01-01,164.6
"46","XM","Euro area",2010-04-01,165
"47","XM","Euro area",2010-07-01,163.9
"48","XM","Euro area",2010-10-01,164.5
"49","XM","Euro area",2011-01-01,162.9
"50","XM","Euro area",2011-04-01,163.3
"51","XM","Euro area",2011-07-01,162.8
"52","XM","Euro area",2011-10-01,165.4
"53","XM","Euro area",2012-01-01,166.3
"54","XM","Euro area",2012-04-01,167.4
"55","XM","Euro area",2012-07-01,167.5
"56","XM","Euro area",2012-10-01,166
"57","XM","Euro area",2013-01-01,166.2
"58","XM","Euro area",2013-04-01,165.6
"59","XM","Euro area",2013-07-01,165
"60","XM","Euro area",2013-10-01,163.5
"61","XM","Euro area",2014-01-01,164.6
"62","XM","Euro area",2014-04-01,165.2
"63","XM","Euro area",2014-07-01,164.9
"64","XM","Euro area",2014-10-01,164.9
"65","XM","Euro area",2015-01-01,170.5
"66","XM","Euro area",2015-04-01,169.3
"67","XM","Euro area",2015-07-01,168.7
"68","XM","Euro area",2015-10-01,167.2
"69","XM","Euro area",2016-01-01,167.3
"70","XM","Euro area",2016-04-01,168
"71","XM","Euro area",2016-07-01,167.8
"72","XM","Euro area",2016-10-01,167
"73","XM","Euro area",2017-01-01,167.5
"74","XM","Euro area",2017-04-01,166
"75","XM","Euro area",2017-07-01,164.5
"76","XM","Euro area",2017-10-01,163.5
"77","XM","Euro area",2018-01-01,162.7
"78","XM","Euro area",2018-04-01,163.1
"79","XM","Euro area",2018-07-01,162.7
"80","XM","Euro area",2018-10-01,161.6
"81","XM","Euro area",2019-01-01,161.7
"82","XM","Euro area",2019-04-01,162.3
"83","XM","Euro area",2019-07-01,162.4
"84","XM","Euro area",2019-10-01,161.1
"85","XM","Euro area",2020-01-01,163.2
"86","XM","Euro area",2020-04-01,171.3
"87","XM","Euro area",2020-07-01,173.4
"88","XM","Euro area",2020-10-01,175.2
"89","XM","Euro area",2021-01-01,177.3
"90","XM","Euro area",2021-04-01,173
