"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"1","CA","1970-01-01","A","Credit-to-GDP ratios (actual data)",85,"Canada",36.9844
"2","CA","1970-04-01","A","Credit-to-GDP ratios (actual data)",84.8,"Canada",36.8022
"3","CA","1970-07-01","A","Credit-to-GDP ratios (actual data)",85.4,"Canada",36.8036
"4","CA","1970-10-01","A","Credit-to-GDP ratios (actual data)",86.1,"Canada",38.0431
"5","CA","1971-01-01","A","Credit-to-GDP ratios (actual data)",86.5,"Canada",38.1583
"6","CA","1971-04-01","A","Credit-to-GDP ratios (actual data)",87.7,"Canada",38.1133
"7","CA","1971-07-01","A","Credit-to-GDP ratios (actual data)",88.9,"Canada",37.305
"8","CA","1971-10-01","A","Credit-to-GDP ratios (actual data)",89.8,"Canada",38.9569
"9","CA","1972-01-01","A","Credit-to-GDP ratios (actual data)",89.9,"Canada",39.3096
"10","CA","1972-04-01","A","Credit-to-GDP ratios (actual data)",90.9,"Canada",38.9473
"11","CA","1972-07-01","A","Credit-to-GDP ratios (actual data)",92,"Canada",38.6832
"12","CA","1972-10-01","A","Credit-to-GDP ratios (actual data)",93.1,"Canada",40.1878
"13","CA","1973-01-01","A","Credit-to-GDP ratios (actual data)",93.4,"Canada",41.5135
"14","CA","1973-04-01","A","Credit-to-GDP ratios (actual data)",94.6,"Canada",42.7417
"15","CA","1973-07-01","A","Credit-to-GDP ratios (actual data)",94.6,"Canada",44.5809
"16","CA","1973-10-01","A","Credit-to-GDP ratios (actual data)",95.2,"Canada",47.9393
"17","CA","1974-01-01","A","Credit-to-GDP ratios (actual data)",95,"Canada",51.7922
"18","CA","1974-04-01","A","Credit-to-GDP ratios (actual data)",96.1,"Canada",52.3013
"19","CA","1974-07-01","A","Credit-to-GDP ratios (actual data)",96.2,"Canada",50.3281
"20","CA","1974-10-01","A","Credit-to-GDP ratios (actual data)",96.5,"Canada",49.0292
"21","CA","1975-01-01","A","Credit-to-GDP ratios (actual data)",97.2,"Canada",50.6942
"22","CA","1975-04-01","A","Credit-to-GDP ratios (actual data)",98.4,"Canada",51.1298
"23","CA","1975-07-01","A","Credit-to-GDP ratios (actual data)",99,"Canada",51.0785
"24","CA","1975-10-01","A","Credit-to-GDP ratios (actual data)",99.4,"Canada",52.1097
"25","CA","1976-01-01","A","Credit-to-GDP ratios (actual data)",99.3,"Canada",53.5763
"26","CA","1976-04-01","A","Credit-to-GDP ratios (actual data)",99.2,"Canada",53.4231
"27","CA","1976-07-01","A","Credit-to-GDP ratios (actual data)",99.6,"Canada",52.7265
"28","CA","1976-10-01","A","Credit-to-GDP ratios (actual data)",100.5,"Canada",53.9456
"29","CA","1977-01-01","A","Credit-to-GDP ratios (actual data)",101.9,"Canada",53.3124
"30","CA","1977-04-01","A","Credit-to-GDP ratios (actual data)",103.9,"Canada",52.1632
"31","CA","1977-07-01","A","Credit-to-GDP ratios (actual data)",105.2,"Canada",50.9081
"32","CA","1977-10-01","A","Credit-to-GDP ratios (actual data)",106,"Canada",51.3016
"33","CA","1978-01-01","A","Credit-to-GDP ratios (actual data)",107.2,"Canada",50.1131
"34","CA","1978-04-01","A","Credit-to-GDP ratios (actual data)",108.1,"Canada",50.3919
"35","CA","1978-07-01","A","Credit-to-GDP ratios (actual data)",109.2,"Canada",49.0875
"36","CA","1978-10-01","A","Credit-to-GDP ratios (actual data)",110.4,"Canada",50.5484
"37","CA","1979-01-01","A","Credit-to-GDP ratios (actual data)",112,"Canada",51.1774
"38","CA","1979-04-01","A","Credit-to-GDP ratios (actual data)",113.3,"Canada",50.8883
"39","CA","1979-07-01","A","Credit-to-GDP ratios (actual data)",114.4,"Canada",49.6938
"40","CA","1979-10-01","A","Credit-to-GDP ratios (actual data)",114.6,"Canada",50.7208
"41","CA","1980-01-01","A","Credit-to-GDP ratios (actual data)",115,"Canada",50.3694
"42","CA","1980-04-01","A","Credit-to-GDP ratios (actual data)",116.2,"Canada",51.0029
"43","CA","1980-07-01","A","Credit-to-GDP ratios (actual data)",116.4,"Canada",51.6298
"44","CA","1980-10-01","A","Credit-to-GDP ratios (actual data)",117.3,"Canada",53.4208
"45","CA","1981-01-01","A","Credit-to-GDP ratios (actual data)",118,"Canada",53.6265
