"ID","date","cg_dtype","credit_gap_data_type","credit","reference_area","HPIndex"
"1","DE","1970-01-01","A","Credit-to-GDP ratios (actual data)",83.8,"Germany",118.9766
"2","DE","1970-04-01","A","Credit-to-GDP ratios (actual data)",83.5,"Germany",123.2468
"3","DE","1970-07-01","A","Credit-to-GDP ratios (actual data)",82.8,"Germany",124.3157
"4","DE","1970-10-01","A","Credit-to-GDP ratios (actual data)",83.7,"Germany",124.6899
"5","DE","1971-01-01","A","Credit-to-GDP ratios (actual data)",82.3,"Germany",125.7019
"6","DE","1971-04-01","A","Credit-to-GDP ratios (actual data)",82.8,"Germany",129.8132
"7","DE","1971-07-01","A","Credit-to-GDP ratios (actual data)",83.6,"Germany",130.506
"8","DE","1971-10-01","A","Credit-to-GDP ratios (actual data)",85.5,"Germany",129.7232
"9","DE","1972-01-01","A","Credit-to-GDP ratios (actual data)",85.3,"Germany",129.6866
"10","DE","1972-04-01","A","Credit-to-GDP ratios (actual data)",86.7,"Germany",131.4276
"11","DE","1972-07-01","A","Credit-to-GDP ratios (actual data)",86.9,"Germany",131.0151
"12","DE","1972-10-01","A","Credit-to-GDP ratios (actual data)",89,"Germany",129.8094
"13","DE","1973-01-01","A","Credit-to-GDP ratios (actual data)",89.2,"Germany",128.824
"14","DE","1973-04-01","A","Credit-to-GDP ratios (actual data)",89.5,"Germany",132.1633
"15","DE","1973-07-01","A","Credit-to-GDP ratios (actual data)",89.5,"Germany",132.1739
"16","DE","1973-10-01","A","Credit-to-GDP ratios (actual data)",90.1,"Germany",129.7056
"17","DE","1974-01-01","A","Credit-to-GDP ratios (actual data)",89.8,"Germany",129.4125
"18","DE","1974-04-01","A","Credit-to-GDP ratios (actual data)",90.3,"Germany",132.5737
"19","DE","1974-07-01","A","Credit-to-GDP ratios (actual data)",90.3,"Germany",132.5798
"20","DE","1974-10-01","A","Credit-to-GDP ratios (actual data)",90.9,"Germany",130.0552
"21","DE","1975-01-01","A","Credit-to-GDP ratios (actual data)",90.2,"Germany",128.1556
"22","DE","1975-04-01","A","Credit-to-GDP ratios (actual data)",90.8,"Germany",127.2398
"23","DE","1975-07-01","A","Credit-to-GDP ratios (actual data)",91,"Germany",126.3735
"24","DE","1975-10-01","A","Credit-to-GDP ratios (actual data)",92.9,"Germany",125.2582
"25","DE","1976-01-01","A","Credit-to-GDP ratios (actual data)",91.6,"Germany",123.4281
"26","DE","1976-04-01","A","Credit-to-GDP ratios (actual data)",91.9,"Germany",123.8698
"27","DE","1976-07-01","A","Credit-to-GDP ratios (actual data)",91.7,"Germany",124.4124
"28","DE","1976-10-01","A","Credit-to-GDP ratios (actual data)",92.8,"Germany",125.2934
"29","DE","1977-01-01","A","Credit-to-GDP ratios (actual data)",91.7,"Germany",124.4345
"30","DE","1977-04-01","A","Credit-to-GDP ratios (actual data)",92.6,"Germany",125.6825
"31","DE","1977-07-01","A","Credit-to-GDP ratios (actual data)",92.9,"Germany",127.196
"32","DE","1977-10-01","A","Credit-to-GDP ratios (actual data)",94.4,"Germany",128.3983
"33","DE","1978-01-01","A","Credit-to-GDP ratios (actual data)",92.8,"Germany",129.0154
"34","DE","1978-04-01","A","Credit-to-GDP ratios (actual data)",93.7,"Germany",130.7625
"35","DE","1978-07-01","A","Credit-to-GDP ratios (actual data)",93.7,"Germany",133.4701
"36","DE","1978-10-01","A","Credit-to-GDP ratios (actual data)",95.5,"Germany",135.0663
"37","DE","1979-01-01","A","Credit-to-GDP ratios (actual data)",95.1,"Germany",135.4289
"38","DE","1979-04-01","A","Credit-to-GDP ratios (actual data)",96.1,"Germany",138.5143
