"V1","V2"
"1",12.7,63.25
"2",12.6,65.31
"3",12.6,67.56
"4",13.1,69.33
"5",12.1,69.94
"6",11.9,71.26
"7",12.1,74.19
"8",12.5,76.58
"9",11.9,80.46
"10",12.2,83.98
"11",12.7,90.4
"12",12.9,98.8
"13",12.2,107.81
"14",13,115.66
"15",12.5,119.13
"16",13.1,118.1
"17",12.5,117.26
"18",12.9,116.79
"19",13.9,113.51
"20",14.4,107.96
"21",15.1,104.4
"22",15.9,100.9
"23",16.2,96.93
"24",16.9,93.58
"25",17.1,90.44
"26",18.8,87.62
"27",19.8,86.5
"28",20.2,85.42
"29",20.6,84.63
"30",20.6,84.07
"31",21.4,85.71
"32",22.9,89.38
"33",23.4,93.57
"34",24,97.16
"35",24.7,100.29
"36",24.7,102.93
"37",24.8,105.86
"38",24.9,108.54
"39",25.5,110.36
"40",25.8,111.33
"41",25.5,112.34
"42",26.9,113.35
"43",27.1,114.36
"44",27.5,115.32
"45",27.4,120.99
"46",27.6,119
"47",27.6,117.76
"48",28.4,118.04
"49",29.1,116.36
"50",29.8,113.9
"51",29.7,114.37
"52",30,118.78
"53",29.7,120.67
"54",30.8,124.87
"55",31.7,127.65
"56",32.4,126.61
"57",33.6,129.94
"58",35.5,137.45
"59",37.2,136.1
"60",37.7,136.17
"61",38.1,139.38
"62",39,145.22
"63",39.4,146.35
"64",40.2,151.09
"65",40.9,149.24
"66",41.7,151.28
"67",42.3,146.74
"68",42.5,140.75
"69",42.7,134.95
"70",43.4,129.78
"71",44,126.5
"72",44.3,126.25
"73",44.2,123.49
"74",44.6,120
"75",45.7,117.53
"76",44.6,115.76
"77",45.2,112.56
"78",45.9,110.83
"79",46.8,108.84
"80",46.5,109.09
"81",46.2,107.2
"82",46.3,105.66
"83",46,104.65
"84",45.9,104.23
"85",45.6,102.62
"86",46.6,101.29
"87",47.8,100.37
"88",47.8,100.55
"89",48.4,100.95
"90",49.4,100.51
"91",49.7,99.57
"92",49.9,98.08
"93",47.9,90.49
"94",47.1,83.86
"95",46,81.99
"96",46.1,80.7
"97",46.1,81.96
"98",46.2,82.24
"99",46,83.15
"100",45.1,82.69
"101",49.7,82.56
"102",49,82.96
"103",49.6,81.84
"104",49.3,81.21
"105",49.8,79.62
"106",51.2,80.23
"107",53.2,82.89
"108",54.6,85.37
"109",57.5,89.44
"110",60.7,91.76
"111",63.2,94.56
"112",64,96.69
"113",63.1,95.62
"114",62.7,97.85
"115",62.3,99.29
"116",62.8,99.57
"117",61.7,97.25
"118",60.9,96.8
"119",60.5,94.94
"120",60.3,94.1
"121",59.9,92.49
"122",61.6,93.51
"123",62.4,94.76
"124",63.5,95
"125",63.6,94.98
"126",64.8,96.58
"127",65.5,96.95
"128",67.6,101.65
"129",67.7,104.25
"130",68.3,103.61
"131",68.6,103.51
"132",69.2,103.51
"133",69.5,103.13
"134",70.4,103.16
"135",70.7,103.03
"136",71,102.96
"137",70.5,100.8
"138",71.7,99.84
"139",72.3,100.17
"140",73.1,101.2
"141",72.6,100.5
"142",72.2,100.35
"143",72.6,99.51
"144",73.2,99.66
"145",73.1,99.52
"146",74.4,101.11
"147",75,101.5
"148",76.5,102.6
"149",76.1,102.21
"150",76.1,102.29
"151",76.4,101.75
"152",77.3,101.16
"153",76.6,100.18
"154",77.4,100.24
"155",77.5,99.77
"156",78.4,100.2
"157",78,99.85
"158",78.1,100.03
"159",79.1,100.16
"160",80.1,101.31
"161",80.1,101.36
"162",81.1,102.41
"163",82.1,103.41
"164",83.1,104.74
"165",83.3,104.64
"166",84.3,104.61
"167",85.7,104.77
"168",87.3,104.78
"169",87.5,103.81
"170",88.3,103.92
"171",88.8,103.89
"172",89.4,104.54
"173",89.7,104.17
"174",90.3,104.4
"175",91.2,104.56
"176",91.9,106.02
"177",92.1,106.44
"178",92.9,105.65
