OBS	USUKF	USUKS	USUKFP
1976M02	0.703592438	0.707789457	-0.004197019
1976M03	0.701859121	0.705075751	-0.00321663
1976M04	0.628608659	0.633397176	-0.004788517
1976M05	0.598561738	0.603495959	-0.004934221
1976M06	0.557327457	0.562183916	-0.004856459
1976M07	0.575207883	0.581656805	-0.006448922
1976M08	0.574532549	0.58137728	-0.00684473
1976M09	0.566733256	0.573800423	-0.007067167
1976M10	0.501865602	0.512224645	-0.010359042
1976M11	0.448524598	0.461845442	-0.013320844
1976M12	0.498955451	0.5086232	-0.009667749
1977M01	0.520993753	0.531627751	-0.010633999
1977M02	0.532097759	0.539413081	-0.007315322
1977M03	0.531510215	0.538538062	-0.007027847
1977M04	0.538421335	0.542033551	-0.003612216
1977M05	0.53964629	0.542091706	-0.002445416
1977M06	0.536785725	0.542033551	-0.005247825
1977M07	0.539762874	0.542208005	-0.002445131
1977M08	0.551468402	0.552619945	-0.001151543
1977M09	0.554689387	0.555206079	-0.000516692
1977M10	0.564006136	0.562981546	0.00102459
1977M11	0.613562701	0.611665939	0.001896763
1977M12	0.59746193	0.59746193	0
1978M01	0.651126551	0.650761464	0.000365087
1978M02	0.667419032	0.667059846	0.000359186
1978M03	0.6618113	0.662430208	-0.000618908
1978M04	0.625296514	0.62486834	0.000428174
1978M05	0.601579987	0.604042705	-0.002462718
1978M06	0.600483496	0.602401567	-0.001918072
1978M07	0.622188092	0.624600638	-0.002412546
1978M08	0.653782457	0.655964389	-0.002181932
1978M09	0.665261977	0.667572929	-0.002310952
1978M10	0.675390459	0.678794674	-0.003404215
1978M11	0.701363335	0.703097511	-0.001734176
1978M12	0.659952276	0.661656513	-0.001704238
1979M01	0.712802738	0.713684832	-0.000882094
1979M02	0.681175809	0.683601768	-0.002425959
1979M03	0.702750917	0.704828685	-0.002077769
1979M04	0.725227074	0.726340148	-0.001113074
1979M05	0.725033369	0.726823707	-0.001790337
1979M06	0.728610845	0.729720161	-0.001109316
1979M07	0.779875184	0.783216378	-0.003341194
1979M08	0.81655879	0.820000072	-0.003441281
1979M09	0.808839143	0.810040932	-0.001201789
1979M10	0.784266774	0.785498442	-0.001231668
1979M11	0.728852105	0.728514324	0.000337781
1979M12	0.791770049	0.794349061	-0.002579012
1980M01	0.795568381	0.797507196	-0.001938815
1980M02	0.818148546	0.821540395	-0.00339185
1980M03	0.804912144	0.807368325	-0.002456181
1980M04	0.762999682	0.761973371	0.001026311
1980M05	0.812928219	0.815453305	-0.002525086
1980M06	0.842558074	0.849081982	-0.006523908
1980M07	0.850663618	0.858746361	-0.008082743
1980M08	0.841653389	0.847369286	-0.005715898
1980M09	0.87400934	0.878381159	-0.004371819
1980M10	0.868779749	0.871711688	-0.002931939
