OBS	USUKF	USUKS	USUKFP
1980M11	0.892202936	0.893431438	-0.001228501
1980M12	0.858534492	0.85420254	0.004331953
1981M01	0.875677049	0.871711688	0.003965361
1981M02	0.856455798	0.853989706	0.002466092
1981M03	0.781615829	0.779554208	0.00206162
1981M04	0.807145285	0.806029338	0.001115947
1981M05	0.767094426	0.762673243	0.004421182
1981M06	0.727548607	0.721734637	0.00581397
1981M07	0.64867269	0.643431588	0.005241102
1981M08	0.592884759	0.588064404	0.004820355
1981M09	0.610471844	0.606226709	0.004245135
1981M10	0.604589154	0.605135303	-0.00054615
1981M11	0.626633377	0.627541423	-0.000908047
1981M12	0.661088757	0.663821351	-0.002732594
1982M01	0.6452691	0.646579545	-0.001310444
1982M02	0.622027048	0.621382614	0.000644434
1982M03	0.600209185	0.599660337	0.000548847
1982M04	0.581768593	0.580258398	0.001510194
1982M05	0.586007305	0.584447764	0.001559541
1982M06	0.582103882	0.580817996	0.001285886
1982M07	0.552706258	0.550430878	0.002275379
1982M08	0.56104334	0.560757993	0.000285347
1982M09	0.543050771	0.542905517	0.000145254
1982M10	0.529127125	0.528567305	0.00055982
1982M11	0.520251064	0.520280783	-2.97181E-05
1982M12	0.487075817	0.487659346	-0.000583529
1983M01	0.479923019	0.480881747	-0.000958728
1983M02	0.419532365	0.421338457	-0.001806092
1983M03	0.407429843	0.40978908	-0.002359236
1983M04	0.393561204	0.394404161	-0.000842957
1983M05	0.443755902	0.445006283	-0.001250381
1983M06	0.463356587	0.464048432	-0.000691846
1983M07	0.426345586	0.426247647	9.79384E-05
1983M08	0.411579709	0.41111578	0.000463929
1983M09	0.405098374	0.404798219	0.000300155
1983M10	0.394707451	0.394741145	-3.36933E-05
1983M11	0.396928777	0.396424363	0.000504414
1983M12	0.377442792	0.376722639	0.000720152
1984M01	0.373182934	0.372597504	0.00058543
1984M02	0.344334108	0.343944251	0.000389857
1984M03	0.390994242	0.39035147	0.000642771
1984M04	0.363009836	0.361513221	0.001496615
1984M05	0.336972112	0.335042644	0.001929468
1984M06	0.327755787	0.326061085	0.001694702
1984M07	0.303395468	0.300845059	0.002550409
1984M08	0.263440608	0.263901544	-0.000460936
1984M09	0.265436464	0.264669298	0.000767165
1984M10	0.21361833	0.213093215	0.000525115
1984M11	0.209936724	0.21107097	-0.001134246
1984M12	0.178731788	0.179818427	-0.001086639
1985M01	0.146564837	0.147557564	-0.000992727
1985M02	0.11395349	0.117338492	-0.003385002
1985M03	0.065132095	0.069992372	-0.004860277
1985M04	0.196840643	0.200897942	-0.004057299
1985M05	0.198071867	0.201715604	-0.003643737
1985M06	0.25200308	0.25595918	-0.0039561
1985M07	0.262094997	0.266586109	-0.004491112
1985M08	0.321032222	0.324255053	-0.003222831
1985M09	0.317107371	0.320270262	-0.003162891
1985M10	0.341779556	0.345007139	-0.003227583
1985M11	0.36203555	0.364990276	-0.002954725
1985M12	0.394168204	0.397096858	-0.002928654
1986M01	0.365441406	0.368455282	-0.003013876
1986M02	0.322988886	0.326782586	-0.0037937
1986M03	0.361757008	0.366031039	-0.004274031
1986M04	0.382367057	0.386282289	-0.003915232
1986M05	0.421502486	0.424940885	-0.003438399
1986M06	0.385364436	0.387979794	-0.002615357
1986M07	0.435509229	0.438254931	-0.002745701
1986M08	0.392751296	0.395751416	-0.00300012
1986M09	0.395583108	0.399111634	-0.003528526
1986M10	0.364156884	0.368109322	-0.003952437
1986M11	0.340642102	0.344652969	-0.004010867
1986M12	0.359002234	0.363253259	-0.004251026
1987M01	0.390114556	0.393729852	-0.003615296
1987M02	0.417690078	0.421338457	-0.00364838
1987M03	0.443114074	0.447246642	-0.004132568
1987M04	0.470128621	0.473123757	-0.002995135
1987M05	0.510185419	0.512224645	-0.002039226
1987M06	0.484337901	0.485815461	-0.00147756
1987M07	0.478436721	0.480263318	-0.001826598
1987M08	0.457994305	0.459953293	-0.001958988
1987M09	0.49237648	0.494696242	-0.002319762
1987M10	0.478529679	0.480572581	-0.002042902
1987M11	0.551526011	0.553310235	-0.001784224
1987M12	0.597847001	0.598561738	-0.000714737
1988M01	0.629355047	0.630473586	-0.001118539
1988M02	0.562867638	0.564461173	-0.001593535
1988M03	0.573462338	0.575489137	-0.002026799
1988M04	0.634193038	0.635518068	-0.00132503
1988M05	0.630207381	0.631005784	-0.000798403
1988M06	0.600977066	0.601031892	-5.48261E-05
1988M07	0.529745509	0.531216313	-0.001470805
1988M08	0.535966916	0.538538062	-0.002571146
1988M09	0.511865083	0.514917242	-0.003052158
1988M10	0.526915485	0.530039843	-0.003124358
1988M11	0.566222487	0.569283193	-0.003060706
1988M12	0.613562701	0.616805947	-0.003243246
1989M01	0.58961832	0.592774206	-0.003155887
1989M02	0.55938719	0.562183916	-0.002796726
1989M03	0.542382429	0.544937153	-0.002554725
1989M04	0.520102461	0.52235886	-0.002256399
1989M05	0.521646862	0.524136638	-0.002489775
1989M06	0.449609577	0.452984624	-0.003375047
1989M07	0.451966942	0.455841315	-0.003874374
1989M08	0.498894733	0.503498848	-0.004604115
1989M09	0.438319445	0.442439711	-0.004120266
1989M10	0.47660678	0.481190819	-0.004584038
1989M11	0.453238883	0.458689869	-0.005450986
1989M12	0.443210374	0.448524598	-0.005314223
1990M01	0.471939255	0.47778577	-0.005846515
1990M02	0.515215972	0.520280783	-0.00506481
1990M03	0.504525822	0.510125379	-0.005599557
1990M04	0.483906534	0.489193324	-0.005286789
1990M05	0.489254634	0.495001073	-0.00574644
1990M06	0.515932561	0.521468784	-0.005536223
1990M07	0.561613791	0.567300471	-0.00568668
1990M08	0.611882894	0.617884696	-0.006001802
1990M09	0.621973361	0.627541423	-0.005568062
1990M10	0.630313871	0.636312244	-0.005998372
1990M11	0.663769862	0.668598308	-0.004828446
1990M12	0.646998525	0.651804217	-0.004805692
1991M01	0.651804217	0.657520003	-0.005715786
1991M02	0.675899287	0.681327604	-0.005428317
1991M03	0.635623994	0.6408007	-0.005176706
1991M04	0.548121409	0.553310235	-0.005188827
1991M05	0.539996001	0.544937153	-0.004941152
1991M06	0.524669356	0.52915658	-0.004487225
1991M07	0.474493535	0.479334957	-0.004841422
1991M08	0.510905621	0.515215972	-0.004310352
1991M09	0.517543012	0.521765564	-0.004222552
1991M10	0.554057512	0.558472277	-0.004414765
1991M11	0.554890355	0.559330033	-0.004439678
1991M12	0.569735836	0.574645136	-0.004909301
1992M01	0.620845269	0.626473047	-0.005627778
1992M02	0.582662447	0.587786665	-0.005124218
1992M03	0.557069692	0.562753717	-0.005684024
1992M04	0.538946499	0.544647172	-0.005700673
1992M05	0.573687741	0.579418415	-0.005730675
1992M06	0.595534352	0.600483496	-0.004949144
1992M07	0.642485266	0.647626665	-0.0051414
1992M08	0.648149815	0.654406352	-0.006256538
1992M09	0.685770036	0.691646054	-0.005876018
1992M10	0.546675277	0.551871593	-0.005196317
1992M11	0.422059982	0.426247647	-0.004187666
1992M12	0.426769875	0.429507103	-0.002737228
1993M01	0.411645967	0.414755155	-0.003109188
1993M02	0.371218669	0.373974441	-0.002755772
1993M03	0.361931106	0.364643114	-0.002712008
1993M04	0.419959554	0.422322225	-0.002362671
1993M05	0.447821924	0.450438474	-0.00261655
1993M06	0.436511477	0.438899884	-0.002388408
1993M07	0.408792898	0.41111578	-0.002322881
1993M08	0.395953348	0.398440493	-0.002487145
1993M09	0.408061734	0.41045265	-0.002390916
1993M10	0.406697682	0.409125069	-0.002427387
1993M11	0.39041915	0.392717535	-0.002298385
1993M12	0.390825131	0.392379869	-0.001554737
1994M01	0.389674422	0.391704193	-0.002029771
1994M02	0.408460617	0.410187274	-0.001726657
1994M03	0.394673757	0.396087946	-0.001414189
1994M04	0.387029546	0.388318949	-0.001289403
1994M05	0.41670174	0.417723006	-0.001021265
1994M06	0.416207205	0.416800618	-0.000593413
1994M07	0.430092678	0.430482871	-0.000390193
1994M08	0.429995106	0.430807916	-0.00081281
1994M09	0.431847349	0.431977203	-0.000129853
1994M10	0.455777922	0.456158222	-0.0003803
1994M11	0.490816775	0.491459301	-0.000642526
1994M12	0.449609577	0.449290588	0.000318989
1995M01	0.44743844	0.447566284	-0.000127845
1995M02	0.458057558	0.458436993	-0.000379435
1995M03	0.457551421	0.457804522	-0.0002531
1995M04	0.480294249	0.480510736	-0.000216487
1995M05	0.479458788	0.480139586	-0.000680798
1995M06	0.464205603	0.464425601	-0.000219998
1995M07	0.46903441	0.469566034	-0.000531624
1995M08	0.468408608	0.469253348	-0.00084474
1995M09	0.439157749	0.439866535	-0.000708786
1995M10	0.461120541	0.461908452	-0.00078791
1995M11	0.455777922	0.456475029	-0.000697107
1995M12	0.425104323	0.425790475	-0.000686151
1996M01	0.439189978	0.439930945	-0.000740967
1996M02	0.413433278	0.414160526	-0.000727249
1996M03	0.423305026	0.424221437	-0.00091641
1996M04	0.42199441	0.422256671	-0.000262261
1996M05	0.402594325	0.403129048	-0.000534724
1996M06	0.43728672	0.437803216	-0.000516496
