"credit","Credit_HPcycle","Credit_HPtrend"
"150",64,7.71195549818492,56.2880445018151
"151",65.3,8.90560603231498,56.394393967685
"152",64.8,8.30439157382158,56.4956084261784
"153",64.4,7.80806355224796,56.591936447752
"154",65.3,8.61635263615761,56.6836473638424
"155",66.4,9.62896997395851,56.7710300260415
"156",67.1,10.2456051731729,56.8543948268271
"157",66.9,9.96592376890006,56.9340762310999
"158",67.5,10.4895656822252,57.0104343177748
"159",67.5,10.4161459194254,57.0838540805746
"160",67.3,10.1452532628632,57.1547467371368
"161",67.6,10.3764504545371,57.2235495454629
"162",66.5,9.20927487331122,57.2907251266888
"163",65.7,8.34323795692415,57.3567620430759
"164",65.3,7.87782811992701,57.422171880073
"165",64.9,7.41251291877607,57.4874870812239
"166",66.2,8.64674021535724,57.5532597846428
"167",66,8.37993934027434,57.6200606597257
"168",66.8,9.11151800728049,57.6884819927195
"169",61.3,3.54086298028095,57.759137019719
"170",59.7,1.86733824438477,57.8326617556152
"171",59.1,1.19029893254526,57.9097010674547
"172",59.4,1.4090955093686,57.9909044906314
"173",60,1.92307546371326,58.0769245362867
"174",57.9,-0.268417238299262,58.1684172382993
"175",55.7,-2.56604343823845,58.2660434382385
"176",55,-3.37046330662824,58.3704633066282
"177",55.7,-2.78233059888278,58.4823305988828
"178",52.9,-5.70229064426331,58.6022906442633
"179",53,-5.7309818161988,58.7309818161988
"180",51.9,-6.9690282323967,58.8690282323967
"181",48.4,-10.6170396831036,59.0170396831036
"182",48.3,-10.8756085360033,59.1756085360033
"183",47.4,-11.9453006161722,59.3453006161722
"184",46.7,-12.8266545596716,59.5266545596716
"185",46.6,-13.1201791393115,59.7201791393115
"186",46.2,-13.7263510612627,59.9263510612627
"187",47.7,-12.4456142312469,60.1456142312469
"188",48.7,-11.6783782391154,60.3783782391154
"189",48.9,-11.7250215606685,60.6250215606685
"190",47.7,-13.1858934757811,60.8858934757811
"191",47.3,-13.8613139517567,61.1613139517567
"192",47.2,-14.251569991177,61.451569991177
"193",45,-16.7569139433305,61.7569139433305
"194",43.8,-18.2775625285909,62.0775625285909
"195",43.8,-18.6136905750339,62.4136905750339
"196",44.6,-18.1654272168361,62.7654272168361
"197",48.1,-15.032855053948,63.132855053948
"198",47.2,-16.3160112727545,63.5160112727545
"199",48.3,-15.6148954774969,63.9148954774969
"200",48.5,-15.829466482388,64.329466482388
"201",49.7,-15.059644064408,64.759644064408
"202",49.3,-15.9053084268695,65.2053084268695
"203",50.5,-15.1663021239715,65.6663021239715
"204",51,-15.1424279466399,66.1424279466399
"205",49.3,-17.3334507700539,66.6334507700539
"206",50.5,-16.6390976133156,67.1390976133156
"207",51.9,-15.7590521619004,67.6590521619004
"208",52.6,-15.5929565035462,68.1929565035462
"209",53.5,-15.2404133283504,68.7404133283504
"210",54.6,-14.7009863440288,69.3009863440288
"211",57.1,-12.7742011572625,69.8742011572625
"212",58.8,-11.6595466222599,70.4595466222599
"213",60.5,-10.55647965773,71.05647965773
"214",61.9,-9.76442803351865,71.6644280335186
"215",60.5,-11.7827931282677,72.2827931282677
"216",61.9,-11.0109519095569,72.9109519095569
"217",62.2,-11.3482518879722,73.5482518879722
"218",60.5,-13.6940130467247,74.1940130467247
"219",62.5,-12.3475269983995,74.8475269983995
"220",62.6,-12.9080511205439,75.5080511205439
"221",61.6,-14.5748119218903,76.1748119218903
"222",63.2,-13.6470036410404,76.8470036410404
"223",67.6,-9.92378407956972,77.5237840795697
"224",67.1,-11.1042769215415,78.2042769215415
"225",72,-6.88758104156095,78.8875810415609
"226",71.8,-7.772767553541,79.572767553541
"227",74.8,-5.4588903524411,80.2588903524411
"228",75.1,-5.84498390130209,80.9449839013021
"229",77.1,-4.53006901593913,81.6300690159391
"230",80,-2.31315189970702,82.313151899707
"231",83.7,0.706772569212047,82.993227430788
"232",85.9,2.23071529551443,83.6692847044856
"233",88,3.6596854169655,84.3403145830345
"234",88.2,3.19468649454119,85.0053135054588
"235",94.6,8.93671294000739,85.6632870599926
"236",94.3,7.98675117841541,86.3132488215846
"237",93.5,6.54576529302703,86.954234706973
"238",93,5.41469940022535,87.5853005997747
"239",97.3,9.09448125199219,88.2055187480078
"240",101,12.18602506355,88.81397493645
"241",107.4,17.9902223139211,89.4097776860789
