"credit","Credit_HPcycle","Credit_HPtrend"
"150",26.7,-9.79977462082417,36.4997746208242
"151",27.2,-9.75615785954523,36.9561578595452
"152",28.4,-9.01021740728342,37.4102174072834
"153",29.4,-8.46155861989797,37.861558619898
"154",29.8,-8.50976432770559,38.3097643277056
"155",31.4,-7.35439620712444,38.7543962071244
"156",37.4,-1.79499466016371,39.1949946601637
"157",37.2,-2.43108170284168,39.6310817028417
"158",38,-2.06217486369044,40.0621748636904
"159",37.8,-2.68778559353797,40.487785593538
"160",36.7,-4.20742018777155,40.9074201877716
"161",37,-4.3205782223197,41.3205782223197
"162",38.4,-3.32674875455699,41.726748754557
"163",39.1,-3.02541004041576,42.1254100404158
"164",40.2,-2.31603201895012,42.5160320189501
"165",41.8,-1.09807706569764,42.8980770656976
"166",41.7,-1.57100176610761,43.2710017661076
"167",43.2,-0.434259960441219,43.6342599604412
"168",45.2,1.2126984385484,43.9873015614516
"169",46.7,2.37042460374953,44.3295753962505
"170",48.5,3.83946667631557,44.6605333236844
"171",53.8,8.82036687133297,44.979633128667
"172",56.8,11.5136578052101,45.2863421947899
"173",59.3,13.7198500434629,45.5801499565371
"174",58.5,12.6394253674396,45.8605746325604
"175",58.4,12.2728312588784,46.1271687411216
"176",56.6,10.2204836009513,46.3795163990487
"177",58.8,12.1827675947449,46.6172324052551
"178",58.3,11.4600428901421,46.8399571098579
"179",58.8,11.7526386801084,47.0473613198916
"180",59.6,12.3608555074956,47.2391444925045
"181",58.4,10.9849645335683,47.4150354664317
"182",55.7,8.12520601744249,47.5747939825575
"183",56.4,8.68179275583525,47.7182072441647
"184",56.1,8.25491723243227,47.8450827675677
"185",55.2,7.24475022645249,47.9552497735475
"186",56.7,8.65144187980893,48.0485581201911
"187",57.3,9.17512422255046,48.1248757774495
"188",58.2,10.0159076561149,48.1840923438851
"189",59.5,11.2738796441275,48.2261203558725
"190",59.3,11.0491026104526,48.2508973895474
"191",59.6,11.3416107942493,48.2583892057507
"192",61,12.7514108119176,48.2485891880824
"193",62.1,13.878480925833,48.221519074167
"194",62.4,14.2227675198531,48.1772324801469
"195",65,16.8841822816235,48.1158177183765
"196",66.1,18.0626013418714,48.0373986581286
"197",67.1,19.1578586208704,47.9421413791296
"198",67.6,19.7697428823917,47.8302571176082
"199",69.9,22.197994995557,47.702005004443
"200",78.3,30.7423064051272,47.5576935948728
"201",83.5,36.1023130608859,47.3976869391141
"202",105,57.7775740568449,47.2224259431551
"203",137.8,90.7675582312285,47.0324417687715
"204",98.2,51.3715899783357,46.8284100216643
"205",74.6,27.9887667735582,46.6112332264418
"206",59.4,13.018057663329,46.381942336671
"207",38.5,-7.64163827784645,46.1416382778464
"208",42.4,-3.49145452060579,45.8914545206058
"209",34.5,-11.1325054314923,45.6325054314923
"210",32.7,-12.6658966484099,45.3658966484099
"211",33.7,-11.392705977999,45.092705977999
"212",32.1,-12.7139795621605,44.8139795621605
"213",31.8,-12.7307350610298,44.5307350610298
"214",32.1,-12.1439583497937,44.2439583497937
"215",32.3,-11.6546034767995,43.9546034767995
"216",28.5,-15.1635941305003,43.6635941305003
"217",28,-15.3718248628398,43.3718248628398
"218",26.1,-16.9801523167768,43.0801523167768
"219",25,-17.7893947057075,42.7893947057075
"220",25.7,-16.8003277926477,42.5003277926477
"221",26.2,-16.0136828671262,42.2136828671262
"222",25.8,-16.130149217853,41.930149217853
"223",24.9,-16.7503760993292,41.6503760993292
"224",25.4,-15.9749724406851,41.3749724406851
"225",26.3,-14.8045052951077,41.1045052951077
"226",25.5,-15.3395017783567,40.8395017783567
"227",28.3,-12.2804519949258,40.5804519949258
"228",28.2,-12.127807700555,40.327807700555
"229",28.9,-11.1819899498544,40.0819899498544
"230",29.3,-10.5433894779135,39.8433894779135
"231",30.1,-9.51236906484923,39.6123690648492
"232",30.8,-8.5892651323069,39.3892651323069
"233",29.1,-10.0743903210021,39.1743903210021
"234",26.7,-12.2680357984933,38.9680357984933
"235",26.9,-11.870467546362,38.770467546362
"236",26.6,-11.9819208760988,38.5819208760988
"237",27.1,-11.3026014230279,38.4026014230279
"238",26.3,-11.9326848676694,38.2326848676694
"239",25.3,-12.7723186340391,38.0723186340391
"240",26,-11.9216203144458,37.9216203144458
"241",28,-9.78067557039219,37.7806755703922
"242",27.8,-9.84954025933862,37.6495402593386
"243",28.7,-8.82824578705213,37.5282457870521
"244",29.1,-8.3167989354517,37.4167989354517
"245",29.2,-8.11518441583836,37.3151844158384
"246",28.1,-9.12336614751694,37.2233661475169
"247",27.2,-9.9412877618367,37.1412877618367
"248",26.9,-10.1688700817254,37.0688700817254
"249",27.4,-9.60600907689568,37.0060090768957
"250",25.8,-11.1525752948809,36.9525752948809
"251",27.4,-9.50841526819041,36.9084152681904
"252",27.4,-9.47334764790156,36.8733476479016
"253",28.7,-8.14716731404805,36.8471673140481
"254",28.2,-8.62964546329698,36.829645463297
"255",29.5,-7.32053292439722,36.8205329243972
"256",31,-5.81955895198501,36.819558951985
"257",32.1,-4.72643449936257,36.8264344993626
"258",33,-3.8408559709352,36.8408559709352
"259",34.6,-2.26250795501912,36.8625079550191
"260",35.3,-1.59106543779521,36.8910654377952
"261",36.8,-0.126197749173926,36.9261977491739
"262",36.7,-0.267570241397827,36.9675702413978
"263",38.4,1.38515204878079,37.0148479512192
"264",40.3,3.23230475353618,37.0676952464638
"265",41.2,4.07422004216409,37.1257799578359
"266",40,2.81122200319443,37.1887779968056
"267",41.1,3.84362453961368,37.2563754603863
"268",41.5,4.17173452634603,37.328265473654
"269",42.1,4.69584922925779,37.4041507707422
"270",41.6,4.11625548488066,37.4837445151193
"271",42.5,4.93322839012038,37.5667716098796
"272",42.9,5.24703275124466,37.6529672487553
"273",43.2,5.4579210414513,37.7420789585487
"274",42.2,4.36613261635393,37.8338673836461
"275",42.6,4.67189318676484,37.9281068132352
"276",42.3,4.27541754816647,38.0245824518335
"277",43.1,4.97690881630609,38.1230911836939
"278",41.9,3.67655941838777,38.2234405816122
"279",42.1,3.77454933934334,38.3254506606567
"280",41.5,3.07104937270633,38.4289506272937
"281",42,3.46622087563711,38.5337791243629
"282",41.4,2.76021752767209,38.6397824723279
"283",42.4,3.65318434279618,38.7468156572038
"284",42.9,4.04525943445001,38.85474056555
"285",43.1,4.1365717831135,38.9634282168865
