"V1","V2"
"1",35.5,124.69
"2",34.8,125.7
"3",35,129.81
"4",35.4,130.51
"5",36.3,129.72
"6",36.2,129.69
"7",36.9,131.43
"8",36.9,131.02
"9",38.1,129.81
"10",38.3,128.82
"11",38.6,132.16
"12",38.7,132.17
"13",39.1,129.71
"14",38.7,129.41
"15",38.7,132.57
"16",38.5,132.58
"17",38.7,130.06
"18",38.2,128.16
"19",38.5,127.24
"20",38.5,126.37
"21",39.5,125.26
"22",38.9,123.43
"23",39.3,123.87
"24",39.3,124.41
"25",40,125.29
"26",39.6,124.43
"27",40.1,125.68
"28",40.4,127.2
"29",41.3,128.4
"30",40.7,129.02
"31",41.4,130.76
"32",41.7,133.47
"33",42.9,135.07
"34",42.9,135.43
"35",43.8,138.51
"36",43.9,139.54
"37",45,139.31
"38",44.3,139.24
"39",44.9,140.23
"40",45.1,141.26
"41",46.8,142.55
"42",47.2,141.57
"43",47.9,143.19
"44",48.2,142.31
"45",48.9,140
"46",48.4,138.26
"47",49,136.71
"48",49.6,135.16
"49",50.6,133.59
"50",50.1,132.73
"51",51,132.98
"52",51.5,131.91
"53",52.4,130.03
"54",51.8,127.74
"55",52.3,126.47
"56",52.6,125.67
"57",53.3,124.42
"58",53.6,122.81
"59",53.9,121.82
"60",53.7,122.31
"61",54.8,122.07
"62",54.2,121.88
"63",54.3,122.86
"64",54,123.2
"65",54,122.96
"66",53.5,121.55
"67",53.4,121.13
"68",53.9,121.12
"69",54.1,121.46
"70",53.3,121.03
"71",53.4,121.62
"72",53.1,122.35
"73",53.4,122.23
"74",52.7,121.36
"75",52.8,121.29
"76",52.7,122.98
"77",53.3,124.13
"78",53.2,126.06
"79",52.4,128.79
"80",52.1,129.94
"81",52.4,129.27
"82",50.6,129.79
"83",50.3,131.12
"84",50.6,130.21
"85",51.2,128.92
"86",50.9,129.18
"87",51.2,129.86
"88",51.4,130.61
"89",51.9,130.76
"90",52.2,129.2
"91",52.9,129.63
"92",53.8,129.82
"93",55.5,130.7
"94",55.6,130.5
"95",56.3,131.37
"96",57,131.62
"97",58.2,131.59
"98",58,130.65
"99",58.4,130.74
"100",58.8,129.93
"101",60,129.75
"102",60.2,128
"103",60.9,127.05
"104",61.8,126.3
"105",63.2,125.51
"106",63.2,123.64
"107",63.9,122.86
"108",64.4,121.26
"109",65.1,120.84
"110",64.8,120.11
"111",65.3,120
"112",65.7,119.52
"113",67.3,119.96
"114",68.3,119.84
"115",69.6,119.26
"116",70.2,118.9
"117",70.7,119.11
"118",70.4,118.67
"119",70.7,118.78
"120",70.8,118.06
"121",71.2,117.69
"122",70.6,116.94
"123",70.4,115.82
"124",70.4,115.53
"125",70,115.18
"126",69.6,114.06
"127",69.6,113.69
"128",69.7,113.3
"129",69.9,112.89
"130",69.6,111.55
"131",69.8,111.24
"132",70.1,110.42
"133",70.2,109.71
"134",69.3,108.44
"135",69.1,107.78
"136",69.2,107.21
"137",69.1,106.54
"138",68.3,106.08
"139",68.5,105.15
"140",68.4,104.3
"141",68.1,104.08
"142",67.6,102.59
"143",66.9,103.61
"144",66.4,104.14
"145",65.3,103.08
"146",64,101.62
"147",63.1,100.72
"148",62.2,100.82
"149",61.4,100.14
"150",60.4,101.59
"151",60.1,101.73
"152",59.9,100.63
"153",59.8,101.92
"154",60.3,101.69
"155",61.3,100.19
"156",62,99.97
"157",62.1,100.27
"158",61.3,99.14
"159",60.9,99.84
"160",60.3,100.5
"161",59.5,100.51
"162",58.5,100.18
"163",57.9,99.94
"164",57.7,100.73
"165",57.2,100.48
"166",56.8,100.62
"167",56.7,101.53
"168",56.7,101.35
"169",56.6,101.77
"170",56.2,102.25
"171",56,103.01
"172",55.9,103.33
"173",55.6,102.79
"174",54.9,103.33
"175",54.6,105.19
"176",54.5,105.33
"177",54.1,105.61
"178",53.8,107.79
"179",53.7,108.73
"180",53.7,109.07
"181",53.6,111.31
"182",53.3,114.12
"183",53.4,116.2
"184",53.5,117.67
"185",53.4,119.41
"186",53.3,119.84
"187",53.4,121.24
"188",53.4,122.41
"189",53.2,125.11
"190",53,126.2
"191",53,127.09
"192",53.4,128.62
"193",53.5,130.35
"194",53.6,130.97
"195",54,131.51
